Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
1,Gonzaga (WCC),39,37-2,"3,222",82.6,"2,398",61.5,21.1
2,Wichita St. (MVC),36,31-5,"2,916",81,"2,246",62.4,18.6
3,West Virginia (Big 12),37,28-9,"3,014",81.5,"2,467",66.7,14.8
4,Saint Mary's (CA) (WCC),34,29-5,"2,449",72,"1,954",57.5,14.6
5,Villanova (Big East),36,32-4,"2,779",77.2,"2,256",62.7,14.5
6,UCLA (Pac-12),36,31-5,"3,233",89.8,"2,719",75.5,14.3
7,SMU (AAC),35,30-5,"2,599",74.3,"2,100",60,14.3
8,North Carolina (ACC),40,33-7,"3,377",84.4,"2,824",70.6,13.8
9,Kentucky (SEC),38,32-6,"3,225",84.9,"2,716",71.5,13.4
10,Oregon (Pac-12),39,33-6,"3,076",78.9,"2,565",65.8,13.1
11,Cincinnati (AAC),36,30-6,"2,674",74.3,"2,208",61.3,12.9
12,Florida (SEC),36,27-9,"2,804",77.9,"2,394",66.5,11.4
13,Purdue (Big Ten),35,27-8,"2,790",79.7,"2,393",68.4,11.3
13,Vermont (America East),35,29-6,"2,571",73.5,"2,174",62.1,11.3
15,Louisville (ACC),34,25-9,"2,628",77.3,"2,243",66,11.3
16,Kansas (Big 12),36,31-5,"2,995",83.2,"2,588",71.9,11.3
17,N.C. Central (MEAC),34,25-9,"2,542",74.8,"2,159",63.5,11.3
18,Middle Tenn. (C-USA),36,31-5,"2,697",74.9,"2,299",63.9,11.1
19,New Mexico St. (WAC),34,28-6,"2,678",78.8,"2,310",67.9,10.8
20,Louisiana Tech (C-USA),33,23-10,"2,557",77.5,"2,203",66.8,10.7
21,Duke (ACC),37,28-9,"2,991",80.8,"2,597",70.2,10.6
22,Arizona (Pac-12),37,32-5,"2,833",76.6,"2,440",65.9,10.6
23,Utah (Pac-12),32,20-12,"2,511",78.5,"2,180",68.1,10.3
24,Princeton (Ivy League),30,23-7,"2,149",71.6,"1,843",61.4,10.2
25,FGCU (ASUN),34,26-8,"2,701",79.4,"2,356",69.3,10.1
26,Florida St. (ACC),35,26-9,"2,873",82.1,"2,523",72.1,10
26,Wisconsin (Big Ten),37,27-10,"2,678",72.4,"2,308",62.4,10
28,ETSU (SoCon),35,27-8,"2,782",79.5,"2,438",69.7,9.8
29,UNCW (CAA),35,29-6,"2,967",84.8,"2,624",75,9.8
30,Virginia (ACC),34,23-11,"2,246",66.1,"1,916",56.4,9.7
31,Dayton (Atlantic 10),32,24-8,"2,428",75.9,"2,126",66.4,9.4
32,Baylor (Big 12),35,27-8,"2,550",72.9,"2,228",63.7,9.2
33,Creighton (Big East),35,25-10,"2,864",81.8,"2,549",72.8,9
34,Winthrop (Big South),33,26-7,"2,615",79.2,"2,322",70.4,8.9
35,Houston (AAC),32,21-11,"2,358",73.7,"2,077",64.9,8.8
36,Michigan (Big Ten),38,26-12,"2,851",75,"2,523",66.4,8.6
37,UNC Asheville (Big South),33,23-10,"2,544",77.1,"2,261",68.5,8.6
38,Iowa St. (Big 12),35,24-11,"2,829",80.8,"2,529",72.3,8.6
39,Nevada (Mountain West),35,28-7,"2,792",79.8,"2,496",71.3,8.5
40,UT Arlington (Sun Belt),36,27-9,"2,818",78.3,"2,516",69.9,8.4
41,Bucknell (Patriot),35,26-9,"2,667",76.2,"2,376",67.9,8.3
42,Rhode Island (Atlantic 10),35,25-10,"2,577",73.6,"2,288",65.4,8.3
43,Oakland (Horizon),34,25-9,"2,699",79.4,"2,419",71.1,8.2
44,Purdue Fort Wayne (Summit League),33,20-13,"2,869",86.9,"2,602",78.8,8.1
45,Notre Dame (ACC),36,26-10,"2,783",77.3,"2,494",69.3,8
46,South Carolina (SEC),37,26-11,"2,705",73.1,"2,414",65.2,7.9
47,VCU (Atlantic 10),35,26-9,"2,616",74.7,"2,343",66.9,7.8
48,Illinois St. (MVC),35,28-7,"2,418",69.1,"2,146",61.3,7.8
49,Furman (SoCon),35,23-12,"2,590",74,"2,319",66.3,7.7
50,CSU Bakersfield (WAC),35,25-10,"2,502",71.5,"2,235",63.9,7.6
51,Monmouth (MAAC),34,27-7,"2,761",81.2,"2,504",73.6,7.6
52,Butler (Big East),34,25-9,"2,595",76.3,"2,341",68.9,7.5
53,Belmont (OVC),30,23-7,"2,302",76.7,"2,078",69.3,7.5
54,Lipscomb (ASUN),33,20-13,"2,804",85,"2,562",77.6,7.3
55,Oklahoma St. (Big 12),33,20-13,"2,828",85.7,"2,589",78.5,7.2
56,Ohio (MAC),31,20-11,"2,387",77,"2,166",69.9,7.1
57,North Dakota (Big Sky),32,22-10,"2,578",80.6,"2,357",73.7,6.9
