Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RPG,REB MAR
37,Rutgers (Big Ten),33,15-18,"1,319",40,"1,157",35.1,4.9
38,Morehead St. (OVC),30,14-16,"1,128",37.6,982,32.7,4.9
39,Kentucky (SEC),38,32-6,"1,511",39.8,"1,331",35,4.7
40,Purdue Fort Wayne (Summit League),33,20-13,"1,242",37.6,"1,087",32.9,4.7
41,Buffalo (MAC),32,17-15,"1,295",40.5,"1,145",35.8,4.7
42,Tennessee St. (OVC),30,17-13,"1,118",37.3,978,32.6,4.7
43,Radford (Big South),32,14-18,"1,219",38.1,"1,070",33.4,4.7
44,Cincinnati (AAC),36,30-6,"1,327",36.9,"1,164",32.3,4.5
45,UT Martin (OVC),35,22-13,"1,312",37.5,"1,154",33,4.5
46,Northern Ky. (Horizon),35,24-11,"1,319",37.7,"1,165",33.3,4.4
47,Kansas (Big 12),36,31-5,"1,392",38.7,"1,234",34.3,4.4
48,Siena (MAAC),34,17-17,"1,284",37.8,"1,135",33.4,4.4
49,Rider (MAAC),33,18-15,"1,331",40.3,"1,191",36.1,4.2
50,George Washington (Atlantic 10),35,20-15,"1,279",36.5,"1,132",32.3,4.2
51,Denver (Summit League),30,16-14,"1,058",35.3,933,31.1,4.2
52,Oregon (Pac-12),39,33-6,"1,428",36.6,"1,266",32.5,4.2
53,Valparaiso (Horizon),33,24-9,"1,251",37.9,"1,114",33.8,4.2
54,ETSU (SoCon),35,27-8,"1,269",36.3,"1,124",32.1,4.1
55,SFA (Southland),33,18-15,"1,147",34.8,"1,012",30.7,4.1
56,Miami (FL) (ACC),33,21-12,"1,176",35.6,"1,043",31.6,4
57,Gardner-Webb (Big South),33,19-14,"1,259",38.2,"1,127",34.2,4
58,UTSA (C-USA),33,14-19,"1,292",39.2,"1,161",35.2,4
58,Oklahoma St. (Big 12),33,20-13,"1,215",36.8,"1,084",32.8,4
60,Toledo (MAC),34,17-17,"1,274",37.5,"1,141",33.6,3.9
61,New Orleans (Southland),32,20-12,"1,140",35.6,"1,016",31.8,3.9
62,Florida St. (ACC),35,26-9,"1,324",37.8,"1,190",34,3.8
63,Southeastern La. (Southland),32,16-16,"1,154",36.1,"1,033",32.3,3.8
64,Villanova (Big East),36,32-4,"1,207",33.5,"1,073",29.8,3.7
65,TCU (Big 12),39,24-15,"1,404",36,"1,259",32.3,3.7
66,UCLA (Pac-12),36,31-5,"1,385",38.5,"1,252",34.8,3.7
67,Jacksonville St. (OVC),35,20-15,"1,244",35.5,"1,116",31.9,3.7
68,Idaho (Big Sky),33,19-14,"1,213",36.8,"1,094",33.2,3.6
69,Vermont (America East),35,29-6,"1,192",34.1,"1,066",30.5,3.6
70,Louisiana Tech (C-USA),33,23-10,"1,246",37.8,"1,130",34.2,3.5
71,Michigan St. (Big Ten),35,20-15,"1,275",36.4,"1,152",32.9,3.5
72,Nevada (Mountain West),35,28-7,"1,351",38.6,"1,229",35.1,3.5
72,UNC Greensboro (SoCon),35,25-10,"1,241",35.5,"1,119",32,3.5
74,UT Arlington (Sun Belt),36,27-9,"1,392",38.7,"1,269",35.3,3.4
75,Yale (Ivy League),29,18-11,"1,058",36.5,959,33.1,3.4
76,CSU Bakersfield (WAC),35,25-10,"1,350",38.6,"1,231",35.2,3.4
76,Rice (C-USA),35,23-12,"1,332",38.1,"1,213",34.7,3.4
78,UAB (C-USA),33,17-16,"1,188",36,"1,080",32.7,3.3
78,James Madison (CAA),33,10-23,"1,133",34.3,"1,025",31.1,3.3
80,Northern Ill. (MAC),32,15-17,"1,211",37.8,"1,109",34.7,3.2
81,Ole Miss (SEC),36,22-14,"1,423",39.5,"1,309",36.4,3.2
82,UIC (Horizon),36,17-19,"1,426",39.6,"1,313",36.5,3.1
83,Texas Tech (Big 12),32,18-14,"1,055",33,955,29.8,3.1
84,Coastal Carolina (Sun Belt),39,20-19,"1,573",40.3,"1,452",37.2,3.1
85,Cal St. Fullerton (Big West),32,17-15,"1,197",37.4,"1,098",34.3,3.1
86,Sam Houston (Southland),34,21-13,"1,281",37.7,"1,177",34.6,3.1
87,Colorado (Pac-12),34,19-15,"1,275",37.5,"1,172",34.5,3
88,West Virginia (Big 12),37,28-9,"1,385",37.4,"1,273",34.4,3
89,Arkansas St. (Sun Belt),32,20-12,"1,166",36.4,"1,073",33.5,2.9
90,Virginia (ACC),34,23-11,"1,119",32.9,"1,021",30,2.9
91,NJIT (ASUN),31,11-20,"1,134",36.6,"1,045",33.7,2.9
92,Belmont (OVC),30,23-7,"1,058",35.3,972,32.4,2.9
93,North Florida (ASUN),34,15-19,"1,321",38.9,"1,225",36,2.8
94,Army West Point (Patriot),32,13-19,"1,213",37.9,"1,126",35.2,2.7
94,Western Mich. (MAC),32,16-16,"1,155",36.1,"1,068",33.4,2.7
96,Colorado St. (Mountain West),36,24-12,"1,374",38.2,"1,277",35.5,2.7
97,Wake Forest (ACC),33,19-14,"1,197",36.3,"1,111",33.7,2.6
98,Troy (Sun Belt),37,22-15,"1,367",36.9,"1,271",34.4,2.6
98,Duke (ACC),37,28-9,"1,341",36.2,"1,245",33.6,2.6
100,VCU (Atlantic 10),35,26-9,"1,275",36.4,"1,185",33.9,2.6
101,Rhode Island (Atlantic 10),35,25-10,"1,301",37.2,"1,212",34.6,2.5
102,Wright St. (Horizon),32,20-12,"1,136",35.5,"1,055",33,2.5
103,Illinois St. (MVC),35,28-7,"1,293",36.9,"1,205",34.4,2.5
104,N.C. Central (MEAC),34,25-9,"1,311",38.6,"1,226",36.1,2.5
105,Sacred Heart (NEC),32,13-19,"1,194",37.3,"1,117",34.9,2.4
106,Furman (SoCon),35,23-12,"1,213",34.7,"1,130",32.3,2.4
107,Oakland (Horizon),34,25-9,"1,324",38.9,"1,246",36.6,2.3
108,Ohio St. (Big Ten),32,17-15,"1,192",37.3,"1,119",35,2.3
108,Lehigh (Patriot),32,20-12,"1,100",34.4,"1,027",32.1,2.3
110,Jackson St. (SWAC),32,14-18,"1,166",36.4,"1,095",34.2,2.2
111,Georgia St. (Sun Belt),33,20-13,"1,174",35.6,"1,101",33.4,2.2
112,UNCW (CAA),35,29-6,"1,261",36,"1,184",33.8,2.2
113,Alcorn (SWAC),32,18-14,"1,243",38.8,"1,173",36.7,2.2
113,Northern Ariz. (Big Sky),32,9-23,"1,218",38.1,"1,148",35.9,2.2
115,USC Upstate (ASUN),33,17-16,"1,281",38.8,"1,210",36.7,2.2
116,Georgia (SEC),34,19-15,"1,258",37,"1,185",34.9,2.1
117,Washington (Pac-12),31,9-22,"1,156",37.3,"1,092",35.2,2.1
118,Nebraska (Big Ten),31,12-19,"1,187",38.3,"1,124",36.3,2
119,Pacific (WCC),33,11-22,"1,224",37.1,"1,159",35.1,2
120,Florida (SEC),36,27-9,"1,334",37.1,"1,266",35.2,1.9
121,Norfolk St. (MEAC),34,17-17,"1,308",38.5,"1,244",36.6,1.9
122,Green Bay (Horizon),32,18-14,"1,312",41,"1,252",39.1,1.9
122,Boise St. (Mountain West),32,20-12,"1,140",35.6,"1,080",33.8,1.9
124,Utah Valley (WAC),34,17-17,"1,349",39.7,"1,288",37.9,1.8
125,Ball St. (MAC),34,21-13,"1,281",37.7,"1,222",35.9,1.7
126,High Point (Big South),31,15-16,"1,088",35.1,"1,037",33.5,1.6
126,FIU (C-USA),31,7-24,"1,051",33.9,"1,000",32.3,1.6
128,St. Bonaventure (Atlantic 10),32,20-12,"1,153",36,"1,101",34.4,1.6
128,Tulsa (AAC),32,15-17,"1,113",34.8,"1,061",33.2,1.6
130,Akron (MAC),36,27-9,"1,246",34.6,"1,188",33,1.6
131,Harvard (Ivy League),28,18-10,"1,005",35.9,960,34.3,1.6
132,Loyola Maryland (Patriot),33,16-17,"1,113",33.7,"1,060",32.1,1.6
133,Illinois (Big Ten),35,20-15,"1,217",34.8,"1,161",33.2,1.6
134,William & Mary (CAA),31,17-14,"1,123",36.2,"1,077",34.7,1.5
135,Kennesaw St. (ASUN),32,14-18,"1,147",35.8,"1,100",34.4,1.5
136,Quinnipiac (MAAC),31,10-21,"1,223",39.5,"1,178",38,1.5
137,UConn (AAC),33,16-17,"1,209",36.6,"1,163",35.2,1.4
138,Morgan St. (MEAC),30,14-16,"1,170",39,"1,129",37.6,1.4
139,Murray St. (OVC),33,16-17,"1,243",37.7,"1,200",36.4,1.3
139,Lipscomb (ASUN),33,20-13,"1,214",36.8,"1,171",35.5,1.3
141,San Diego St. (Mountain West),33,19-14,"1,199",36.3,"1,157",35.1,1.3
142,Eastern Wash. (Big Sky),34,22-12,"1,196",35.2,"1,155",34,1.2
143,Stanford (Pac-12),31,14-17,"1,067",34.4,"1,030",33.2,1.2
144,Southern U. (SWAC),33,15-18,"1,256",38.1,"1,217",36.9,1.2
145,Hampton (MEAC),31,14-17,"1,143",36.9,"1,110",35.8,1.1
146,South Dakota (Summit League),34,22-12,"1,271",37.4,"1,235",36.3,1.1
147,UC Davis (Big West),36,23-13,"1,279",35.5,"1,241",34.5,1.1
148,South Carolina (SEC),37,26-11,"1,344",36.3,"1,305",35.3,1.1
149,App State (Sun Belt),30,9-21,"1,126",37.5,"1,097",36.6,1
150,South Dakota St. (Summit League),35,18-17,"1,228",35.1,"1,195",34.1,0.9
151,Northern Colo. (Big Sky),29,11-18,"1,075",37.1,"1,048",36.1,0.9
152,Georgetown (Big East),32,14-18,"1,141",35.7,"1,112",34.8,0.9
153,Minnesota (Big Ten),34,24-10,"1,341",39.4,"1,312",38.6,0.9
154,Utah St. (Mountain West),31,14-17,"1,098",35.4,"1,072",34.6,0.8
155,Northwestern (Big Ten),36,24-12,"1,304",36.2,"1,274",35.4,0.8
156,Bucknell (Patriot),35,26-9,"1,203",34.4,"1,175",33.6,0.8
157,Lamar University (Southland),34,19-15,"1,192",35.1,"1,165",34.3,0.8
158,Evansville (MVC),33,16-17,"1,136",34.4,"1,111",33.7,0.8
159,Little Rock (Sun Belt),32,15-17,"1,058",33.1,"1,034",32.3,0.8
160,SIUE (OVC),30,6-24,"1,073",35.8,"1,051",35,0.7
161,San Francisco (WCC),33,20-13,"1,187",36,"1,163",35.2,0.7
161,Fresno St. (Mountain West),33,20-13,"1,172",35.5,"1,148",34.8,0.7
163,Tennessee (SEC),32,16-16,"1,206",37.7,"1,183",37,0.7
164,New Mexico (Mountain West),31,17-14,"1,071",34.5,"1,049",33.8,0.7
165,Western Caro. (SoCon),32,9-23,"1,159",36.2,"1,137",35.5,0.7
166,Saint Joseph's (Atlantic 10),31,11-20,"1,132",36.5,"1,111",35.8,0.7
167,North Dakota (Big Sky),32,22-10,"1,145",35.8,"1,124",35.1,0.7
168,Butler (Big East),34,25-9,"1,089",32,"1,067",31.4,0.6
169,Samford (SoCon),36,20-16,"1,300",36.1,"1,277",35.5,0.6
170,Alabama St. (SWAC),31,8-23,"1,192",38.5,"1,173",37.8,0.6
171,East Carolina (AAC),33,15-18,"1,250",37.9,"1,231",37.3,0.6
172,Houston (AAC),32,21-11,"1,135",35.5,"1,117",34.9,0.6
173,Dartmouth (Ivy League),27,7-20,916,33.9,901,33.4,0.6
174,Oklahoma (Big 12),31,11-20,"1,173",37.8,"1,156",37.3,0.5
175,ULM (Sun Belt),33,9-24,"1,174",35.6,"1,156",35,0.5
176,Sacramento St. (Big Sky),31,13-18,"1,101",35.5,"1,085",35,0.5
177,Winthrop (Big South),33,26-7,"1,224",37.1,"1,207",36.6,0.5
178,Air Force (Mountain West),33,12-21,"1,150",34.8,"1,135",34.4,0.5
178,Wofford (SoCon),33,16-17,"1,107",33.5,"1,092",33.1,0.5
180,Western Ky. (C-USA),32,15-17,"1,118",34.9,"1,104",34.5,0.4
181,Southern California (Pac-12),36,26-10,"1,284",35.7,"1,270",35.3,0.4
181,Texas St. (Sun Belt),36,22-14,"1,211",33.6,"1,197",33.3,0.4
183,Maryland (Big Ten),33,24-9,"1,172",35.5,"1,160",35.2,0.4
184,Memphis (AAC),32,19-13,"1,172",36.6,"1,161",36.3,0.3
184,Hofstra (CAA),32,15-17,"1,160",36.3,"1,149",35.9,0.3
184,UTEP (C-USA),32,15-17,"1,104",34.5,"1,093",34.2,0.3
187,Monmouth (MAAC),34,27-7,"1,310",38.5,"1,299",38.2,0.3
188,Boston College (ACC),32,9-23,"1,117",34.9,"1,109",34.7,0.3
189,Elon (CAA),32,18-14,"1,209",37.8,"1,202",37.6,0.2
190,Saint Peter's (MAAC),36,23-13,"1,181",32.8,"1,175",32.6,0.2
191,NC State (ACC),32,15-17,"1,161",36.3,"1,156",36.1,0.2
192,Delaware (CAA),33,13-20,"1,160",35.2,"1,155",35,0.2
192,Pittsburgh (ACC),33,16-17,"1,158",35.1,"1,153",34.9,0.2
194,Charleston So. (Big South),31,12-19,"1,092",35.2,"1,088",35.1,0.1
195,Boston U. (Patriot),32,18-14,"1,141",35.7,"1,138",35.6,0.1
196,Iowa (Big Ten),34,19-15,"1,305",38.4,"1,302",38.3,0.1
197,Montana (Big Sky),32,16-16,"1,084",33.9,"1,082",33.8,0.1
198,North Dakota St. (Summit League),30,19-11,"1,047",34.9,"1,046",34.9,0
199,Vanderbilt (SEC),35,19-16,"1,208",34.5,"1,208",34.5,0
200,Saint Francis (PA) (NEC),34,17-17,"1,243",36.6,"1,245",36.6,-0.1
201,Princeton (Ivy League),30,23-7,"1,002",33.4,"1,004",33.5,-0.1
202,UMBC (America East),34,21-13,"1,200",35.3,"1,205",35.4,-0.1
203,Manhattan (MAAC),32,10-22,"1,121",35,"1,127",35.2,-0.2
204,Ohio (MAC),31,20-11,"1,143",36.9,"1,149",37.1,-0.2
205,Eastern Mich. (MAC),33,16-17,"1,200",36.4,"1,208",36.6,-0.2
206,Drexel (CAA),32,9-23,"1,177",36.8,"1,186",37.1,-0.3
207,Niagara (MAAC),33,10-23,"1,261",38.2,"1,271",38.5,-0.3
208,UNLV (Mountain West),32,11-21,"1,205",37.7,"1,215",38,-0.3
209,Georgia Tech (ACC),37,21-16,"1,330",35.9,"1,343",36.3,-0.4
210,Northeastern (CAA),31,15-16,"1,039",33.5,"1,051",33.9,-0.4
211,Southern Utah (Big Sky),33,6-27,"1,219",36.9,"1,232",37.3,-0.4
212,N.C. A&T (MEAC),32,3-29,"1,102",34.4,"1,115",34.8,-0.4
212,Dayton (Atlantic 10),32,24-8,"1,097",34.3,"1,110",34.7,-0.4
212,Colgate (Patriot),32,10-22,"1,037",32.4,"1,050",32.8,-0.4
215,Tennessee Tech (OVC),32,12-20,"1,161",36.3,"1,176",36.8,-0.5
216,Marquette (Big East),32,19-13,"1,059",33.1,"1,075",33.6,-0.5
217,Northwestern St. (Southland),29,13-16,"1,050",36.2,"1,065",36.7,-0.5
218,Davidson (Atlantic 10),32,17-15,"1,149",35.9,"1,167",36.5,-0.6
219,San Jose St. (Mountain West),30,14-16,"1,014",33.8,"1,031",34.4,-0.6
220,Long Beach St. (Big West),34,15-19,"1,215",35.7,"1,235",36.3,-0.6
221,Montana St. (Big Sky),32,16-16,"1,166",36.4,"1,185",37,-0.6
222,Arkansas (SEC),36,26-10,"1,297",36,"1,320",36.7,-0.6
223,A&M-Corpus Christi (Southland),36,24-12,"1,228",34.1,"1,252",34.8,-0.7
223,Jacksonville (ASUN),33,17-16,"1,081",32.8,"1,103",33.4,-0.7
225,LMU (CA) (WCC),30,15-15,"1,021",34,"1,043",34.8,-0.7
226,UC Santa Barbara (Big West),28,6-22,"1,028",36.7,"1,049",37.5,-0.8
227,IUPUI (Summit League),32,14-18,"1,104",34.5,"1,129",35.3,-0.8
228,La Salle (Atlantic 10),30,15-15,973,32.4,997,33.2,-0.8
229,LSU (SEC),31,10-21,"1,116",36,"1,141",36.8,-0.8
230,Penn (Ivy League),28,13-15,973,34.8,996,35.6,-0.8
231,Duquesne (Atlantic 10),32,10-22,"1,167",36.5,"1,195",37.3,-0.9
231,Bryant (NEC),32,12-20,"1,148",35.9,"1,176",36.8,-0.9
233,Howard (MEAC),34,10-24,"1,257",37,"1,289",37.9,-0.9
234,Campbell (Big South),37,19-18,"1,218",32.9,"1,253",33.9,-0.9
235,Creighton (Big East),35,25-10,"1,223",34.9,"1,257",35.9,-1
236,Syracuse (ACC),34,19-15,"1,183",34.8,"1,217",35.8,-1
236,San Diego (WCC),31,13-18,"1,028",33.2,"1,059",34.2,-1
238,UNC Asheville (Big South),33,23-10,"1,106",33.5,"1,140",34.5,-1
239,Loyola Chicago (MVC),32,18-14,"1,002",31.3,"1,035",32.3,-1
240,Kansas St. (Big 12),35,21-14,"1,133",32.4,"1,170",33.4,-1.1
241,Massachusetts (Atlantic 10),33,15-18,"1,185",35.9,"1,220",37,-1.1
241,Bradley (MVC),33,13-20,"1,162",35.2,"1,197",36.3,-1.1
241,Clemson (ACC),33,17-16,"1,123",34,"1,158",35.1,-1.1
244,Chattanooga (SoCon),31,19-12,"1,005",32.4,"1,038",33.5,-1.1
245,Wyoming (Mountain West),38,23-15,"1,455",38.3,"1,497",39.4,-1.1
246,Hawaii (Big West),30,14-16,966,32.2,"1,000",33.3,-1.1
247,Col. of Charleston (CAA),35,25-10,"1,194",34.1,"1,237",35.3,-1.2
248,Providence (Big East),33,20-13,"1,100",33.3,"1,142",34.6,-1.3
249,DePaul (Big East),32,9-23,"1,056",33,"1,101",34.4,-1.4
250,Texas (Big 12),33,11-22,"1,132",34.3,"1,180",35.8,-1.5
251,Stony Brook (America East),32,18-14,"1,109",34.7,"1,157",36.2,-1.5
252,Southern Ill. (MVC),33,17-16,"1,114",33.8,"1,164",35.3,-1.5
253,Eastern Ill. (OVC),29,14-15,"1,081",37.3,"1,126",38.8,-1.6
254,CSUN (Big West),30,11-19,"1,051",35,"1,098",36.6,-1.6
255,Mississippi St. (SEC),32,16-16,"1,133",35.4,"1,185",37,-1.6
256,Bowling Green (MAC),32,13-19,"1,153",36,"1,210",37.8,-1.8
257,Notre Dame (ACC),36,26-10,"1,212",33.7,"1,278",35.5,-1.8
258,Omaha (Summit League),32,18-14,"1,149",35.9,"1,209",37.8,-1.9
259,Central Ark. (Southland),32,8-24,"1,150",35.9,"1,211",37.8,-1.9
260,Milwaukee (Horizon),35,11-24,"1,108",31.7,"1,175",33.6,-1.9
261,Cornell (Ivy League),29,8-21,975,33.6,"1,031",35.6,-1.9
262,Binghamton (America East),32,12-20,"1,055",33,"1,117",34.9,-1.9
263,Columbia (Ivy League),27,11-16,946,35,"1,000",37,-2
264,South Fla. (AAC),30,7-23,"1,053",35.1,"1,116",37.2,-2.1
265,Fairfield (MAAC),31,16-15,"1,116",36,"1,182",38.1,-2.1
266,UC Riverside (Big West),28,7-21,960,34.3,"1,020",36.4,-2.1
267,Central Conn. St. (NEC),29,6-23,964,33.2,"1,027",35.4,-2.2
268,Maine (America East),32,7-25,"1,123",35.1,"1,196",37.4,-2.3
269,Canisius (MAAC),34,18-16,"1,120",32.9,"1,200",35.3,-2.4
270,Auburn (SEC),32,18-14,"1,171",36.6,"1,248",39,-2.4
271,Virginia Tech (ACC),33,22-11,"1,066",32.3,"1,146",34.7,-2.4
272,Southern Miss. (C-USA),31,9-22,"1,060",34.2,"1,136",36.6,-2.5
273,Presbyterian (Big South),30,5-25,979,32.6,"1,053",35.1,-2.5
274,Oral Roberts (Summit League),30,8-22,"1,034",34.5,"1,109",37,-2.5
275,Saint Louis (Atlantic 10),33,12-21,"1,093",33.1,"1,178",35.7,-2.6
276,Iona (MAAC),35,22-13,"1,250",35.7,"1,341",38.3,-2.6
277,Michigan (Big Ten),38,26-12,"1,111",29.2,"1,210",31.8,-2.6
278,Texas Southern (SWAC),35,23-12,"1,226",35,"1,319",37.7,-2.7
279,Robert Morris (NEC),33,14-19,"1,139",34.5,"1,227",37.2,-2.7
280,Weber St. (Big Sky),34,20-14,"1,103",32.4,"1,197",35.2,-2.8
281,Oregon St. (Pac-12),32,5-27,"1,042",32.6,"1,131",35.3,-2.8
282,Brown (Ivy League),30,13-17,933,31.1,"1,018",33.9,-2.8
283,Missouri (SEC),32,8-24,"1,168",36.5,"1,260",39.4,-2.9
284,UTRGV (WAC),32,10-22,"1,179",36.8,"1,273",39.8,-2.9
285,Western Ill. (Summit League),28,8-20,968,34.6,"1,051",37.5,-3
286,Kansas City (WAC),35,18-17,"1,213",34.7,"1,317",37.6,-3
287,North Texas (C-USA),30,8-22,"1,075",35.8,"1,165",38.8,-3
288,Pepperdine (WCC),31,9-22,"1,032",33.3,"1,130",36.5,-3.2
289,South Alabama (Sun Belt),32,14-18,"1,108",34.6,"1,215",38,-3.3
290,Portland (WCC),33,11-22,"1,098",33.3,"1,209",36.6,-3.4
291,Penn St. (Big Ten),33,15-18,"1,169",35.4,"1,281",38.8,-3.4
292,Iowa St. (Big 12),35,24-11,"1,219",34.8,"1,338",38.2,-3.4
293,Grambling (SWAC),33,16-17,"1,108",33.6,"1,222",37,-3.5
294,Portland St. (Big Sky),31,15-16,"1,064",34.3,"1,173",37.8,-3.5
295,Temple (AAC),32,16-16,"1,097",34.3,"1,212",37.9,-3.6
296,Drake (MVC),31,7-24,"1,071",34.5,"1,189",38.4,-3.8
297,Central Mich. (MAC),32,16-16,"1,245",38.9,"1,367",42.7,-3.8
298,Fairleigh Dickinson (NEC),30,11-19,989,33,"1,105",36.8,-3.9
299,Fla. Atlantic (C-USA),30,10-20,"1,064",35.5,"1,182",39.4,-3.9
300,Tulane (AAC),31,6-25,"1,064",34.3,"1,186",38.3,-3.9
301,Youngstown St. (Horizon),34,13-21,"1,246",36.6,"1,381",40.6,-4
302,Santa Clara (WCC),33,17-16,981,29.7,"1,115",33.8,-4.1
303,Miami (OH) (MAC),32,11-21,"1,091",34.1,"1,223",38.2,-4.1
304,Detroit Mercy (Horizon),31,8-23,"1,036",33.4,"1,164",37.5,-4.1
305,Cleveland St. (Horizon),31,9-22,"1,024",33,"1,153",37.2,-4.2
306,Southeast Mo. St. (OVC),33,15-18,"1,024",31,"1,162",35.2,-4.2
307,Seattle U (WAC),30,13-17,"1,011",33.7,"1,137",37.9,-4.2
308,Washington St. (Pac-12),31,13-18,991,32,"1,123",36.2,-4.3
309,American (Patriot),30,8-22,868,28.9,996,33.2,-4.3
310,Ark.-Pine Bluff (SWAC),32,7-25,"1,013",31.7,"1,153",36,-4.4
311,Eastern Ky. (OVC),31,12-19,"1,019",32.9,"1,155",37.3,-4.4
312,Mississippi Val. (SWAC),32,7-25,"1,108",34.6,"1,250",39.1,-4.4
313,VMI (SoCon),30,6-24,990,33,"1,125",37.5,-4.5
314,St. John's (NY) (Big East),33,14-19,"1,136",34.4,"1,285",38.9,-4.5
315,Bethune-Cookman (MEAC),32,10-22,"1,134",35.4,"1,280",40,-4.6
316,Chicago St. (WAC),32,6-26,"1,123",35.1,"1,278",39.9,-4.8
317,Ga. Southern (Sun Belt),33,18-15,"1,146",34.7,"1,306",39.6,-4.8
318,Cal Poly (Big West),31,11-20,"1,002",32.3,"1,156",37.3,-5
319,Alabama A&M (SWAC),29,2-27,933,32.2,"1,078",37.2,-5
320,Indiana St. (MVC),31,11-20,"1,110",35.8,"1,268",40.9,-5.1
321,Marshall (C-USA),35,20-15,"1,294",37,"1,477",42.2,-5.2
322,UMES (MEAC),34,14-20,"1,143",33.6,"1,321",38.9,-5.2
323,Liberty (Big South),35,21-14,990,28.3,"1,179",33.7,-5.4
324,Delaware St. (MEAC),32,10-22,"1,057",33,"1,232",38.5,-5.5
325,Coppin St. (MEAC),32,8-24,"1,115",34.8,"1,291",40.3,-5.5
325,Lafayette (Patriot),30,9-21,956,31.9,"1,121",37.4,-5.5
327,Richmond (Atlantic 10),35,22-13,"1,078",30.8,"1,279",36.5,-5.7
328,South Carolina St. (MEAC),31,11-20,991,32,"1,182",38.1,-6.2
329,The Citadel (SoCon),33,12-21,"1,234",37.4,"1,451",44,-6.6
330,Florida A&M (MEAC),30,7-23,"1,047",34.9,"1,246",41.5,-6.6
331,St. Francis Brooklyn (NEC),31,4-27,"1,079",34.8,"1,293",41.7,-6.9
332,Nicholls (Southland),31,14-17,"1,019",32.9,"1,234",39.8,-6.9
333,Austin Peay (OVC),30,11-19,913,30.4,"1,122",37.4,-7
334,Arizona St. (Pac-12),33,15-18,"1,077",32.6,"1,311",39.7,-7.1
335,Prairie View (SWAC),33,13-20,"1,018",30.8,"1,254",38,-7.2
336,Marist (MAAC),32,8-24,998,31.2,"1,228",38.4,-7.2
337,Hartford (America East),32,9-23,"1,046",32.7,"1,279",40,-7.3
338,UNI (MVC),30,14-16,883,29.4,"1,102",36.7,-7.3
339,Fordham (Atlantic 10),32,13-19,913,28.5,"1,147",35.8,-7.3
340,Longwood (Big South),30,6-24,920,30.7,"1,141",38,-7.4
341,McNeese (Southland),29,7-22,976,33.7,"1,191",41.1,-7.4
342,Mount St. Mary's (NEC),36,20-16,"1,081",30,"1,351",37.5,-7.5
