Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RPG,REB MAR
1,North Carolina (ACC),40,33-7,"1,749",43.7,"1,257",31.4,12.3
2,Wichita St. (MVC),36,31-5,"1,475",41,"1,152",32,9
3,Saint Mary's (CA) (WCC),34,29-5,"1,207",35.5,902,26.5,9
4,Baylor (Big 12),35,27-8,"1,327",37.9,"1,021",29.2,8.7
5,SMU (AAC),35,30-5,"1,334",38.1,"1,031",29.5,8.7
6,UCF (AAC),36,24-12,"1,468",40.8,"1,173",32.6,8.2
7,Towson (CAA),33,20-13,"1,305",39.5,"1,043",31.6,7.9
8,Indiana (Big Ten),34,18-16,"1,326",39,"1,078",31.7,7.3
9,George Mason (Atlantic 10),34,20-14,"1,370",40.3,"1,123",33,7.3
10,Wagner (NEC),30,16-14,"1,184",39.5,967,32.2,7.2
11,Albany (NY) (America East),35,21-14,"1,257",35.9,"1,008",28.8,7.1
12,Gonzaga (WCC),39,37-2,"1,587",40.7,"1,311",33.6,7.1
13,Seton Hall (Big East),33,21-12,"1,312",39.8,"1,085",32.9,6.9
14,Utah (Pac-12),32,20-12,"1,217",38,998,31.2,6.8
15,Arizona (Pac-12),37,32-5,"1,357",36.7,"1,106",29.9,6.8
16,California (Pac-12),34,21-13,"1,323",38.9,"1,096",32.2,6.7
17,UC Irvine (Big West),36,21-15,"1,428",39.7,"1,188",33,6.7
18,Purdue (Big Ten),35,27-8,"1,319",37.7,"1,088",31.1,6.6
19,New Mexico St. (WAC),34,28-6,"1,339",39.4,"1,124",33.1,6.3
20,Wisconsin (Big Ten),37,27-10,"1,376",37.2,"1,144",30.9,6.3
21,New Hampshire (America East),32,20-12,"1,227",38.3,"1,033",32.3,6.1
22,Xavier (Big East),38,24-14,"1,416",37.3,"1,186",31.2,6.1
23,Louisville (ACC),34,25-9,"1,343",39.5,"1,139",33.5,6
24,Kent St. (MAC),36,22-14,"1,452",40.3,"1,239",34.4,5.9
25,Houston Baptist (Southland),31,17-14,"1,199",38.7,"1,016",32.8,5.9
26,Louisiana (Sun Belt),33,21-12,"1,253",38,"1,059",32.1,5.9
27,LIU (NEC),32,20-12,"1,242",38.8,"1,058",33.1,5.8
28,Missouri St. (MVC),33,17-16,"1,212",36.7,"1,025",31.1,5.7
29,Old Dominion (C-USA),31,19-12,"1,190",38.4,"1,015",32.7,5.6
30,BYU (WCC),34,22-12,"1,419",41.7,"1,229",36.1,5.6
31,Alabama (SEC),34,19-15,"1,326",39,"1,137",33.4,5.6
32,Mercer (SoCon),32,15-17,"1,174",36.7,999,31.2,5.5
33,Navy (Patriot),32,16-16,"1,134",35.4,960,30,5.4
34,FGCU (ASUN),34,26-8,"1,269",37.3,"1,085",31.9,5.4
35,Texas A&M (SEC),31,16-15,"1,197",38.6,"1,032",33.3,5.3
36,Middle Tenn. (C-USA),36,31-5,"1,273",35.4,"1,087",30.2,5.2
