Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
1,Morgan St. (MEAC),30,14-16,571,163,28.5
2,Gonzaga (WCC),39,37-2,770,223,29
3,N.C. Central (MEAC),34,25-9,724,210,29
4,Duke (ACC),37,28-9,639,187,29.3
5,New Mexico St. (WAC),34,28-6,640,188,29.4
6,Rhode Island (Atlantic 10),35,25-10,563,166,29.5
7,Robert Morris (NEC),33,14-19,543,162,29.8
8,Saint Mary's (CA) (WCC),34,29-5,496,149,30
9,South Carolina (SEC),37,26-11,687,208,30.3
10,Florida (SEC),36,27-9,649,198,30.5
11,Alcorn (SWAC),32,18-14,592,181,30.6
12,Kentucky (SEC),38,32-6,768,235,30.6
13,FGCU (ASUN),34,26-8,757,232,30.6
14,Col. of Charleston (CAA),35,25-10,744,229,30.8
15,Minnesota (Big Ten),34,24-10,712,220,30.9
16,Arizona (Pac-12),37,32-5,771,239,31
17,Wyoming (Mountain West),38,23-15,829,257,31
18,Nevada (Mountain West),35,28-7,761,236,31
19,Wichita St. (MVC),36,31-5,775,241,31.1
20,Villanova (Big East),36,32-4,807,251,31.1
21,Furman (SoCon),35,23-12,786,245,31.2
22,Oregon (Pac-12),39,33-6,873,273,31.3
22,UCF (AAC),36,24-12,873,273,31.3
24,Harvard (Ivy League),28,18-10,537,168,31.3
25,Winthrop (Big South),33,26-7,700,219,31.3
26,Southern U. (SWAC),33,15-18,656,206,31.4
27,Texas St. (Sun Belt),36,22-14,677,213,31.5
28,Mississippi St. (SEC),32,16-16,632,199,31.5
29,Seattle U (WAC),30,13-17,790,249,31.5
30,Arkansas St. (Sun Belt),32,20-12,618,195,31.6
31,New Orleans (Southland),32,20-12,661,209,31.6
32,Utah Valley (WAC),34,17-17,702,222,31.6
33,Louisville (ACC),34,25-9,673,213,31.6
34,Colorado St. (Mountain West),36,24-12,858,272,31.7
35,Virginia (ACC),34,23-11,659,209,31.7
36,UT Arlington (Sun Belt),36,27-9,944,300,31.8
37,Ark.-Pine Bluff (SWAC),32,7-25,651,207,31.8
38,CSU Bakersfield (WAC),35,25-10,760,242,31.8
39,Belmont (OVC),30,23-7,559,178,31.8
40,Saint Peter's (MAAC),36,23-13,774,247,31.9
41,Elon (CAA),32,18-14,786,251,31.9
42,Oakland (Horizon),34,25-9,703,225,32
43,Richmond (Atlantic 10),35,22-13,714,229,32.1
44,SMU (AAC),35,30-5,878,282,32.1
45,Toledo (MAC),34,17-17,647,208,32.1
46,New Hampshire (America East),32,20-12,665,214,32.2
47,Lamar University (Southland),34,19-15,580,187,32.2
48,Ohio (MAC),31,20-11,676,218,32.2
49,Baylor (Big 12),35,27-8,687,222,32.3
50,Middle Tenn. (C-USA),36,31-5,677,219,32.3
51,BYU (WCC),34,22-12,846,274,32.4
51,Georgia St. (Sun Belt),33,20-13,846,274,32.4
53,San Diego St. (Mountain West),33,19-14,676,219,32.4
54,UC Irvine (Big West),36,21-15,682,221,32.4
55,Georgetown (Big East),32,14-18,614,199,32.4
56,Northern Ky. (Horizon),35,24-11,699,227,32.5
56,Dayton (Atlantic 10),32,24-8,699,227,32.5
58,East Carolina (AAC),33,15-18,670,218,32.5
59,Texas Southern (SWAC),35,23-12,602,196,32.6
60,Texas (Big 12),33,11-22,669,218,32.6
61,Rutgers (Big Ten),33,15-18,710,232,32.7
62,Illinois St. (MVC),35,28-7,751,246,32.8
63,California (Pac-12),34,21-13,616,202,32.8
64,Providence (Big East),33,20-13,631,207,32.8
65,Yale (Ivy League),29,18-11,663,218,32.9
66,SIUE (OVC),30,6-24,535,176,32.9
67,Loyola Maryland (Patriot),33,16-17,574,189,32.9
68,Houston (AAC),32,21-11,662,218,32.9
69,UC Davis (Big West),36,23-13,768,253,32.9
70,Creighton (Big East),35,25-10,786,259,33
71,Miami (FL) (ACC),33,21-12,631,208,33
72,George Mason (Atlantic 10),34,20-14,764,252,33
73,Georgia Tech (ACC),37,21-16,824,272,33
74,Army West Point (Patriot),32,13-19,666,220,33
75,Rice (C-USA),35,23-12,693,229,33
76,Fresno St. (Mountain West),33,20-13,695,230,33.1
77,Valparaiso (Horizon),33,24-9,734,243,33.1
78,Samford (SoCon),36,20-16,900,298,33.1
79,Fairfield (MAAC),31,16-15,634,210,33.1
80,Cal St. Fullerton (Big West),32,17-15,640,212,33.1
81,Eastern Mich. (MAC),33,16-17,730,242,33.2
82,Savannah St. (MEAC),29,13-16,926,307,33.2
83,Purdue (Big Ten),35,27-8,729,242,33.2
84,Arkansas (SEC),36,26-10,792,263,33.2
85,Princeton (Ivy League),30,23-7,587,195,33.2
86,Bryant (NEC),32,12-20,704,234,33.2
87,USC Upstate (ASUN),33,17-16,794,264,33.2
88,Jackson St. (SWAC),32,14-18,565,188,33.3
89,Alabama (SEC),34,19-15,627,209,33.3
89,Butler (Big East),34,25-9,693,231,33.3
89,Northwestern (Big Ten),36,24-12,699,233,33.3
92,Illinois (Big Ten),35,20-15,734,245,33.4
93,Vermont (America East),35,29-6,596,199,33.4
94,Xavier (Big East),38,24-14,847,283,33.4
95,Monmouth (MAAC),34,27-7,796,266,33.4
96,UConn (AAC),33,16-17,763,255,33.4
97,Bethune-Cookman (MEAC),32,10-22,672,225,33.5
98,San Francisco (WCC),33,20-13,618,207,33.5
99,Georgia (SEC),34,19-15,734,246,33.5
100,Liberty (Big South),35,21-14,719,241,33.5
101,Coastal Carolina (Sun Belt),39,20-19,"1,100",369,33.5
102,Wagner (NEC),30,16-14,587,197,33.6
103,Utah St. (Mountain West),31,14-17,685,230,33.6
104,Old Dominion (C-USA),31,19-12,601,202,33.6
105,Boise St. (Mountain West),32,20-12,544,183,33.6
106,Indiana (Big Ten),34,18-16,692,233,33.7
107,Northern Ariz. (Big Sky),32,9-23,751,253,33.7
108,Campbell (Big South),37,19-18,727,245,33.7
109,Vanderbilt (SEC),35,19-16,670,226,33.7
110,Rider (MAAC),33,18-15,732,247,33.7
111,Memphis (AAC),32,19-13,729,246,33.7
112,Maryland (Big Ten),33,24-9,628,212,33.8
113,Wright St. (Horizon),32,20-12,716,242,33.8
114,UNCW (CAA),35,29-6,568,192,33.8
115,UC Santa Barbara (Big West),28,6-22,698,236,33.8
116,Notre Dame (ACC),36,26-10,736,249,33.8
117,VCU (Atlantic 10),35,26-9,597,202,33.8
118,UTEP (C-USA),32,15-17,718,243,33.8
119,Kansas City (WAC),35,18-17,759,257,33.9
120,Ga. Southern (Sun Belt),33,18-15,806,273,33.9
121,Norfolk St. (MEAC),34,17-17,785,266,33.9
122,Siena (MAAC),34,17-17,661,224,33.9
123,Evansville (MVC),33,16-17,714,242,33.9
124,Hawaii (Big West),30,14-16,534,181,33.9
125,North Carolina (ACC),40,33-7,939,319,34
126,Troy (Sun Belt),37,22-15,868,295,34
127,Towson (CAA),33,20-13,705,240,34
128,Mount St. Mary's (NEC),36,20-16,558,190,34.1
129,North Texas (C-USA),30,8-22,678,231,34.1
130,Seton Hall (Big East),33,21-12,628,214,34.1
131,Missouri St. (MVC),33,17-16,657,224,34.1
132,Tennessee Tech (OVC),32,12-20,730,249,34.1
133,Albany (NY) (America East),35,21-14,809,276,34.1
134,UAB (C-USA),33,17-16,732,250,34.2
135,Utah (Pac-12),32,20-12,632,216,34.2
135,Wofford (SoCon),33,16-17,632,216,34.2
137,Fairleigh Dickinson (NEC),30,11-19,591,202,34.2
138,Syracuse (ACC),34,19-15,863,295,34.2
139,Bradley (MVC),33,13-20,725,248,34.2
140,Bowling Green (MAC),32,13-19,675,231,34.2
141,Bucknell (Patriot),35,26-9,631,216,34.2
142,Chattanooga (SoCon),31,19-12,511,175,34.2
143,Holy Cross (Patriot),32,15-17,724,248,34.3
144,Alabama St. (SWAC),31,8-23,572,196,34.3
145,Louisiana Tech (C-USA),33,23-10,671,230,34.3
145,Gardner-Webb (Big South),33,19-14,671,230,34.3
147,Canisius (MAAC),34,18-16,668,229,34.3
148,Southeastern La. (Southland),32,16-16,589,202,34.3
149,Sam Houston (Southland),34,21-13,679,233,34.3
150,Temple (AAC),32,16-16,658,226,34.3
151,Missouri (SEC),32,8-24,719,247,34.4
152,Marshall (C-USA),35,20-15,704,242,34.4
153,Cincinnati (AAC),36,30-6,730,251,34.4
154,A&M-Corpus Christi (Southland),36,24-12,828,285,34.4
155,UC Riverside (Big West),28,7-21,642,221,34.4
156,Mercer (SoCon),32,15-17,790,272,34.4
157,Massachusetts (Atlantic 10),33,15-18,615,212,34.5
158,Montana (Big Sky),32,16-16,585,202,34.5
159,South Carolina St. (MEAC),31,11-20,631,218,34.5
160,Youngstown St. (Horizon),34,13-21,810,280,34.6
161,Iowa St. (Big 12),35,24-11,781,270,34.6
162,Michigan St. (Big Ten),35,20-15,662,229,34.6
163,Central Mich. (MAC),32,16-16,815,282,34.6
164,James Madison (CAA),33,10-23,757,262,34.6
165,Miami (OH) (MAC),32,11-21,782,271,34.7
166,San Jose St. (Mountain West),30,14-16,551,191,34.7
167,Lehigh (Patriot),32,20-12,718,249,34.7
168,Northern Ill. (MAC),32,15-17,738,256,34.7
169,Stetson (ASUN),32,11-21,769,267,34.7
170,Buffalo (MAC),32,17-15,671,233,34.7
171,LMU (CA) (WCC),30,15-15,567,197,34.7
172,Lipscomb (ASUN),33,20-13,699,243,34.8
173,South Alabama (Sun Belt),32,14-18,681,237,34.8
174,Kent St. (MAC),36,22-14,761,265,34.8
175,Tennessee St. (OVC),30,17-13,712,248,34.8
176,William & Mary (CAA),31,17-14,775,270,34.8
177,Florida St. (ACC),35,26-9,743,259,34.9
178,McNeese (Southland),29,7-22,562,196,34.9
179,Saint Joseph's (Atlantic 10),31,11-20,805,281,34.9
180,UT Martin (OVC),35,22-13,918,321,35
181,Coppin St. (MEAC),32,8-24,732,256,35
182,Cleveland St. (Horizon),31,9-22,606,212,35
183,Dartmouth (Ivy League),27,7-20,563,197,35
184,Eastern Ky. (OVC),31,12-19,640,224,35
185,UTSA (C-USA),33,14-19,677,237,35
186,Idaho (Big Sky),33,19-14,788,276,35
187,Delaware St. (MEAC),32,10-22,779,273,35
188,LIU (NEC),32,20-12,633,222,35.1
189,Prairie View (SWAC),33,13-20,610,214,35.1
190,Washington St. (Pac-12),31,13-18,706,248,35.1
191,North Dakota (Big Sky),32,22-10,612,215,35.1
192,St. Francis Brooklyn (NEC),31,4-27,458,161,35.2
193,Texas A&M (SEC),31,16-15,708,249,35.2
194,Northern Colo. (Big Sky),29,11-18,631,222,35.2
195,SFA (Southland),33,18-15,591,208,35.2
196,St. Bonaventure (Atlantic 10),32,20-12,689,243,35.3
197,Milwaukee (Horizon),35,11-24,757,267,35.3
198,Pacific (WCC),33,11-22,734,259,35.3
199,UMES (MEAC),34,14-20,745,263,35.3
200,West Virginia (Big 12),37,28-9,708,250,35.3
201,UMBC (America East),34,21-13,775,274,35.4
202,George Washington (Atlantic 10),35,20-15,659,233,35.4
203,Eastern Ill. (OVC),29,14-15,557,197,35.4
204,Cornell (Ivy League),29,8-21,605,214,35.4
205,Boston College (ACC),32,9-23,647,229,35.4
206,FIU (C-USA),31,7-24,604,214,35.4
207,Weber St. (Big Sky),34,20-14,556,197,35.4
208,ETSU (SoCon),35,27-8,773,274,35.4
209,UNC Asheville (Big South),33,23-10,702,249,35.5
210,Western Caro. (SoCon),32,9-23,699,248,35.5
211,Howard (MEAC),34,10-24,727,258,35.5
212,Texas Tech (Big 12),32,18-14,718,255,35.5
213,Tennessee (SEC),32,16-16,616,219,35.6
214,Ball St. (MAC),34,21-13,751,267,35.6
215,Kansas (Big 12),36,31-5,753,268,35.6
216,Pittsburgh (ACC),33,16-17,733,261,35.6
217,Saint Louis (Atlantic 10),33,12-21,674,240,35.6
218,ULM (Sun Belt),33,9-24,671,239,35.6
219,Clemson (ACC),33,17-16,713,254,35.6
220,Portland (WCC),33,11-22,814,290,35.6
221,Ohio St. (Big Ten),32,17-15,780,278,35.6
222,Radford (Big South),32,14-18,600,214,35.7
223,Drexel (CAA),32,9-23,684,244,35.7
224,Navy (Patriot),32,16-16,625,223,35.7
