Rank,Team,W,L,Pct
1,Gonzaga (WCC),37,2,94.9
2,Villanova (Big East),32,4,88.9
3,Arizona (Pac-12),32,5,86.5
4,Middle Tenn. (C-USA),31,5,86.1
4,UCLA (Pac-12),31,5,86.1
4,Wichita St. (MVC),31,5,86.1
4,Kansas (Big 12),31,5,86.1
8,SMU (AAC),30,5,85.7
9,Saint Mary's (CA) (WCC),29,5,85.3
10,Oregon (Pac-12),33,6,84.6
11,Kentucky (SEC),32,6,84.2
12,Cincinnati (AAC),30,6,83.3
13,UNCW (CAA),29,6,82.9
13,Vermont (America East),29,6,82.9
15,North Carolina (ACC),33,7,82.5
16,New Mexico St. (WAC),28,6,82.4
17,Nevada (Mountain West),28,7,80
17,Illinois St. (MVC),28,7,80
19,Monmouth (MAAC),27,7,79.4
20,Winthrop (Big South),26,7,78.8
21,Purdue (Big Ten),27,8,77.1
21,Baylor (Big 12),27,8,77.1
21,ETSU (SoCon),27,8,77.1
24,Belmont (OVC),23,7,76.7
24,Princeton (Ivy League),23,7,76.7
26,FGCU (ASUN),26,8,76.5
27,Duke (ACC),28,9,75.7
27,West Virginia (Big 12),28,9,75.7
29,Akron (MAC),27,9,75
29,UT Arlington (Sun Belt),27,9,75
29,Florida (SEC),27,9,75
29,Dayton (Atlantic 10),24,8,75
33,Florida St. (ACC),26,9,74.3
33,Bucknell (Patriot),26,9,74.3
33,VCU (Atlantic 10),26,9,74.3
36,Butler (Big East),25,9,73.5
36,Louisville (ACC),25,9,73.5
36,Oakland (Horizon),25,9,73.5
36,N.C. Central (MEAC),25,9,73.5
40,Wisconsin (Big Ten),27,10,73
41,Valparaiso (Horizon),24,9,72.7
41,Maryland (Big Ten),24,9,72.7
43,Southern California (Pac-12),26,10,72.2
43,Arkansas (SEC),26,10,72.2
43,Notre Dame (ACC),26,10,72.2
46,Col. of Charleston (CAA),25,10,71.4
46,Rhode Island (Atlantic 10),25,10,71.4
46,CSU Bakersfield (WAC),25,10,71.4
46,Creighton (Big East),25,10,71.4
46,UNC Greensboro (SoCon),25,10,71.4
51,Minnesota (Big Ten),24,10,70.6
52,South Carolina (SEC),26,11,70.3
53,UNC Asheville (Big South),23,10,69.7
53,Louisiana Tech (C-USA),23,10,69.7
55,North Dakota (Big Sky),22,10,68.8
56,Iowa St. (Big 12),24,11,68.6
56,Northern Ky. (Horizon),24,11,68.6
58,Michigan (Big Ten),26,12,68.4
59,Virginia (ACC),23,11,67.6
60,A&M-Corpus Christi (Southland),24,12,66.7
60,Northwestern (Big Ten),24,12,66.7
60,UCF (AAC),24,12,66.7
60,Colorado St. (Mountain West),24,12,66.7
60,Virginia Tech (ACC),22,11,66.7
65,Rice (C-USA),23,12,65.7
65,Furman (SoCon),23,12,65.7
65,Texas Southern (SWAC),23,12,65.7
68,Houston (AAC),21,11,65.6
69,South Dakota (Summit League),22,12,64.7
69,Eastern Wash. (Big Sky),22,12,64.7
69,BYU (WCC),22,12,64.7
72,Ohio (MAC),20,11,64.5
73,Harvard (Ivy League),18,10,64.3
74,Saint Peter's (MAAC),23,13,63.9
74,UC Davis (Big West),23,13,63.9
76,Miami (FL) (ACC),21,12,63.6
76,Louisiana (Sun Belt),21,12,63.6
76,Seton Hall (Big East),21,12,63.6
79,North Dakota St. (Summit League),19,11,63.3
80,Xavier (Big East),24,14,63.2
81,Iona (MAAC),22,13,62.9
81,Richmond (Atlantic 10),22,13,62.9
81,UT Martin (OVC),22,13,62.9
84,Utah (Pac-12),20,12,62.5
84,LIU (NEC),20,12,62.5
84,Wright St. (Horizon),20,12,62.5
84,St. Bonaventure (Atlantic 10),20,12,62.5
84,New Orleans (Southland),20,12,62.5
84,New Hampshire (America East),20,12,62.5
84,Lehigh (Patriot),20,12,62.5
84,Boise St. (Mountain West),20,12,62.5
84,Arkansas St. (Sun Belt),20,12,62.5
93,Yale (Ivy League),18,11,62.1
94,UMBC (America East),21,13,61.8
94,California (Pac-12),21,13,61.8
94,Sam Houston (Southland),21,13,61.8
94,Ball St. (MAC),21,13,61.8
98,TCU (Big 12),24,15,61.5
99,Chattanooga (SoCon),19,12,61.3
99,Old Dominion (C-USA),19,12,61.3
101,Ole Miss (SEC),22,14,61.1
101,Texas St. (Sun Belt),22,14,61.1
101,Kent St. (MAC),22,14,61.1
104,Towson (CAA),20,13,60.6
104,Fresno St. (Mountain West),20,13,60.6
104,Oklahoma St. (Big 12),20,13,60.6
104,Providence (Big East),20,13,60.6
104,Purdue Fort Wayne (Summit League),20,13,60.6
104,Georgia St. (Sun Belt),20,13,60.6
104,Lipscomb (ASUN),20,13,60.6
104,San Francisco (WCC),20,13,60.6
112,Wyoming (Mountain West),23,15,60.5
113,Kansas St. (Big 12),21,14,60
113,Albany (NY) (America East),21,14,60
113,Liberty (Big South),21,14,60
116,Troy (Sun Belt),22,15,59.5
117,Marquette (Big East),19,13,59.4
117,Memphis (AAC),19,13,59.4
119,Weber St. (Big Sky),20,14,58.8
119,George Mason (Atlantic 10),20,14,58.8
121,UC Irvine (Big West),21,15,58.3
122,San Diego St. (Mountain West),19,14,57.6
122,Wake Forest (ACC),19,14,57.6
122,Gardner-Webb (Big South),19,14,57.6
122,Idaho (Big Sky),19,14,57.6
126,Jacksonville St. (OVC),20,15,57.1
126,Michigan St. (Big Ten),20,15,57.1
126,Illinois (Big Ten),20,15,57.1
126,Marshall (C-USA),20,15,57.1
126,George Washington (Atlantic 10),20,15,57.1
131,Georgia Tech (ACC),21,16,56.8
132,Tennessee St. (OVC),17,13,56.7
133,Green Bay (Horizon),18,14,56.3
133,Texas Tech (Big 12),18,14,56.3
133,Alcorn (SWAC),18,14,56.3
133,Loyola Chicago (MVC),18,14,56.3
133,Boston U. (Patriot),18,14,56.3
133,Auburn (SEC),18,14,56.3
133,Elon (CAA),18,14,56.3
