Rank,Team,GM,W-L,FT,FTA,FT%
1,Notre Dame (ACC),36,26-10,489,611,80
2,Central Mich. (MAC),32,16-16,603,762,79.1
3,Villanova (Big East),36,32-4,538,681,79
4,Oklahoma St. (Big 12),33,20-13,620,786,78.9
5,Mercer (SoCon),32,15-17,449,574,78.2
6,Marquette (Big East),32,19-13,457,585,78.1
7,Wofford (SoCon),33,16-17,482,618,78
8,Michigan (Big Ten),38,26-12,486,624,77.9
9,Wake Forest (ACC),33,19-14,619,796,77.8
10,Vanderbilt (SEC),35,19-16,513,660,77.7
11,Valparaiso (Horizon),33,24-9,552,712,77.5
12,Lehigh (Patriot),32,20-12,448,580,77.2
13,South Dakota St. (Summit League),35,18-17,603,782,77.1
14,Eastern Wash. (Big Sky),34,22-12,520,675,77
15,St. Bonaventure (Atlantic 10),32,20-12,608,791,76.9
16,Iona (MAAC),35,22-13,513,668,76.8
17,Belmont (OVC),30,23-7,400,521,76.8
18,La Salle (Atlantic 10),30,15-15,489,638,76.6
19,Arizona (Pac-12),37,32-5,635,830,76.5
20,Fairleigh Dickinson (NEC),30,11-19,474,620,76.5
21,Wright St. (Horizon),32,20-12,546,715,76.4
22,Duke (ACC),37,28-9,642,842,76.2
23,Arkansas (SEC),36,26-10,628,825,76.1
24,Oakland (Horizon),34,25-9,582,765,76.1
25,Brown (Ivy League),30,13-17,561,739,75.9
26,Oral Roberts (Summit League),30,8-22,416,548,75.9
27,Purdue (Big Ten),35,27-8,515,680,75.7
28,Albany (NY) (America East),35,21-14,490,647,75.7
29,The Citadel (SoCon),33,12-21,607,802,75.7
30,Georgia (SEC),34,19-15,588,777,75.7
31,Monmouth (MAAC),34,27-7,600,793,75.7
32,Drake (MVC),31,7-24,418,553,75.6
33,Washington St. (Pac-12),31,13-18,368,487,75.6
34,Davidson (Atlantic 10),32,17-15,442,587,75.3
35,Montana (Big Sky),32,16-16,467,621,75.2
36,Ole Miss (SEC),36,22-14,696,926,75.2
37,Campbell (Big South),37,19-18,541,720,75.1
38,FIU (C-USA),31,7-24,387,516,75
39,Niagara (MAAC),33,10-23,512,683,75
40,Arizona St. (Pac-12),33,15-18,489,653,74.9
41,Omaha (Summit League),32,18-14,598,799,74.8
42,Northwestern (Big Ten),36,24-12,477,638,74.8
43,George Mason (Atlantic 10),34,20-14,579,775,74.7
44,New Mexico (Mountain West),31,17-14,582,780,74.6
45,Charlotte (C-USA),30,13-17,458,614,74.6
46,Saint Mary's (CA) (WCC),34,29-5,372,499,74.5
47,UMBC (America East),34,21-13,515,691,74.5
48,George Washington (Atlantic 10),35,20-15,529,710,74.5
49,Penn St. (Big Ten),33,15-18,487,654,74.5
50,High Point (Big South),31,15-16,473,636,74.4
51,Harvard (Ivy League),28,18-10,385,518,74.3
52,Samford (SoCon),36,20-16,645,868,74.3
53,Southeast Mo. St. (OVC),33,15-18,493,664,74.2
54,Liberty (Big South),35,21-14,454,612,74.2
55,Butler (Big East),34,25-9,522,704,74.1
56,Weber St. (Big Sky),34,20-14,584,788,74.1
57,Southern Utah (Big Sky),33,6-27,638,861,74.1
58,Southern California (Pac-12),36,26-10,583,787,74.1
59,Little Rock (Sun Belt),32,15-17,431,582,74.1
60,Portland (WCC),33,11-22,485,655,74
61,Rice (C-USA),35,23-12,635,858,74
62,Nicholls (Southland),31,14-17,496,671,73.9
63,Princeton (Ivy League),30,23-7,307,416,73.8
64,UCLA (Pac-12),36,31-5,459,622,73.8
65,Syracuse (ACC),34,19-15,506,686,73.8
66,Virginia Tech (ACC),33,22-11,546,741,73.7
67,Jacksonville (ASUN),33,17-16,474,644,73.6
68,Col. of Charleston (CAA),35,25-10,588,799,73.6
69,UAB (C-USA),33,17-16,496,674,73.6
70,Canisius (MAAC),34,18-16,470,639,73.6
71,Texas Southern (SWAC),35,23-12,656,892,73.5
72,DePaul (Big East),32,9-23,472,642,73.5
73,Murray St. (OVC),33,16-17,552,751,73.5
74,Denver (Summit League),30,16-14,428,583,73.4
75,Marshall (C-USA),35,20-15,599,816,73.4
76,Wichita St. (MVC),36,31-5,622,848,73.3
77,BYU (WCC),34,22-12,637,869,73.3
78,Texas Tech (Big 12),32,18-14,464,633,73.3
79,Pittsburgh (ACC),33,16-17,527,719,73.3
80,UNI (MVC),30,14-16,381,520,73.3
81,Yale (Ivy League),29,18-11,405,553,73.2
82,Georgetown (Big East),32,14-18,547,747,73.2
83,Eastern Ill. (OVC),29,14-15,366,500,73.2
84,Santa Clara (WCC),33,17-16,330,451,73.2
85,Colorado St. (Mountain West),36,24-12,596,815,73.1
86,Clemson (ACC),33,17-16,487,666,73.1
87,Wyoming (Mountain West),38,23-15,620,849,73
88,Montana St. (Big Sky),32,16-16,527,722,73
89,Longwood (Big South),30,6-24,356,488,73
90,Manhattan (MAAC),32,10-22,542,743,72.9
91,Indiana (Big Ten),34,18-16,498,683,72.9
92,CSUN (Big West),30,11-19,584,801,72.9
93,Tulsa (AAC),32,15-17,522,716,72.9
94,Tennessee (SEC),32,16-16,588,807,72.9
95,Florida (SEC),36,27-9,620,851,72.9
96,Morehead St. (OVC),30,14-16,395,544,72.6
97,Fordham (Atlantic 10),32,13-19,344,474,72.6
98,Purdue Fort Wayne (Summit League),33,20-13,407,561,72.5
99,Marist (MAAC),32,8-24,480,662,72.5
100,Eastern Mich. (MAC),33,16-17,519,716,72.5
101,New Hampshire (America East),32,20-12,455,628,72.5
102,Troy (Sun Belt),37,22-15,614,848,72.4
103,Long Beach St. (Big West),34,15-19,543,750,72.4
104,St. John's (NY) (Big East),33,14-19,524,724,72.4
105,Temple (AAC),32,16-16,366,506,72.3
106,Baylor (Big 12),35,27-8,478,661,72.3
107,Lipscomb (ASUN),33,20-13,586,811,72.3
108,Idaho (Big Sky),33,19-14,539,746,72.3
109,Stony Brook (America East),32,18-14,445,616,72.2
110,A&M-Corpus Christi (Southland),36,24-12,572,792,72.2
111,San Diego (WCC),31,13-18,435,603,72.1
112,Oklahoma (Big 12),31,11-20,494,685,72.1
113,SFA (Southland),33,18-15,530,735,72.1
114,Bryant (NEC),32,12-20,458,636,72
115,Kent St. (MAC),36,22-14,543,755,71.9
116,Miami (FL) (ACC),33,21-12,443,617,71.8
117,Central Ark. (Southland),32,8-24,493,687,71.8
118,Air Force (Mountain West),33,12-21,513,715,71.7
119,Ball St. (MAC),34,21-13,500,697,71.7
120,Winthrop (Big South),33,26-7,520,725,71.7
121,Tulane (AAC),31,6-25,456,636,71.7
122,Houston (AAC),32,21-11,390,544,71.7
123,Gonzaga (WCC),39,37-2,638,890,71.7
124,UTRGV (WAC),32,10-22,491,685,71.7
125,James Madison (CAA),33,10-23,446,623,71.6
126,Hawaii (Big West),30,14-16,432,604,71.5
127,Jacksonville St. (OVC),35,20-15,462,647,71.4
128,North Dakota (Big Sky),32,22-10,498,698,71.3
129,Kansas City (WAC),35,18-17,554,777,71.3
130,Evansville (MVC),33,16-17,561,787,71.3
131,Richmond (Atlantic 10),35,22-13,449,630,71.3
132,Hampton (MEAC),31,14-17,451,633,71.2
133,UConn (AAC),33,16-17,441,619,71.2
134,Boise St. (Mountain West),32,20-12,529,743,71.2
135,New Mexico St. (WAC),34,28-6,600,843,71.2
136,Oregon (Pac-12),39,33-6,560,787,71.2
137,Lafayette (Patriot),30,9-21,350,492,71.1
138,Minnesota (Big Ten),34,24-10,573,806,71.1
139,North Dakota St. (Summit League),30,19-11,462,650,71.1
140,Morgan St. (MEAC),30,14-16,484,681,71.1
141,Siena (MAAC),34,17-17,565,795,71.1
142,UIC (Horizon),36,17-19,599,843,71.1
143,Chattanooga (SoCon),31,19-12,481,677,71
144,New Orleans (Southland),32,20-12,532,749,71
145,Nebraska (Big Ten),31,12-19,403,568,71
146,Louisiana Tech (C-USA),33,23-10,478,674,70.9
147,Dartmouth (Ivy League),27,7-20,351,495,70.9
148,Loyola Chicago (MVC),32,18-14,385,543,70.9
149,Virginia (ACC),34,23-11,336,474,70.9
