Rank,Team,GM,W-L,FT,FTA,FT%
150,Austin Peay (OVC),30,11-19,492,695,70.8
151,Tennessee Tech (OVC),32,12-20,504,712,70.8
152,Columbia (Ivy League),27,11-16,329,465,70.8
153,Western Ill. (Summit League),28,8-20,336,475,70.7
154,Southern Miss. (C-USA),31,9-22,372,526,70.7
155,Utah Valley (WAC),34,17-17,543,768,70.7
156,Seattle U (WAC),30,13-17,405,573,70.7
157,UNC Greensboro (SoCon),35,25-10,426,603,70.6
158,VCU (Atlantic 10),35,26-9,527,747,70.5
159,Nevada (Mountain West),35,28-7,606,859,70.5
160,Eastern Ky. (OVC),31,12-19,462,655,70.5
161,South Dakota (Summit League),34,22-12,601,853,70.5
162,Binghamton (America East),32,12-20,391,555,70.5
163,Colorado (Pac-12),34,19-15,542,770,70.4
164,Western Mich. (MAC),32,16-16,482,685,70.4
165,Kentucky (SEC),38,32-6,690,981,70.3
166,NJIT (ASUN),31,11-20,421,599,70.3
167,Prairie View (SWAC),33,13-20,463,659,70.3
168,Fla. Atlantic (C-USA),30,10-20,392,558,70.3
169,ETSU (SoCon),35,27-8,597,850,70.2
170,FGCU (ASUN),34,26-8,466,664,70.2
171,San Jose St. (Mountain West),30,14-16,451,643,70.1
172,Chicago St. (WAC),32,6-26,399,569,70.1
173,Utah St. (Mountain West),31,14-17,427,609,70.1
174,Sacred Heart (NEC),32,13-19,462,659,70.1
175,Missouri St. (MVC),33,17-16,457,652,70.1
176,North Carolina (ACC),40,33-7,642,916,70.1
177,Vermont (America East),35,29-6,456,651,70
178,Iowa St. (Big 12),35,24-11,423,604,70
179,NC State (ACC),32,15-17,481,687,70
180,Houston Baptist (Southland),31,17-14,504,720,70
181,Saint Peter's (MAAC),36,23-13,438,626,70
182,Maryland (Big Ten),33,24-9,512,732,69.9
183,Middle Tenn. (C-USA),36,31-5,441,631,69.9
184,Hartford (America East),32,9-23,413,591,69.9
185,UC Riverside (Big West),28,7-21,336,481,69.9
186,Cornell (Ivy League),29,8-21,338,484,69.8
187,San Diego St. (Mountain West),33,19-14,463,663,69.8
188,South Carolina (SEC),37,26-11,611,875,69.8
189,Furman (SoCon),35,23-12,435,624,69.7
190,Cal Poly (Big West),31,11-20,372,534,69.7
191,Boston U. (Patriot),32,18-14,431,619,69.6
192,UNLV (Mountain West),32,11-21,495,711,69.6
193,LSU (SEC),31,10-21,417,599,69.6
194,Southern U. (SWAC),33,15-18,547,786,69.6
195,Southern Ill. (MVC),33,17-16,469,674,69.6
196,SMU (AAC),35,30-5,485,697,69.6
197,Toledo (MAC),34,17-17,525,755,69.5
198,Louisiana (Sun Belt),33,21-12,583,839,69.5
199,Kansas St. (Big 12),35,21-14,538,775,69.4
200,Holy Cross (Patriot),32,15-17,370,534,69.3
201,William & Mary (CAA),31,17-14,477,689,69.2
201,Saint Francis (PA) (NEC),34,17-17,414,598,69.2
203,Loyola Maryland (Patriot),33,16-17,492,711,69.2
203,Buffalo (MAC),32,17-15,492,711,69.2
205,Tennessee St. (OVC),30,17-13,476,688,69.2
206,South Carolina St. (MEAC),31,11-20,390,564,69.1
207,Wagner (NEC),30,16-14,410,593,69.1
208,Cleveland St. (Horizon),31,9-22,374,541,69.1
209,Providence (Big East),33,20-13,472,683,69.1
210,Miami (OH) (MAC),32,11-21,476,689,69.1
211,Kennesaw St. (ASUN),32,14-18,411,595,69.1
212,UNCW (CAA),35,29-6,489,708,69.1
213,Northwestern St. (Southland),29,13-16,499,723,69
214,Dayton (Atlantic 10),32,24-8,530,768,69
215,Ohio (MAC),31,20-11,432,626,69
216,VMI (SoCon),30,6-24,345,500,69
217,Florida St. (ACC),35,26-9,568,824,68.9
218,Green Bay (Horizon),32,18-14,542,787,68.9
219,Iowa (Big Ten),34,19-15,510,741,68.8
220,Xavier (Big East),38,24-14,607,882,68.8
221,UT Martin (OVC),35,22-13,474,689,68.8
222,Illinois (Big Ten),35,20-15,442,643,68.7
223,Mississippi St. (SEC),32,16-16,431,627,68.7
224,LIU (NEC),32,20-12,488,710,68.7
225,Cal St. Fullerton (Big West),32,17-15,513,747,68.7
226,Louisville (ACC),34,25-9,486,708,68.6
227,Delaware (CAA),33,13-20,411,599,68.6
228,Sam Houston (Southland),34,21-13,518,755,68.6
229,Cincinnati (AAC),36,30-6,472,688,68.6
230,Presbyterian (Big South),30,5-25,321,468,68.6
231,UC Irvine (Big West),36,21-15,419,611,68.6
232,TCU (Big 12),39,24-15,506,738,68.6
233,McNeese (Southland),29,7-22,418,610,68.5
234,West Virginia (Big 12),37,28-9,621,907,68.5
235,Elon (CAA),32,18-14,395,577,68.5
236,Hofstra (CAA),32,15-17,490,716,68.4
237,Northern Ariz. (Big Sky),32,9-23,441,645,68.4
238,Idaho St. (Big Sky),31,5-26,443,648,68.4
239,Quinnipiac (MAAC),31,10-21,453,663,68.3
240,Missouri (SEC),32,8-24,500,732,68.3
241,IUPUI (Summit League),32,14-18,446,653,68.3
242,Southeastern La. (Southland),32,16-16,461,675,68.3
243,Akron (MAC),36,27-9,508,744,68.3
244,N.C. Central (MEAC),34,25-9,467,684,68.3
245,Memphis (AAC),32,19-13,482,706,68.3
246,UMES (MEAC),34,14-20,456,668,68.3
247,Georgia Tech (ACC),37,21-16,505,740,68.2
247,Creighton (Big East),35,25-10,404,592,68.2
249,Ohio St. (Big Ten),32,17-15,464,680,68.2
250,Towson (CAA),33,20-13,592,868,68.2
251,Stanford (Pac-12),31,14-17,461,676,68.2
252,Fairfield (MAAC),31,16-15,345,506,68.2
253,Utah (Pac-12),32,20-12,424,622,68.2
254,N.C. A&T (MEAC),32,3-29,400,587,68.1
255,UNC Asheville (Big South),33,23-10,464,681,68.1
256,App State (Sun Belt),30,9-21,459,674,68.1
257,UT Arlington (Sun Belt),36,27-9,510,749,68.1
258,Norfolk St. (MEAC),34,17-17,495,727,68.1
259,Bucknell (Patriot),35,26-9,497,730,68.1
260,Northeastern (CAA),31,15-16,433,636,68.1
261,Indiana St. (MVC),31,11-20,392,576,68.1
262,Boston College (ACC),32,9-23,378,556,68
263,Northern Ky. (Horizon),35,24-11,503,740,68
264,Kansas (Big 12),36,31-5,535,789,67.8
265,Colgate (Patriot),32,10-22,384,567,67.7
266,Northern Ill. (MAC),32,15-17,493,728,67.7
267,SIUE (OVC),30,6-24,528,780,67.7
268,Duquesne (Atlantic 10),32,10-22,460,680,67.6
269,Pacific (WCC),33,11-22,453,671,67.5
270,UC Davis (Big West),36,23-13,558,828,67.4
271,Jackson St. (SWAC),32,14-18,417,619,67.4
272,Mount St. Mary's (NEC),36,20-16,431,640,67.3
273,Fresno St. (Mountain West),33,20-13,513,763,67.2
274,Auburn (SEC),32,18-14,562,836,67.2
275,Bradley (MVC),33,13-20,484,720,67.2
276,Youngstown St. (Horizon),34,13-21,404,601,67.2
277,Rider (MAAC),33,18-15,505,752,67.2
278,Western Ky. (C-USA),32,15-17,441,657,67.1
279,Michigan St. (Big Ten),35,20-15,432,645,67
280,ULM (Sun Belt),33,9-24,333,498,66.9
281,Lamar University (Southland),34,19-15,544,814,66.8
282,Rhode Island (Atlantic 10),35,25-10,528,791,66.8
283,Drexel (CAA),32,9-23,411,616,66.7
284,Bowling Green (MAC),32,13-19,471,706,66.7
285,Alabama A&M (SWAC),29,2-27,409,614,66.6
286,Radford (Big South),32,14-18,353,530,66.6
287,UTSA (C-USA),33,14-19,468,703,66.6
288,Charleston So. (Big South),31,12-19,428,643,66.6
289,Ga. Southern (Sun Belt),33,18-15,507,763,66.4
290,Illinois St. (MVC),35,28-7,394,593,66.4
291,Detroit Mercy (Horizon),31,8-23,476,717,66.4
292,Saint Louis (Atlantic 10),33,12-21,396,597,66.3
293,Grambling (SWAC),33,16-17,495,747,66.3
294,Bethune-Cookman (MEAC),32,10-22,367,554,66.2
295,UTEP (C-USA),32,15-17,413,624,66.2
296,California (Pac-12),34,21-13,476,720,66.1
297,UCF (AAC),36,24-12,501,758,66.1
298,Texas St. (Sun Belt),36,22-14,460,696,66.1
299,Oregon St. (Pac-12),32,5-27,376,569,66.1
300,Massachusetts (Atlantic 10),33,15-18,443,671,66
301,Milwaukee (Horizon),35,11-24,355,538,66
302,Florida A&M (MEAC),30,7-23,442,671,65.9
303,Delaware St. (MEAC),32,10-22,359,545,65.9
304,Stetson (ASUN),32,11-21,438,665,65.9
305,Portland St. (Big Sky),31,15-16,489,743,65.8
306,Coastal Carolina (Sun Belt),39,20-19,473,719,65.8
307,Penn (Ivy League),28,13-15,274,417,65.7
308,South Fla. (AAC),30,7-23,339,516,65.7
309,East Carolina (AAC),33,15-18,442,673,65.7
310,USC Upstate (ASUN),33,17-16,419,638,65.7
311,Howard (MEAC),34,10-24,547,833,65.7
312,South Alabama (Sun Belt),32,14-18,475,725,65.5
313,North Florida (ASUN),34,15-19,490,748,65.5
314,Army West Point (Patriot),32,13-19,349,533,65.5
315,Washington (Pac-12),31,9-22,394,602,65.4
316,Maine (America East),32,7-25,365,558,65.4
317,Western Caro. (SoCon),32,9-23,345,528,65.3
318,Alabama (SEC),34,19-15,487,746,65.3
319,Ark.-Pine Bluff (SWAC),32,7-25,379,581,65.2
320,Alcorn (SWAC),32,18-14,399,612,65.2
321,Sacramento St. (Big Sky),31,13-18,428,657,65.1
322,Texas (Big 12),33,11-22,414,637,65
323,Mississippi Val. (SWAC),32,7-25,423,651,65
324,Coppin St. (MEAC),32,8-24,484,745,65
325,Saint Joseph's (Atlantic 10),31,11-20,471,725,65
326,St. Francis Brooklyn (NEC),31,4-27,400,616,64.9
327,Texas A&M (SEC),31,16-15,379,584,64.9
328,Savannah St. (MEAC),29,13-16,427,659,64.8
329,Georgia St. (Sun Belt),33,20-13,426,658,64.7
330,Robert Morris (NEC),33,14-19,486,751,64.7
331,North Texas (C-USA),30,8-22,409,633,64.6
332,Wisconsin (Big Ten),37,27-10,453,703,64.4
333,Old Dominion (C-USA),31,19-12,387,602,64.3
334,Seton Hall (Big East),33,21-12,471,733,64.3
335,Navy (Patriot),32,16-16,400,624,64.1
336,Pepperdine (WCC),31,9-22,348,543,64.1
337,CSU Bakersfield (WAC),35,25-10,483,755,64
338,Arkansas St. (Sun Belt),32,20-12,474,743,63.8
339,Alabama St. (SWAC),31,8-23,404,634,63.7
340,San Francisco (WCC),33,20-13,327,514,63.6
341,UC Santa Barbara (Big West),28,6-22,303,478,63.4
342,Gardner-Webb (Big South),33,19-14,511,819,62.4
343,Rutgers (Big Ten),33,15-18,393,631,62.3
344,Central Conn. St. (NEC),29,6-23,331,534,62
345,LMU (CA) (WCC),30,15-15,338,546,61.9
346,American (Patriot),30,8-22,293,474,61.8
347,Northern Colo. (Big Sky),29,11-18,357,591,60.4
