Rank,Team,GM,W-L,FGM,FGA,FG%
1,UCLA (Pac-12),36,31-5,"1,210","2,320",52.2
2,Creighton (Big East),35,25-10,"1,078","2,136",50.5
3,Utah (Pac-12),32,20-12,936,"1,857",50.4
4,Gonzaga (WCC),39,37-2,"1,149","2,281",50.4
5,FGCU (ASUN),34,26-8,"1,007","2,019",49.9
6,Saint Mary's (CA) (WCC),34,29-5,892,"1,797",49.6
7,Purdue Fort Wayne (Summit League),33,20-13,"1,055","2,127",49.6
8,Villanova (Big East),36,32-4,965,"1,948",49.5
9,Vermont (America East),35,29-6,943,"1,909",49.4
10,William & Mary (CAA),31,17-14,887,"1,808",49.1
11,Virginia Tech (ACC),33,22-11,887,"1,813",48.9
12,Kansas (Big 12),36,31-5,"1,071","2,193",48.8
13,ETSU (SoCon),35,27-8,960,"1,966",48.8
14,Middle Tenn. (C-USA),36,31-5,"1,014","2,077",48.8
15,Marquette (Big East),32,19-13,919,"1,889",48.7
16,Weber St. (Big Sky),34,20-14,908,"1,867",48.6
17,Loyola Chicago (MVC),32,18-14,852,"1,755",48.5
18,Florida St. (ACC),35,26-9,"1,036","2,146",48.3
19,Michigan (Big Ten),38,26-12,"1,002","2,076",48.3
20,North Dakota (Big Sky),32,22-10,926,"1,919",48.3
21,Portland St. (Big Sky),31,15-16,959,"1,991",48.2
22,Denver (Summit League),30,16-14,811,"1,684",48.2
23,Oregon (Pac-12),39,33-6,"1,091","2,270",48.1
24,Bucknell (Patriot),35,26-9,942,"1,961",48
25,Toledo (MAC),34,17-17,944,"1,966",48
26,UNCW (CAA),35,29-6,"1,071","2,231",48
27,Eastern Wash. (Big Sky),34,22-12,947,"1,975",47.9
28,Purdue (Big Ten),35,27-8,980,"2,044",47.9
29,Lehigh (Patriot),32,20-12,857,"1,788",47.9
30,Gardner-Webb (Big South),33,19-14,913,"1,905",47.9
31,Indiana (Big Ten),34,18-16,959,"2,004",47.9
32,Butler (Big East),34,25-9,906,"1,898",47.7
33,Arizona (Pac-12),37,32-5,977,"2,048",47.7
34,UNC Asheville (Big South),33,23-10,908,"1,908",47.6
35,Duke (ACC),37,28-9,"1,019","2,145",47.5
36,Lipscomb (ASUN),33,20-13,939,"1,978",47.5
37,Kentucky (SEC),38,32-6,"1,134","2,396",47.3
38,Furman (SoCon),35,23-12,918,"1,941",47.3
39,New Orleans (Southland),32,20-12,830,"1,755",47.3
40,Wake Forest (ACC),33,19-14,923,"1,955",47.2
41,SMU (AAC),35,30-5,914,"1,936",47.2
42,Iowa St. (Big 12),35,24-11,"1,031","2,186",47.2
43,Baylor (Big 12),35,27-8,921,"1,956",47.1
44,Richmond (Atlantic 10),35,22-13,938,"1,993",47.1
45,A&M-Corpus Christi (Southland),36,24-12,974,"2,070",47.1
46,Michigan St. (Big Ten),35,20-15,905,"1,927",47
47,Texas Tech (Big 12),32,18-14,835,"1,779",46.9
48,Austin Peay (OVC),30,11-19,806,"1,718",46.9
49,UTEP (C-USA),32,15-17,812,"1,731",46.9
50,UMBC (America East),34,21-13,957,"2,041",46.9
51,Wichita St. (MVC),36,31-5,992,"2,116",46.9
52,Georgia St. (Sun Belt),33,20-13,885,"1,888",46.9
53,Samford (SoCon),36,20-16,955,"2,038",46.9
54,Belmont (OVC),30,23-7,798,"1,703",46.9
55,NC State (ACC),32,15-17,888,"1,898",46.8
56,UT Martin (OVC),35,22-13,966,"2,066",46.8
57,Louisiana (Sun Belt),33,21-12,945,"2,022",46.7
58,Wofford (SoCon),33,16-17,900,"1,926",46.7
59,Albany (NY) (America East),35,21-14,907,"1,941",46.7
60,Yale (Ivy League),29,18-11,769,"1,647",46.7
61,Oklahoma St. (Big 12),33,20-13,957,"2,050",46.7
62,Louisiana Tech (C-USA),33,23-10,911,"1,952",46.7
63,Saint Francis (PA) (NEC),34,17-17,943,"2,021",46.7
64,New Mexico St. (WAC),34,28-6,913,"1,957",46.7
65,Chattanooga (SoCon),31,19-12,801,"1,718",46.6
