Seed,Team,Conference,Record,Berth type,Overall rank,Placement
1,Villanova,Big East,31–3,Auto,1,32
2,Duke,ACC,27–8,Auto,7,32
3,Baylor,Big 12,25–7,At-Large,12,16
4,Florida,SEC,24–8,At-Large,14,8
5,Virginia,ACC,22–10,At-Large,17,32
6,SMU,American,30–4,Auto,21,64
7,South Carolina,SEC,22–10,At-Large,26,4
8,Wisconsin,Big Ten,25–9,At-Large,29,16
9,Virginia Tech,ACC,22–10,At-Large,36,64
10,Marquette,Big East,19–12,At-Large,39,64
11,Providence,Big East,20–12,At-Large,42,68
11,USC,Pac-12,24–9,At-Large,45,32
12,UNC Wilmington,CAA,29–5,Auto,49,64
13,East Tennessee State,Southern,27–7,Auto,52,64
14,New Mexico State,WAC,28–5,Auto,55,64
15,Troy,Sun Belt,22–14,Auto,60,64
16,Mount St. Mary's,NEC,19–15,Auto,68,64
16,New Orleans,Southland,20–11,Auto,67,68
1,Gonzaga,WCC,32–1,Auto,4,2
2,Arizona,Pac-12,30–4,Auto,6,16
3,Florida State,ACC,25–8,At-Large,10,32
4,West Virginia,Big 12,26–8,At-Large,15,16
5,Notre Dame,ACC,25–9,At-Large,19,32
6,Maryland,Big Ten,24–8,At-Large,23,64
7,Saint Mary's,WCC,28–4,At-Large,25,32
8,Northwestern,Big Ten,23–11,At-Large,32,32
9,Vanderbilt,SEC,19–15,At-Large,33,64
10,VCU,Atlantic 10,26–8,At-Large,40,64
11,Xavier,Big East,21–13,At-Large,41,8
12,Princeton,Ivy League,23–6,Auto,50,64
13,Bucknell,Patriot,26–8,Auto,51,64
14,Florida Gulf Coast,Atlantic Sun,26–7,Auto,56,64
15,North Dakota,Big Sky,22–9,Auto,62,64
16,South Dakota State,Summit League,18–16,Auto,64,64
1,Kansas,Big 12,28–4,At-Large,2,8
2,Louisville,ACC,24–8,At-Large,8,32
3,Oregon,Pac-12,29–5,At-Large,9,4
4,Purdue,Big Ten,25–7,At-Large,16,16
5,Iowa State,Big 12,23–10,Auto,20,32
6,Creighton,Big East,25–9,At-Large,24,64
7,Michigan,Big Ten,24–11,Auto,27,16
8,Miami (FL),ACC,21–11,At-Large,30,64
9,Michigan State,Big Ten,19–14,At-Large,35,32
10,Oklahoma State,Big 12,20–12,At-Large,37,64
11,Rhode Island,Atlantic 10,24–9,Auto,44,32
12,Nevada,Mountain West,28–6,Auto,47,64
13,Vermont,America East,29–5,Auto,53,64
14,Iona,MAAC,22–12,Auto,58,64
15,Jacksonville State,Ohio Valley,20–14,Auto,61,64
16,North Carolina Central,MEAC,25–8,Auto,66,68
16,UC Davis,Big West,22–12,Auto,65,64
1,North Carolina,ACC,27–7,At-Large,3,1
2,Kentucky,SEC,29–5,Auto,5,8
3,UCLA,Pac-12,29–4,At-Large,11,16
4,Butler,Big East,23–8,At-Large,13,16
5,Minnesota,Big Ten,24–9,At-Large,18,64
6,Cincinnati,American,29–5,At-Large,22,32
7,Dayton,Atlantic 10,24–7,At-Large,28,64
8,Arkansas,SEC,25–9,At-Large,31,32
9,Seton Hall,Big East,21–11,At-Large,34,64
10,Wichita State,Missouri Valley,30–4,Auto,38,32
11,Kansas State,Big 12,20–13,At-Large,46,64
11,Wake Forest,ACC,19–13,At-Large,43,68
12,Middle Tennessee,Conference USA,30–4,Auto,48,32
13,Winthrop,Big South,26–6,Auto,54,64
14,Kent State,MAC,22–13,Auto,57,64
15,Northern Kentucky,Horizon,24–10,Auto,59,64
16,Texas Southern,SWAC,23–11,Auto,63,64
