Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
213,Western Caro. (SoCon),32,9-23,770,"1,730",44.5
214,George Washington (Atlantic 10),35,20-15,904,"2,031",44.5
215,Butler (Big East),34,25-9,818,"1,837",44.5
216,Delaware St. (MEAC),32,10-22,814,"1,826",44.6
217,Delaware (CAA),33,13-20,813,"1,823",44.6
218,Radford (Big South),32,14-18,826,"1,851",44.6
219,Loyola Chicago (MVC),32,18-14,766,"1,716",44.6
220,UC Santa Barbara (Big West),28,6-22,702,"1,572",44.7
221,Southern Ill. (MVC),33,17-16,812,"1,817",44.7
222,Nebraska (Big Ten),31,12-19,805,"1,800",44.7
223,Siena (MAAC),34,17-17,901,"2,014",44.7
224,North Florida (ASUN),34,15-19,960,"2,143",44.8
225,Ark.-Pine Bluff (SWAC),32,7-25,731,"1,631",44.8
226,Hawaii (Big West),30,14-16,726,"1,618",44.9
227,McNeese (Southland),29,7-22,796,"1,774",44.9
228,Pittsburgh (ACC),33,16-17,910,"2,028",44.9
229,Montana St. (Big Sky),32,16-16,815,"1,816",44.9
230,Pacific (WCC),33,11-22,800,"1,782",44.9
231,LMU (CA) (WCC),30,15-15,718,"1,599",44.9
232,UNC Asheville (Big South),33,23-10,815,"1,814",44.9
233,Binghamton (America East),32,12-20,815,"1,813",45
234,Murray St. (OVC),33,16-17,879,"1,955",45
235,Xavier (Big East),38,24-14,964,"2,144",45
236,South Dakota St. (Summit League),35,18-17,963,"2,140",45
237,NC State (ACC),32,15-17,918,"2,039",45
238,SFA (Southland),33,18-15,772,"1,713",45.1
239,UNLV (Mountain West),32,11-21,882,"1,957",45.1
240,Fla. Atlantic (C-USA),30,10-20,799,"1,771",45.1
241,Fairleigh Dickinson (NEC),30,11-19,769,"1,704",45.1
242,Colgate (Patriot),32,10-22,782,"1,732",45.2
243,Santa Clara (WCC),33,17-16,769,"1,703",45.2
244,Bryant (NEC),32,12-20,860,"1,904",45.2
245,Weber St. (Big Sky),34,20-14,937,"2,074",45.2
246,Western Ky. (C-USA),32,15-17,853,"1,887",45.2
247,Savannah St. (MEAC),29,13-16,960,"2,123",45.2
248,Sacramento St. (Big Sky),31,13-18,827,"1,828",45.2
249,Manhattan (MAAC),32,10-22,796,"1,759",45.3
250,Holy Cross (Patriot),32,15-17,702,"1,551",45.3
251,Mount St. Mary's (NEC),36,20-16,923,"2,039",45.3
252,Clemson (ACC),33,17-16,875,"1,930",45.3
253,UMBC (America East),34,21-13,922,"2,031",45.4
254,UMES (MEAC),34,14-20,880,"1,938",45.4
255,Hartford (America East),32,9-23,874,"1,924",45.4
256,Stetson (ASUN),32,11-21,964,"2,122",45.4
257,Northeastern (CAA),31,15-16,806,"1,773",45.5
258,Navy (Patriot),32,16-16,708,"1,557",45.5
259,Northern Colo. (Big Sky),29,11-18,763,"1,677",45.5
260,Florida A&M (MEAC),30,7-23,836,"1,834",45.6
261,Cornell (Ivy League),29,8-21,807,"1,768",45.6
262,Lafayette (Patriot),30,9-21,807,"1,767",45.7
263,Kansas City (WAC),35,18-17,951,"2,081",45.7
264,Air Force (Mountain West),33,12-21,861,"1,883",45.7
265,Wake Forest (ACC),33,19-14,891,"1,948",45.7
266,Cleveland St. (Horizon),31,9-22,771,"1,685",45.8
267,Presbyterian (Big South),30,5-25,766,"1,674",45.8
268,Houston Baptist (Southland),31,17-14,837,"1,825",45.9
269,Northern Ariz. (Big Sky),32,9-23,879,"1,916",45.9
270,Marquette (Big East),32,19-13,858,"1,870",45.9
271,App State (Sun Belt),30,9-21,788,"1,717",45.9
272,Prairie View (SWAC),33,13-20,806,"1,756",45.9
273,San Diego (WCC),31,13-18,785,"1,710",45.9
274,NJIT (ASUN),31,11-20,814,"1,773",45.9
275,CSUN (Big West),30,11-19,842,"1,832",46
276,Sacred Heart (NEC),32,13-19,871,"1,895",46
277,Central Mich. (MAC),32,16-16,"1,022","2,223",46
278,Washington St. (Pac-12),31,13-18,881,"1,916",46
279,San Jose St. (Mountain West),30,14-16,776,"1,687",46
280,Marist (MAAC),32,8-24,879,"1,909",46
281,Toledo (MAC),34,17-17,986,"2,140",46.1
