Rank,Team,GM,W-L,3FG,3FGA,3FG%
1,Marquette (Big East),32,19-13,336,783,42.9
2,Weber St. (Big Sky),34,20-14,312,749,41.7
3,Kennesaw St. (ASUN),32,14-18,206,495,41.6
4,UCLA (Pac-12),36,31-5,354,872,40.6
5,SMU (AAC),35,30-5,286,705,40.6
6,Kansas (Big 12),36,31-5,318,787,40.4
7,Wofford (SoCon),33,16-17,311,771,40.3
8,Wichita St. (MVC),36,31-5,310,769,40.3
9,Purdue (Big Ten),35,27-8,315,782,40.3
10,Virginia Tech (ACC),33,22-11,290,720,40.3
11,Jacksonville (ASUN),33,17-16,327,812,40.3
12,Purdue Fort Wayne (Summit League),33,20-13,352,876,40.2
13,Denver (Summit League),30,16-14,223,555,40.2
14,Oklahoma St. (Big 12),33,20-13,294,732,40.2
15,Iowa St. (Big 12),35,24-11,344,860,40
16,Iona (MAAC),35,22-13,342,862,39.7
17,Creighton (Big East),35,25-10,304,767,39.6
18,Samford (SoCon),36,20-16,279,707,39.5
19,UNC Asheville (Big South),33,23-10,264,670,39.4
20,Saint Mary's (CA) (WCC),34,29-5,293,744,39.4
21,Houston (AAC),32,21-11,268,681,39.4
22,UMBC (America East),34,21-13,330,840,39.3
23,Lehigh (Patriot),32,20-12,270,689,39.2
24,Saint Francis (PA) (NEC),34,17-17,277,709,39.1
25,Arizona (Pac-12),37,32-5,244,625,39
26,North Dakota (Big Sky),32,22-10,228,585,39
27,Loyola Chicago (MVC),32,18-14,259,666,38.9
28,Western Ill. (Summit League),28,8-20,254,654,38.8
29,Omaha (Summit League),32,18-14,297,765,38.8
30,Rice (C-USA),35,23-12,326,840,38.8
31,IUPUI (Summit League),32,14-18,288,743,38.8
32,Morehead St. (OVC),30,14-16,219,568,38.6
33,Virginia (ACC),34,23-11,232,602,38.5
34,Michigan (Big Ten),38,26-12,361,937,38.5
35,Furman (SoCon),35,23-12,319,828,38.5
36,Wake Forest (ACC),33,19-14,268,697,38.5
37,Dayton (Atlantic 10),32,24-8,258,671,38.5
38,Notre Dame (ACC),36,26-10,334,869,38.4
39,Ohio (MAC),31,20-11,285,742,38.4
40,William & Mary (CAA),31,17-14,283,740,38.2
41,ETSU (SoCon),35,27-8,265,693,38.2
42,Nevada (Mountain West),35,28-7,320,837,38.2
43,Santa Clara (WCC),33,17-16,318,832,38.2
44,Gonzaga (WCC),39,37-2,286,749,38.2
45,UNC Greensboro (SoCon),35,25-10,308,807,38.2
46,Saint Peter's (MAAC),36,23-13,288,755,38.1
47,Syracuse (ACC),34,19-15,300,788,38.1
48,Wright St. (Horizon),32,20-12,285,749,38.1
49,Indiana (Big Ten),34,18-16,295,776,38
50,Arkansas St. (Sun Belt),32,20-12,220,579,38
51,Oregon (Pac-12),39,33-6,334,880,38
52,Ball St. (MAC),34,21-13,319,841,37.9
52,Bucknell (Patriot),35,26-9,286,754,37.9
54,Iowa (Big Ten),34,19-15,300,791,37.9
55,Eastern Wash. (Big Sky),34,22-12,281,741,37.9
56,Duke (ACC),37,28-9,311,821,37.9
57,Utah St. (Mountain West),31,14-17,234,618,37.9
58,Gardner-Webb (Big South),33,19-14,209,552,37.9
59,Princeton (Ivy League),30,23-7,298,789,37.8
60,High Point (Big South),31,15-16,196,520,37.7
61,Jacksonville St. (OVC),35,20-15,258,685,37.7
62,Charlotte (C-USA),30,13-17,237,630,37.6
63,Vanderbilt (SEC),35,19-16,346,921,37.6
64,Montana St. (Big Sky),32,16-16,320,853,37.5
65,Central Ark. (Southland),32,8-24,230,614,37.5
66,Boston College (ACC),32,9-23,256,684,37.4
67,Portland (WCC),33,11-22,214,573,37.3
68,Winthrop (Big South),33,26-7,313,839,37.3
69,Michigan St. (Big Ten),35,20-15,273,732,37.3
70,Monmouth (MAAC),34,27-7,303,813,37.3
71,Eastern Ill. (OVC),29,14-15,259,696,37.2
72,Albany (NY) (America East),35,21-14,192,516,37.2
73,Detroit Mercy (Horizon),31,8-23,251,675,37.2
74,Akron (MAC),36,27-9,366,985,37.2
75,George Washington (Atlantic 10),35,20-15,276,743,37.1
76,Kansas City (WAC),35,18-17,315,848,37.1
77,Canisius (MAAC),34,18-16,309,832,37.1
78,Western Mich. (MAC),32,16-16,209,564,37.1
79,Providence (Big East),33,20-13,239,645,37.1
80,Colgate (Patriot),32,10-22,271,732,37
81,Marshall (C-USA),35,20-15,356,962,37
82,Illinois (Big Ten),35,20-15,270,731,36.9
83,Pepperdine (WCC),31,9-22,178,482,36.9
84,Villanova (Big East),36,32-4,311,843,36.9
85,Illinois St. (MVC),35,28-7,294,797,36.9
86,Vermont (America East),35,29-6,229,621,36.9
87,Texas Tech (Big 12),32,18-14,212,575,36.9
88,Campbell (Big South),37,19-18,294,798,36.8
89,North Dakota St. (Summit League),30,19-11,232,630,36.8
90,Idaho (Big Sky),33,19-14,255,694,36.7
91,Hofstra (CAA),32,15-17,291,792,36.7
92,Oral Roberts (Summit League),30,8-22,216,588,36.7
93,Southeast Mo. St. (OVC),33,15-18,263,716,36.7
94,Brown (Ivy League),30,13-17,244,665,36.7
95,Northeastern (CAA),31,15-16,267,728,36.7
