Rank,Team,GM,W-L,FT,FTA,FT%
1,Wisconsin (Big Ten),34,25-9,436,533,81.8
2,Harvard (Ivy League),30,23-7,523,647,80.8
3,Bucknell (Patriot),34,25-9,499,633,78.8
4,IUPUI (Summit League),33,19-14,458,586,78.2
5,Colorado (Big 12),38,24-14,679,873,77.8
6,Purdue Fort Wayne (Summit League),30,18-12,458,593,77.2
7,Wagner (NEC),30,13-17,491,636,77.2
8,Northern Colo. (Big Sky),32,21-11,571,742,77
9,Central Conn. St. (NEC),31,19-12,486,634,76.7
10,BYU (Mountain West),37,32-5,662,865,76.5
11,UConn (AAC),41,32-9,627,822,76.3
12,UNI (MVC),34,20-14,461,605,76.2
13,Gonzaga (WCC),35,25-10,617,810,76.2
14,Tennessee St. (OVC),30,14-16,476,625,76.2
15,Lafayette (Patriot),32,13-19,482,633,76.1
16,Hofstra (CAA),33,21-12,501,658,76.1
17,Saint Mary's (CA) (WCC),34,25-9,501,660,75.9
18,Utah Valley (Utah Valley),30,19-11,591,780,75.8
19,Villanova (AAC),33,21-12,582,769,75.7
20,Ole Miss (SEC),34,20-14,517,684,75.6
21,Weber St. (Big Sky),32,18-14,455,602,75.6
22,Lehigh (Patriot),31,16-15,624,826,75.5
23,Charleston So. (Big South),32,16-16,456,604,75.5
24,San Jose St. (WAC),33,17-16,568,753,75.4
25,Duke (ACC),37,32-5,622,826,75.3
26,UC Santa Barbara (Big West),32,18-14,459,610,75.2
27,Northeastern (CAA),31,11-20,433,577,75
28,North Texas (Sun Belt),33,22-11,675,900,75
29,Wright St. (Horizon),33,19-14,486,650,74.8
30,Xavier (Atlantic 10),32,24-8,565,756,74.7
31,Brown (Ivy League),28,11-17,417,558,74.7
32,Arizona (Pac-12),38,30-8,671,899,74.6
33,Wake Forest (ACC),32,8-24,497,666,74.6
34,McNeese (Southland),33,21-12,558,748,74.6
35,Wichita St. (MVC),37,29-8,522,700,74.6
36,Portland (WCC),32,20-12,429,577,74.4
37,Vanderbilt (SEC),34,23-11,622,837,74.3
38,SMU (C-USA),35,20-15,409,551,74.2
