Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
1,Florida St. (ACC),34,23-11,696,"1,918",36.3
2,Saint Peter's (MAAC),34,20-14,683,"1,818",37.6
3,Utah St. (WAC),34,30-4,696,"1,815",38.3
4,Hampton (MEAC),33,24-9,719,"1,874",38.4
5,Alabama (SEC),37,25-12,758,"1,965",38.6
6,Texas (Big 12),36,28-8,816,"2,109",38.7
7,Nebraska (Big 12),32,19-13,657,"1,691",38.9
8,Hawaii (WAC),32,19-13,733,"1,883",38.9
9,Stony Brook (America East),32,15-17,664,"1,704",39
10,Vermont (America East),32,23-9,711,"1,812",39.2
11,UConn (AAC),41,32-9,973,"2,478",39.3
12,Louisville (AAC),35,25-10,762,"1,935",39.4
13,Kansas (Big 12),38,35-3,862,"2,188",39.4
14,Syracuse (AAC),35,27-8,788,"2,000",39.4
15,Kentucky (SEC),38,29-9,863,"2,188",39.4
16,Bucknell (Patriot),34,25-9,747,"1,888",39.6
17,San Diego St. (Mountain West),37,34-3,802,"2,027",39.6
18,Coastal Carolina (Big South),34,28-6,796,"2,011",39.6
19,Georgia (SEC),33,21-12,741,"1,866",39.7
20,Pittsburgh (AAC),34,28-6,735,"1,850",39.7
21,Montana (Big Sky),32,21-11,682,"1,710",39.9
22,Minnesota (Big Ten),31,17-14,710,"1,780",39.9
23,Boston U. (America East),35,21-14,783,"1,963",39.9
24,Washington St. (Pac-12),35,22-13,814,"2,040",39.9
25,Cal Poly (Big West),30,15-15,591,"1,479",40
26,Drexel (CAA),31,21-10,652,"1,630",40
27,Fairfield (MAAC),33,25-8,703,"1,756",40
28,UTEP (C-USA),35,25-10,784,"1,958",40
29,Clemson (ACC),34,22-12,724,"1,801",40.2
30,Massachusetts (Atlantic 10),30,15-15,677,"1,682",40.2
31,Savannah St. (Savannah St.),30,12-18,611,"1,517",40.3
32,Alabama St. (SWAC),35,17-18,715,"1,773",40.3
33,Gonzaga (WCC),35,25-10,786,"1,947",40.4
34,Maryland (ACC),33,19-14,805,"1,994",40.4
35,Illinois (Big Ten),34,20-14,780,"1,931",40.4
36,Old Dominion (CAA),34,27-7,717,"1,774",40.4
37,ETSU (ASUN),36,24-12,803,"1,983",40.5
38,Georgia St. (CAA),31,12-19,627,"1,548",40.5
39,Duke (ACC),37,32-5,896,"2,212",40.5
40,Richmond (Atlantic 10),37,29-8,832,"2,053",40.5
41,UNLV (Mountain West),33,24-9,704,"1,737",40.5
42,North Carolina (ACC),37,29-8,948,"2,339",40.5
43,Villanova (AAC),33,21-12,739,"1,823",40.5
44,Xavier (Atlantic 10),32,24-8,707,"1,743",40.6
45,Air Force (Mountain West),32,16-16,705,"1,737",40.6
46,Indiana St. (MVC),34,20-14,713,"1,755",40.6
47,Rutgers (AAC),32,15-17,667,"1,641",40.6
48,UT Arlington (Southland),29,13-16,654,"1,609",40.6
49,UC Santa Barbara (Big West),32,18-14,696,"1,712",40.7
50,Rider (MAAC),34,23-11,832,"2,045",40.7
51,Wichita St. (MVC),37,29-8,798,"1,956",40.8
52,Notre Dame (AAC),34,27-7,815,"1,996",40.8
53,Belmont (ASUN),35,30-5,721,"1,764",40.9
54,Northern Ariz. (Big Sky),32,19-13,716,"1,749",40.9
55,Southern California (Pac-12),34,19-15,741,"1,810",40.9
56,New Hampshire (America East),30,12-18,639,"1,560",41
57,UCF (C-USA),33,21-12,751,"1,832",41
58,Cincinnati (AAC),35,26-9,735,"1,790",41.1
59,Northern Colo. (Big Sky),32,21-11,682,"1,660",41.1
60,Vanderbilt (SEC),34,23-11,848,"2,063",41.1
61,N.C. A&T (MEAC),32,15-17,850,"2,066",41.1
62,West Virginia (AAC),33,21-12,752,"1,827",41.2
63,Albany (NY) (America East),32,16-16,744,"1,807",41.2
64,Oklahoma St. (Big 12),34,20-14,734,"1,782",41.2
65,Utah Valley (Utah Valley),30,19-11,727,"1,765",41.2
66,George Mason (CAA),34,27-7,761,"1,847",41.2
67,Arkansas (SEC),31,18-13,747,"1,813",41.2
68,Texas A&M (Big 12),33,24-9,702,"1,703",41.2
69,Canisius (MAAC),30,15-15,693,"1,681",41.2
70,Alabama A&M (SWAC),28,13-15,658,"1,594",41.3
71,UAB (C-USA),31,22-9,699,"1,692",41.3
72,Cleveland St. (Horizon),36,27-9,786,"1,900",41.4
73,Temple (Atlantic 10),34,26-8,790,"1,908",41.4
74,Dayton (Atlantic 10),36,22-14,806,"1,946",41.4
75,Purdue (Big Ten),34,26-8,770,"1,858",41.4
76,Florida A&M (MEAC),32,12-20,769,"1,855",41.5
77,BYU (Mountain West),37,32-5,902,"2,174",41.5
78,LSU (SEC),32,11-21,730,"1,759",41.5
79,Akron (MAC),36,23-13,832,"2,004",41.5
80,Winthrop (Big South),30,13-17,686,"1,650",41.6
81,Memphis (C-USA),35,25-10,828,"1,988",41.6
82,Virginia Tech (ACC),34,22-12,771,"1,851",41.7
83,Miami (FL) (ACC),36,21-15,833,"1,999",41.7
84,Buffalo (MAC),34,20-14,768,"1,843",41.7
85,Mississippi St. (SEC),31,17-14,799,"1,917",41.7
86,Texas Southern (SWAC),32,19-13,727,"1,744",41.7
87,UNC Asheville (Big South),34,20-14,803,"1,925",41.7
88,Seton Hall (AAC),31,13-18,722,"1,729",41.8
89,Monmouth (NEC),30,9-21,685,"1,639",41.8
90,Tennessee (SEC),34,19-15,785,"1,878",41.8
91,UCLA (Pac-12),34,23-11,821,"1,964",41.8
92,Georgetown (AAC),32,21-11,737,"1,763",41.8
93,Southern Miss. (C-USA),32,22-10,711,"1,700",41.8
