Rank,Team,GM,W-L,AST,TO,Ratio
1,Wisconsin (Big Ten),34,25-9,442,258,1.71
2,Northwestern (Big Ten),34,20-14,568,335,1.70
3,Ohio St. (Big Ten),37,34-3,587,375,1.57
4,Notre Dame (AAC),34,27-7,563,364,1.55
5,South Dakota St. (Summit League),31,19-12,471,308,1.53
6,Purdue (Big Ten),34,26-8,538,354,1.52
7,Pittsburgh (AAC),34,28-6,595,397,1.50
8,Saint Mary's (CA) (WCC),34,25-9,561,381,1.47
9,Richmond (Atlantic 10),37,29-8,548,383,1.43
10,Washington (Pac-12),35,24-11,593,426,1.39
11,Temple (Atlantic 10),34,26-8,511,368,1.39
12,Iona (MAAC),37,25-12,645,468,1.38
13,Boston College (ACC),34,21-13,517,376,1.38
14,Michigan (Big Ten),35,21-14,480,351,1.37
15,Duquesne (Atlantic 10),32,19-13,571,428,1.33
16,BYU (Mountain West),37,32-5,538,404,1.33
17,Kansas (Big 12),38,35-3,674,507,1.33
18,Louisville (AAC),35,25-10,608,459,1.32
19,Northern Ariz. (Big Sky),32,19-13,546,417,1.31
20,Illinois (Big Ten),34,20-14,568,434,1.31
21,Syracuse (AAC),35,27-8,566,433,1.31
22,Hofstra (CAA),33,21-12,448,346,1.29
23,Bucknell (Patriot),34,25-9,492,380,1.29
24,Missouri (Big 12),34,23-11,557,431,1.29
25,VCU (CAA),40,28-12,583,452,1.29
26,George Mason (CAA),34,27-7,483,376,1.28
27,Missouri St. (MVC),35,26-9,464,362,1.28
28,Air Force (Mountain West),32,16-16,494,386,1.28
29,Youngstown St. (Horizon),30,9-21,454,359,1.26
30,Marquette (AAC),37,22-15,574,455,1.26
31,Quinnipiac (NEC),32,22-10,498,400,1.25
32,Utah St. (WAC),34,30-4,500,402,1.24
33,American (Patriot),31,22-9,430,346,1.24
34,San Diego St. (Mountain West),37,34-3,499,402,1.24
35,Cincinnati (AAC),35,26-9,497,401,1.24
36,Wichita St. (MVC),37,29-8,572,462,1.24
37,Maryland (ACC),33,19-14,557,450,1.24
38,West Virginia (AAC),33,21-12,491,397,1.24
39,UTEP (C-USA),35,25-10,538,438,1.23
40,UNLV (Mountain West),33,24-9,507,414,1.22
41,Arizona St. (Pac-12),31,12-19,463,379,1.22
42,Pacific (Big West),31,16-15,433,356,1.22
43,Creighton (MVC),39,23-16,568,470,1.21
44,Wofford (SoCon),34,21-13,487,404,1.21
45,Akron (MAC),36,23-13,520,432,1.20
46,Sam Houston (Southland),31,18-13,538,447,1.20
47,Cornell (Ivy League),28,10-18,406,338,1.20
48,Oakland (Summit League),35,25-10,568,473,1.20
49,Iowa St. (Big 12),32,16-16,480,401,1.20
50,Purdue Fort Wayne (Summit League),30,18-12,436,365,1.19
51,Longwood (Longwood),31,12-19,510,428,1.19
52,Kentucky (SEC),38,29-9,482,406,1.19
53,Duke (ACC),37,32-5,529,447,1.18
54,Belmont (ASUN),35,30-5,569,481,1.18
55,Minnesota (Big Ten),31,17-14,487,413,1.18
56,Coastal Carolina (Big South),34,28-6,521,443,1.18
