Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
1,Gonzaga (WCC),32,28-4,"2,790",87.2,"2,119",66.2,21
2,Houston (AAC),38,32-6,"2,844",74.8,"2,233",58.8,16.1
3,Arizona (Pac-12),37,33-4,"3,107",84,"2,518",68.1,15.9
4,Murray St. (OVC),34,31-3,"2,690",79.1,"2,150",63.2,15.9
5,Vermont (America East),34,28-6,"2,544",74.8,"2,065",60.7,14.1
6,UAB (C-USA),35,27-8,"2,811",80.3,"2,336",66.7,13.6
7,Baylor (Big 12),34,27-7,"2,619",77,"2,178",64.1,13
8,Kentucky (SEC),34,26-8,"2,701",79.4,"2,263",66.6,12.9
9,South Dakota St. (Summit League),35,30-5,"3,005",85.9,"2,561",73.2,12.7
10,Duke (ACC),39,32-7,"3,122",80.1,"2,643",67.8,12.3
11,Iowa (Big Ten),36,26-10,"2,995",83.2,"2,562",71.2,12
12,Texas Tech (Big 12),37,27-10,"2,667",72.1,"2,244",60.6,11.4
13,Loyola Chicago (MVC),33,25-8,"2,403",72.8,"2,029",61.5,11.3
14,Toledo (MAC),34,26-8,"2,717",79.9,"2,334",68.6,11.3
15,Auburn (SEC),34,28-6,"2,660",78.2,"2,285",67.2,11
16,Kansas (Big 12),40,34-6,"3,129",78.2,"2,690",67.2,11
17,UCLA (Pac-12),35,27-8,"2,639",75.4,"2,256",64.5,10.9
18,Purdue (Big Ten),37,29-8,"2,936",79.4,"2,532",68.4,10.9
19,Tennessee (SEC),35,27-8,"2,571",73.5,"2,203",62.9,10.5
20,Longwood (Big South),33,26-7,"2,500",75.8,"2,169",65.7,10
21,Liberty (ASUN),33,22-11,"2,421",73.4,"2,094",63.5,9.9
22,Grand Canyon (WAC),31,23-8,"2,204",71.1,"1,898",61.2,9.9
23,Norfolk St. (MEAC),31,24-7,"2,302",74.3,"1,997",64.4,9.8
24,Chattanooga (SoCon),35,27-8,"2,596",74.2,"2,253",64.4,9.8
25,Wagner (NEC),27,21-6,"2,010",74.4,"1,747",64.7,9.7
26,Princeton (Ivy League),30,23-7,"2,395",79.8,"2,103",70.1,9.7
27,Belmont (OVC),33,25-8,"2,583",78.3,"2,264",68.6,9.7
28,San Francisco (WCC),34,24-10,"2,630",77.4,"2,304",67.8,9.6
29,UConn (Big East),33,23-10,"2,469",74.8,"2,155",65.3,9.5
30,Davidson (Atlantic 10),34,27-7,"2,567",75.5,"2,244",66,9.5
31,North Texas (C-USA),32,25-7,"2,083",65.1,"1,783",55.7,9.4
32,LSU (SEC),34,22-12,"2,467",72.6,"2,156",63.4,9.1
33,Abilene Christian (WAC),36,25-11,"2,761",76.7,"2,432",67.6,9.1
34,Saint Mary's (CA) (WCC),34,26-8,"2,370",69.7,"2,061",60.6,9.1
35,Villanova (Big East),38,30-8,"2,726",71.7,"2,383",62.7,9
36,Furman (SoCon),34,22-12,"2,640",77.6,"2,336",68.7,8.9
37,Oral Roberts (Summit League),31,19-12,"2,582",83.3,"2,306",74.4,8.9
38,Towson (CAA),34,25-9,"2,478",72.9,"2,185",64.3,8.6
39,Wake Forest (ACC),35,25-10,"2,749",78.5,"2,452",70.1,8.5
39,Colgate (Patriot),35,23-12,"2,646",75.6,"2,349",67.1,8.5
41,Missouri St. (MVC),34,23-11,"2,628",77.3,"2,342",68.9,8.4
42,Saint Louis (Atlantic 10),35,23-12,"2,666",76.2,"2,376",67.9,8.3
43,Seattle U (WAC),32,23-9,"2,393",74.8,"2,132",66.6,8.2
44,Texas (Big 12),34,22-12,"2,339",68.8,"2,062",60.6,8.1
45,UC Santa Barbara (Big West),28,17-11,"2,066",73.8,"1,841",65.8,8
46,Virginia Tech (ACC),36,23-13,"2,549",70.8,"2,261",62.8,8
46,Dayton (Atlantic 10),35,24-11,"2,423",69.2,"2,143",61.2,8
46,Akron (MAC),34,24-10,"2,402",70.6,"2,130",62.6,8
49,New Mexico St. (WAC),34,27-7,"2,464",72.5,"2,197",64.6,7.9
50,Jacksonville (ASUN),31,21-10,"2,081",67.1,"1,839",59.3,7.8
51,Middle Tenn. (C-USA),37,26-11,"2,771",74.9,"2,486",67.2,7.7
