Rank,Team,GM,W-L,FT,FTA,FT%
1,Villanova (Big East),38,30-8,527,635,83
2,Missouri St. (MVC),34,23-11,437,548,79.7
3,Hofstra (CAA),32,21-11,333,418,79.7
4,Oakland (Horizon),32,20-12,498,627,79.4
5,VMI (SoCon),32,16-16,377,476,79.2
6,Charlotte (C-USA),31,17-14,376,475,79.2
7,Portland (WCC),34,19-15,544,688,79.1
8,UNI (MVC),32,20-12,459,582,78.9
9,Miami (OH) (MAC),32,14-18,376,478,78.7
10,Montana (Big Sky),32,18-14,498,634,78.5
11,UMBC (America East),32,18-14,439,560,78.4
12,UIW (Southland),32,7-25,395,504,78.4
13,Indiana St. (MVC),31,11-20,362,465,77.8
14,Detroit Mercy (Horizon),30,14-16,305,393,77.6
15,Utah (Pac-12),31,11-20,418,540,77.4
16,Colorado St. (Mountain West),31,25-6,392,507,77.3
17,Dartmouth (Ivy League),25,9-16,271,351,77.2
18,Mercer (SoCon),33,16-17,401,521,77
19,Wright St. (Horizon),36,22-14,522,680,76.8
20,Cal St. Fullerton (Big West),32,21-11,479,625,76.6
21,Seattle U (WAC),32,23-9,426,556,76.6
22,Quinnipiac (MAAC),31,14-17,372,486,76.5
23,Bucknell (Patriot),32,9-23,388,507,76.5
24,UC Irvine (Big West),25,15-10,312,408,76.5
25,North Carolina (ACC),39,29-10,558,730,76.4
26,UTEP (C-USA),34,20-14,413,541,76.3
27,Saint Louis (Atlantic 10),35,23-12,514,674,76.3
28,Santa Clara (WCC),33,21-12,412,541,76.2
29,Central Ark. (ASUN),31,11-20,338,444,76.1
30,North Dakota St. (Summit League),33,23-10,484,636,76.1
31,Youngstown St. (Horizon),34,19-15,458,602,76.1
32,Arkansas (SEC),37,28-9,633,833,76
33,Robert Morris (Horizon),32,8-24,382,503,75.9
34,Valparaiso (MVC),32,14-18,362,477,75.9
35,Maryland (Big Ten),32,15-17,469,618,75.9
36,Wofford (SoCon),32,19-13,383,505,75.8
37,Southeastern La. (Southland),34,19-15,555,732,75.8
38,Saint Mary's (CA) (WCC),34,26-8,348,459,75.8
39,South Dakota St. (Summit League),35,30-5,523,690,75.8
40,Massachusetts (Atlantic 10),32,15-17,472,623,75.8
41,Ohio St. (Big Ten),32,20-12,440,581,75.7
42,Furman (SoCon),34,22-12,349,461,75.7
43,Tulane (AAC),29,14-15,419,554,75.6
44,Middle Tenn. (C-USA),37,26-11,543,718,75.6
45,Colorado (Pac-12),33,21-12,484,640,75.6
46,USC Upstate (Big South),32,15-17,400,529,75.6
47,Liberty (ASUN),33,22-11,378,500,75.6
48,Drake (MVC),36,25-11,449,595,75.5
49,Montana St. (Big Sky),35,27-8,565,749,75.4
50,East Carolina (AAC),30,15-15,436,578,75.4
51,Toledo (MAC),34,26-8,448,594,75.4
52,Abilene Christian (WAC),36,25-11,622,825,75.4
53,Davidson (Atlantic 10),34,27-7,450,597,75.4
54,Seton Hall (Big East),32,21-11,452,600,75.3
55,UConn (Big East),33,23-10,464,616,75.3
56,Eastern Wash. (Big Sky),34,18-16,500,664,75.3
57,Wichita St. (AAC),28,15-13,390,518,75.3
58,Notre Dame (ACC),35,24-11,396,526,75.3
59,Stony Brook (America East),31,18-13,377,501,75.2
60,Texas St. (Sun Belt),29,21-8,382,508,75.2
61,Virginia Tech (ACC),36,23-13,364,485,75.1
62,St. Bonaventure (Atlantic 10),33,23-10,373,497,75.1
63,SMU (AAC),33,24-9,502,669,75
64,New Mexico (Mountain West),32,13-19,459,612,75
64,South Dakota (Summit League),31,19-12,450,600,75
66,Michigan St. (Big Ten),36,23-13,461,615,75
67,Iowa (Big Ten),36,26-10,522,697,74.9
68,Nevada (Mountain West),31,13-18,429,573,74.9
69,Weber St. (Big Sky),33,21-12,521,696,74.9
70,Purdue Fort Wayne (Horizon),33,21-12,385,515,74.8
71,Georgia (SEC),32,6-26,503,673,74.7
72,Oklahoma (Big 12),35,19-16,381,510,74.7
73,Kent St. (MAC),34,23-11,462,619,74.6
74,Texas (Big 12),34,22-12,450,603,74.6
75,Michigan (Big Ten),34,19-15,429,575,74.6
76,Chattanooga (SoCon),35,27-8,408,547,74.6
77,Illinois St. (MVC),33,13-20,450,604,74.5
78,Howard (MEAC),29,16-13,452,607,74.5
79,Arkansas St. (Sun Belt),29,18-11,408,548,74.5
80,Delaware (CAA),35,22-13,489,657,74.4
81,Washington St. (Pac-12),37,22-15,497,668,74.4
82,Hawaii (Big West),28,17-11,366,492,74.4
83,Georgetown (Big East),31,6-25,415,558,74.4
84,Wisconsin (Big Ten),33,25-8,465,626,74.3
85,Belmont (OVC),33,25-8,387,521,74.3
86,UNCW (CAA),36,27-9,531,715,74.3
87,Portland St. (Big Sky),31,14-17,449,605,74.2
88,Vermont (America East),34,28-6,374,504,74.2
89,Miami (FL) (ACC),37,26-11,457,616,74.2
90,Lehigh (Patriot),32,13-19,338,456,74.1
91,Marquette (Big East),32,19-13,372,502,74.1
92,UCLA (Pac-12),35,27-8,468,632,74.1
93,Bowling Green (MAC),31,13-18,471,637,73.9
94,UAB (C-USA),35,27-8,465,629,73.9
95,Arizona (Pac-12),37,33-4,586,793,73.9
96,Boston U. (Patriot),35,22-13,421,570,73.9
97,Creighton (Big East),35,23-12,395,535,73.8
98,UNLV (Mountain West),32,18-14,409,554,73.8
99,Duke (ACC),39,32-7,498,675,73.8
100,A&M-Corpus Christi (Southland),35,23-12,572,776,73.7
101,Elon (CAA),32,10-22,342,464,73.7
102,Syracuse (ACC),33,16-17,423,574,73.7
103,North Dakota (Summit League),31,6-25,422,573,73.6
104,Rider (MAAC),33,14-19,401,545,73.6
105,Clemson (ACC),33,17-16,409,556,73.6
105,Missouri (SEC),33,12-21,409,556,73.6
107,Florida (SEC),34,20-14,481,654,73.5
108,Manhattan (MAAC),30,15-15,497,676,73.5
109,Little Rock (Sun Belt),28,9-19,369,502,73.5
110,Idaho (Big Sky),31,9-22,455,619,73.5
111,Yale (Ivy League),31,19-12,424,577,73.5
112,Penn St. (Big Ten),31,14-17,274,373,73.5
113,Northeastern (CAA),31,9-22,365,497,73.4
114,Siena (MAAC),29,15-14,344,469,73.3
115,Southeast Mo. St. (OVC),32,14-18,501,684,73.2
116,Bryant (NEC),32,22-10,475,649,73.2
117,Nebraska (Big Ten),32,10-22,457,625,73.1
118,Auburn (SEC),34,28-6,500,684,73.1
119,New Orleans (Southland),32,18-14,557,762,73.1
120,LSU (SEC),34,22-12,489,669,73.1
121,Niagara (MAAC),30,14-16,339,464,73.1
122,Virginia (ACC),35,21-14,374,512,73
123,Col. of Charleston (CAA),32,17-15,452,619,73
124,Wake Forest (ACC),35,25-10,497,681,73
125,Samford (SoCon),32,21-11,397,544,73
126,Oral Roberts (Summit League),31,19-12,348,477,73
127,Long Beach St. (Big West),33,20-13,542,743,72.9
128,Omaha (Summit League),30,5-25,366,502,72.9
129,Lipscomb (ASUN),33,14-19,475,652,72.9
130,Monmouth (MAAC),34,21-13,515,707,72.8
131,Penn (Ivy League),28,12-16,295,405,72.8
132,Alabama (SEC),33,19-14,496,681,72.8
