Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RPG,REB MAR
1,Kentucky (SEC),34,26-8,"1,364",40.1,"1,034",30.4,9.7
2,Purdue (Big Ten),37,29-8,"1,431",38.7,"1,076",29.1,9.6
3,North Carolina (ACC),39,29-10,"1,608",41.2,"1,275",32.7,8.5
4,Gonzaga (WCC),32,28-4,"1,339",41.8,"1,067",33.3,8.5
4,TCU (Big 12),34,21-13,"1,328",39.1,"1,039",30.6,8.5
6,Utah Valley (WAC),32,20-12,"1,295",40.5,"1,027",32.1,8.4
7,Murray St. (OVC),34,31-3,"1,328",39.1,"1,063",31.3,7.8
8,Buffalo (MAC),30,19-11,"1,273",42.4,"1,042",34.7,7.7
9,Arizona (Pac-12),37,33-4,"1,531",41.4,"1,249",33.8,7.6
10,UConn (Big East),33,23-10,"1,333",40.4,"1,085",32.9,7.5
11,Jacksonville (ASUN),31,21-10,"1,131",36.5,901,29.1,7.4
12,Houston (AAC),38,32-6,"1,482",39,"1,216",32,7
13,New Mexico St. (WAC),34,27-7,"1,295",38.1,"1,059",31.1,6.9
14,Bradley (MVC),31,17-14,"1,202",38.8,987,31.8,6.9
15,BYU (WCC),35,24-11,"1,375",39.3,"1,133",32.4,6.9
16,Col. of Charleston (CAA),32,17-15,"1,291",40.3,"1,070",33.4,6.9
17,Stanford (Pac-12),32,16-16,"1,180",36.9,963,30.1,6.8
18,Longwood (Big South),33,26-7,"1,224",37.1,"1,003",30.4,6.7
19,Grand Canyon (WAC),31,23-8,"1,258",40.6,"1,057",34.1,6.5
20,Saint Louis (Atlantic 10),35,23-12,"1,355",38.7,"1,129",32.3,6.5
21,Southern California (Pac-12),34,26-8,"1,363",40.1,"1,145",33.7,6.4
22,Memphis (AAC),33,22-11,"1,280",38.8,"1,079",32.7,6.1
23,Towson (CAA),34,25-9,"1,242",36.5,"1,035",30.4,6.1
24,Texas Tech (Big 12),37,27-10,"1,347",36.4,"1,122",30.3,6.1
25,McNeese (Southland),33,11-22,"1,338",40.5,"1,141",34.6,6
26,Vermont (America East),34,28-6,"1,190",35,990,29.1,5.9
27,Navy (Patriot),32,21-11,"1,194",37.3,"1,006",31.4,5.9
28,Coastal Carolina (Sun Belt),33,19-14,"1,318",39.9,"1,125",34.1,5.8
29,Mississippi St. (SEC),34,18-16,"1,236",36.4,"1,038",30.5,5.8
30,Dayton (Atlantic 10),35,24-11,"1,232",35.2,"1,029",29.4,5.8
31,Illinois (Big Ten),33,23-10,"1,271",38.5,"1,089",33,5.5
32,Michigan (Big Ten),34,19-15,"1,215",35.7,"1,029",30.3,5.5
33,UNC Greensboro (SoCon),32,17-15,"1,119",35,954,29.8,5.2
34,Colorado (Pac-12),33,21-12,"1,223",37.1,"1,057",32,5
35,Norfolk St. (MEAC),31,24-7,"1,202",38.8,"1,047",33.8,5
35,Wagner (NEC),27,21-6,"1,006",37.3,871,32.3,5
37,Chattanooga (SoCon),35,27-8,"1,264",36.1,"1,091",31.2,4.9
38,Louisiana (Sun Belt),31,16-15,"1,205",38.9,"1,053",34,4.9
39,San Francisco (WCC),34,24-10,"1,288",37.9,"1,124",33.1,4.8
40,Kansas (Big 12),40,34-6,"1,515",37.9,"1,323",33.1,4.8
41,Baylor (Big 12),34,27-7,"1,264",37.2,"1,101",32.4,4.8
42,North Dakota St. (Summit League),33,23-10,"1,234",37.4,"1,077",32.6,4.8
43,Texas Southern (SWAC),32,19-13,"1,263",39.5,"1,111",34.7,4.8
44,Southern Utah (Big Sky),35,23-12,"1,316",37.6,"1,150",32.9,4.7
45,Boise St. (Mountain West),35,27-8,"1,219",34.8,"1,055",30.1,4.7
46,Toledo (MAC),34,26-8,"1,357",39.9,"1,198",35.2,4.7
47,South Carolina St. (MEAC),31,15-16,"1,296",41.8,"1,155",37.3,4.5
48,UAB (C-USA),35,27-8,"1,338",38.2,"1,181",33.7,4.5
49,North Texas (C-USA),32,25-7,"1,091",34.1,948,29.6,4.5
50,Hawaii (Big West),28,17-11,985,35.2,860,30.7,4.5
51,A&M-Corpus Christi (Southland),35,23-12,"1,341",38.3,"1,188",33.9,4.4
51,Boston U. (Patriot),35,22-13,"1,219",34.8,"1,066",30.5,4.4
53,Oral Roberts (Summit League),31,19-12,"1,249",40.3,"1,114",35.9,4.4
54,New Hampshire (America East),28,15-13,"1,005",35.9,886,31.6,4.2
