Rank,Team,GM,W-L,AST,TO,Ratio
176,San Francisco (WCC),34,24-10,443,434,1.02
177,Akron (MAC),34,24-10,397,389,1.02
178,Coastal Carolina (Sun Belt),33,19-14,445,437,1.02
179,Kent St. (MAC),34,23-11,423,416,1.02
180,Nebraska (Big Ten),32,10-22,408,402,1.01
181,Texas Tech (Big 12),37,27-10,506,499,1.01
182,Mississippi St. (SEC),34,18-16,455,449,1.01
183,Maryland (Big Ten),32,15-17,372,368,1.01
184,Youngstown St. (Horizon),34,19-15,403,399,1.01
185,Alabama (SEC),33,19-14,484,480,1.01
186,Penn St. (Big Ten),31,14-17,368,366,1.01
187,North Dakota (Summit League),31,6-25,373,371,1.01
188,Pepperdine (WCC),32,7-25,473,471,1.00
189,New Mexico (Mountain West),32,13-19,376,375,1.00
190,Saint Joseph's (Atlantic 10),30,11-19,406,405,1.00
191,Bryant (NEC),32,22-10,444,444,1.00
191,Delaware (CAA),35,22-13,440,440,1.00
191,Washington St. (Pac-12),37,22-15,416,416,1.00
191,Hartford (America East),32,12-20,390,390,1.00
195,Bradley (MVC),31,17-14,419,420,1.00
196,UT Arlington (Sun Belt),29,11-18,405,406,1.00
197,Monmouth (MAAC),34,21-13,397,398,1.00
198,Indiana St. (MVC),31,11-20,406,408,1.00
199,Sacramento St. (Big Sky),29,11-18,319,321,0.99
200,Northern Colo. (Big Sky),38,22-16,467,470,0.99
201,Western Ill. (Summit League),32,16-16,364,367,0.99
202,FIU (C-USA),32,15-17,443,447,0.99
203,Memphis (AAC),33,22-11,522,527,0.99
204,Wyoming (Mountain West),34,25-9,381,385,0.99
205,San Jose St. (Mountain West),31,8-23,404,409,0.99
206,Colorado (Pac-12),33,21-12,441,447,0.99
207,Gardner-Webb (Big South),31,18-13,409,416,0.98
208,Grand Canyon (WAC),31,23-8,397,404,0.98
209,New Mexico St. (WAC),34,27-7,467,478,0.98
210,Louisville (ACC),32,13-19,382,391,0.98
211,Howard (MEAC),29,16-13,414,425,0.97
212,George Washington (Atlantic 10),30,12-18,368,378,0.97
213,Austin Peay (OVC),29,12-17,392,404,0.97
214,North Texas (C-USA),32,25-7,353,364,0.97
215,Oregon St. (Pac-12),31,3-28,376,389,0.97
216,Middle Tenn. (C-USA),37,26-11,460,477,0.96
217,St. Francis Brooklyn (NEC),30,10-20,357,371,0.96
218,Elon (CAA),32,10-22,401,417,0.96
219,Denver (Summit League),32,11-21,397,413,0.96
220,Georgia (SEC),32,6-26,444,462,0.96
221,Morgan St. (MEAC),28,13-15,414,431,0.96
222,Florida A&M (SWAC),30,13-17,360,375,0.96
223,Utah Valley (WAC),32,20-12,475,495,0.96
224,N.C. A&T (Big South),32,12-20,392,409,0.96
225,Army West Point (Patriot),31,15-16,389,408,0.95
226,North Dakota St. (Summit League),33,23-10,367,385,0.95
227,Southern Utah (Big Sky),35,23-12,422,443,0.95
228,Oklahoma (Big 12),35,19-16,491,516,0.95
229,Navy (Patriot),32,21-11,392,412,0.95
230,California (Pac-12),32,12-20,342,360,0.95
231,Creighton (Big East),35,23-12,466,492,0.95
232,Hawaii (Big West),28,17-11,344,364,0.95
233,South Alabama (Sun Belt),33,21-12,393,416,0.94
234,Rhode Island (Atlantic 10),31,15-16,417,442,0.94
235,Evansville (MVC),30,6-24,316,335,0.94
236,Boise St. (Mountain West),35,27-8,399,423,0.94
237,TCU (Big 12),34,21-13,464,492,0.94
238,Ball St. (MAC),31,14-17,408,433,0.94
239,Long Beach St. (Big West),33,20-13,411,437,0.94
240,UMass Lowell (America East),31,15-16,362,385,0.94
241,Temple (AAC),29,17-12,342,364,0.94
242,Presbyterian (Big South),32,12-20,403,429,0.94
243,Little Rock (Sun Belt),28,9-19,364,388,0.94
244,High Point (Big South),32,14-18,400,427,0.94
245,Samford (SoCon),32,21-11,411,440,0.93
246,San Diego St. (Mountain West),32,23-9,382,409,0.93
247,Wichita St. (AAC),28,15-13,336,360,0.93
248,Northern Ariz. (Big Sky),32,9-23,403,432,0.93
249,UNC Greensboro (SoCon),32,17-15,386,415,0.93
250,Yale (Ivy League),31,19-12,372,400,0.93
251,Pacific (WCC),30,8-22,343,369,0.93
252,DePaul (Big East),31,15-16,354,381,0.93
253,Cal St. Fullerton (Big West),32,21-11,360,388,0.93
254,Brown (Ivy League),29,13-16,354,382,0.93
255,Southern U. (SWAC),31,17-14,415,449,0.92
256,VCU (Atlantic 10),32,22-10,446,483,0.92
257,Southern Miss. (C-USA),33,7-26,405,439,0.92
258,South Carolina (SEC),31,18-13,435,472,0.92
259,Tulsa (AAC),31,11-20,365,397,0.92
260,Harvard (Ivy League),26,13-13,295,321,0.92
261,Butler (Big East),33,14-19,363,395,0.92
262,Saint Peter's (MAAC),34,22-12,418,456,0.92
262,Portland St. (Big Sky),31,14-17,352,384,0.92
264,Winthrop (Big South),32,23-9,428,467,0.92
265,Air Force (Mountain West),29,11-18,362,395,0.92
266,SFA (WAC),32,22-10,482,526,0.92
267,Weber St. (Big Sky),33,21-12,351,384,0.91
268,Boston U. (Patriot),35,22-13,387,424,0.91
269,Binghamton (America East),29,12-17,334,366,0.91
270,New Orleans (Southland),32,18-14,416,457,0.91
271,Dartmouth (Ivy League),25,9-16,261,287,0.91
272,American (Patriot),32,10-22,390,429,0.91
273,UC Davis (Big West),24,13-11,272,300,0.91
274,Troy (Sun Belt),32,20-12,443,490,0.90
275,UTSA (C-USA),32,10-22,366,406,0.90
276,Fordham (Atlantic 10),32,16-16,379,421,0.90
277,Vanderbilt (SEC),36,19-17,423,472,0.90
278,Illinois St. (MVC),33,13-20,406,455,0.89
279,Robert Morris (Horizon),32,8-24,405,456,0.89
280,Norfolk St. (MEAC),31,24-7,386,435,0.89
281,Houston Baptist (Southland),29,11-18,390,440,0.89
282,Tennessee St. (OVC),32,14-18,393,444,0.89
283,UT Martin (OVC),30,8-22,353,399,0.88
284,Georgetown (Big East),31,6-25,366,414,0.88
285,Idaho (Big Sky),31,9-22,370,422,0.88
286,Stanford (Pac-12),32,16-16,419,479,0.87
287,Duquesne (Atlantic 10),30,6-24,300,344,0.87
288,South Fla. (AAC),31,8-23,339,389,0.87
289,North Florida (ASUN),31,11-20,394,453,0.87
290,Milwaukee (Horizon),32,10-22,366,423,0.87
291,LSU (SEC),34,22-12,431,499,0.86
292,UIW (Southland),32,7-25,374,434,0.86
293,Mississippi Val. (SWAC),28,2-26,324,377,0.86
294,Fairleigh Dickinson (NEC),26,4-22,307,358,0.86
295,Ark.-Pine Bluff (SWAC),31,7-24,355,414,0.86
296,Washington (Pac-12),32,17-15,326,381,0.86
297,Seton Hall (Big East),32,21-11,330,388,0.85
298,CSU Bakersfield (Big West),27,8-19,268,316,0.85
299,Central Mich. (MAC),30,7-23,345,407,0.85
300,SIUE (OVC),32,11-21,408,483,0.84
301,Col. of Charleston (CAA),32,17-15,422,501,0.84
302,West Virginia (Big 12),33,16-17,346,411,0.84
303,Hampton (Big South),28,9-19,298,355,0.84
304,LMU (CA) (WCC),29,11-18,323,385,0.84
305,Oklahoma St. (Big 12),30,15-15,380,453,0.84
306,Missouri (SEC),33,12-21,399,476,0.84
307,Ga. Southern (Sun Belt),29,13-16,347,417,0.83
308,Green Bay (Horizon),30,5-25,322,388,0.83
309,Jackson St. (SWAC),30,11-19,327,397,0.82
310,NIU (MAC),30,9-21,337,411,0.82
311,Northeastern (CAA),31,9-22,353,433,0.82
312,Holy Cross (Patriot),31,9-22,315,387,0.81
313,Charleston So. (Big South),31,6-25,371,456,0.81
314,South Carolina St. (MEAC),31,15-16,379,466,0.81
315,Louisiana (Sun Belt),31,16-15,386,475,0.81
316,Pittsburgh (ACC),32,11-21,352,435,0.81
317,UMES (MEAC),27,11-16,336,416,0.81
317,UC Irvine (Big West),25,15-10,273,338,0.81
319,Bethune-Cookman (SWAC),30,9-21,324,402,0.81
320,Omaha (Summit League),30,5-25,328,408,0.80
321,Siena (MAAC),29,15-14,291,364,0.80
322,Manhattan (MAAC),30,15-15,346,434,0.80
323,San Diego (WCC),31,15-16,308,387,0.80
324,UTRGV (WAC),31,8-23,379,477,0.79
325,Columbia (Ivy League),26,4-22,313,396,0.79
326,Radford (Big South),29,11-18,316,400,0.79
327,NJIT (America East),29,11-18,293,372,0.79
328,N.C. Central (MEAC),31,16-15,384,489,0.79
329,Alabama St. (SWAC),31,10-21,373,479,0.78
330,McNeese (Southland),33,11-22,418,537,0.78
331,Central Conn. St. (NEC),32,8-24,340,441,0.77
332,Grambling (SWAC),32,12-20,350,455,0.77
333,Coppin St. (MEAC),32,9-23,353,461,0.77
334,UAlbany (America East),31,13-18,292,383,0.76
335,Lamar University (WAC),29,2-27,321,424,0.76
336,Idaho St. (Big Sky),30,7-23,313,414,0.76
337,Western Mich. (MAC),31,8-23,319,425,0.75
338,CSUN (Big West),30,7-23,275,367,0.75
339,Eastern Ill. (OVC),31,5-26,367,498,0.74
340,Alcorn (SWAC),34,17-17,352,479,0.73
341,Eastern Mich. (MAC),31,10-21,314,429,0.73
342,Marist (MAAC),30,14-16,269,371,0.73
343,Texas Southern (SWAC),32,19-13,346,479,0.72
344,Cal Poly (Big West),28,7-21,295,412,0.72
345,William & Mary (CAA),32,5-27,367,519,0.71
346,Alabama A&M (SWAC),30,12-18,285,407,0.70
347,Prairie View (SWAC),27,8-19,314,478,0.66
348,Chicago St. (WAC),32,7-25,308,483,0.64
349,IUPUI (Horizon),29,3-26,303,481,0.63
350,Delaware St. (MEAC),28,2-26,271,489,0.55
