Rank,Team,GM,W-L,AST,TO,Ratio
1,Iowa (Big Ten),36,26-10,577,331,1.74
2,Furman (SoCon),34,22-12,593,358,1.66
3,Northwestern (Big Ten),31,15-16,490,305,1.61
4,Duke (ACC),39,32-7,642,400,1.60
5,Vermont (America East),34,28-6,515,326,1.58
6,St. John's (NY) (Big East),32,17-15,600,381,1.57
7,Gonzaga (WCC),32,28-4,578,370,1.56
8,UCLA (Pac-12),35,27-8,486,313,1.55
9,Princeton (Ivy League),30,23-7,467,305,1.53
10,Belmont (OVC),33,25-8,595,390,1.53
11,Colgate (Patriot),35,23-12,598,396,1.51
12,Hofstra (CAA),32,21-11,495,330,1.50
13,Toledo (MAC),34,26-8,521,348,1.50
14,Davidson (Atlantic 10),34,27-7,498,333,1.50
15,Miami (FL) (ACC),37,26-11,524,352,1.49
16,Richmond (Atlantic 10),37,24-13,536,361,1.48
17,Arizona (Pac-12),37,33-4,726,497,1.46
18,Houston (AAC),38,32-6,617,423,1.46
19,Lafayette (Patriot),30,10-20,485,333,1.46
20,Virginia (ACC),35,21-14,493,339,1.45
21,Utah St. (Mountain West),34,18-16,611,424,1.44
22,Colorado St. (Mountain West),31,25-6,442,313,1.41
23,Kentucky (SEC),34,26-8,550,395,1.39
24,Purdue (Big Ten),37,29-8,601,436,1.38
25,VMI (SoCon),32,16-16,511,371,1.38
26,Minnesota (Big Ten),30,13-17,379,276,1.37
27,South Dakota St. (Summit League),35,30-5,528,385,1.37
28,Syracuse (ACC),33,16-17,482,354,1.36
29,Eastern Ky. (ASUN),31,13-18,486,359,1.35
30,Notre Dame (ACC),35,24-11,491,365,1.35
31,Tennessee (SEC),35,27-8,576,429,1.34
32,New Hampshire (America East),28,15-13,340,254,1.34
33,Campbell (Big South),29,16-13,404,303,1.33
34,Miami (OH) (MAC),32,14-18,440,331,1.33
35,The Citadel (SoCon),31,13-18,500,379,1.32
36,St. Bonaventure (Atlantic 10),33,23-10,451,342,1.32
37,Virginia Tech (ACC),36,23-13,515,391,1.32
38,Rutgers (Big Ten),32,18-14,486,369,1.32
39,Santa Clara (WCC),33,21-12,499,381,1.31
40,Clemson (ACC),33,17-16,470,364,1.29
41,Marquette (Big East),32,19-13,511,396,1.29
42,Murray St. (OVC),34,31-3,501,389,1.29
43,Baylor (Big 12),34,27-7,542,421,1.29
44,Tulane (AAC),29,14-15,392,305,1.29
45,Montana (Big Sky),32,18-14,420,328,1.28
46,North Carolina (ACC),39,29-10,582,455,1.28
47,Iona (MAAC),33,25-8,533,418,1.28
48,Wisconsin (Big Ten),33,25-8,365,287,1.27
49,Xavier (Big East),36,23-13,533,420,1.27
50,Liberty (ASUN),33,22-11,486,383,1.27
51,Kansas (Big 12),40,34-6,613,484,1.27
52,Kansas City (Summit League),31,19-12,412,326,1.26
53,Rice (C-USA),33,16-17,519,413,1.26
54,Cincinnati (AAC),33,18-15,433,346,1.25
55,LIU (NEC),30,16-14,508,408,1.25
56,UNLV (Mountain West),32,18-14,442,358,1.23
57,Indiana (Big Ten),35,21-14,511,414,1.23
58,Loyola Maryland (Patriot),30,14-16,449,364,1.23
59,Michigan St. (Big Ten),36,23-13,565,459,1.23
60,Illinois (Big Ten),33,23-10,501,408,1.23
61,Loyola Chicago (MVC),33,25-8,492,402,1.22
62,UIC (Horizon),30,14-16,441,361,1.22
63,Cleveland St. (Horizon),31,20-11,513,420,1.22
64,App State (Sun Belt),34,19-15,427,350,1.22
65,Cornell (Ivy League),26,15-11,450,369,1.22
66,Auburn (SEC),34,28-6,501,411,1.22
67,Charlotte (C-USA),31,17-14,433,356,1.22
68,Michigan (Big Ten),34,19-15,481,396,1.21
69,Tennessee Tech (OVC),32,11-21,512,424,1.21
70,Ohio (MAC),35,25-10,443,368,1.20
71,Saint Mary's (CA) (WCC),34,26-8,458,381,1.20
72,Villanova (Big East),38,30-8,451,376,1.20
73,South Dakota (Summit League),31,19-12,370,309,1.20
74,UConn (Big East),33,23-10,463,388,1.19
75,Morehead St. (OVC),34,23-11,546,459,1.19
76,Abilene Christian (WAC),36,25-11,538,453,1.19
77,Eastern Wash. (Big Sky),34,18-16,535,451,1.19
78,Louisiana Tech (C-USA),34,24-10,465,392,1.19
79,Oral Roberts (Summit League),31,19-12,364,308,1.18
80,UC Santa Barbara (Big West),28,17-11,438,371,1.18
81,ULM (Sun Belt),31,13-18,466,395,1.18
82,Massachusetts (Atlantic 10),32,15-17,437,371,1.18
83,Seattle U (WAC),32,23-9,436,371,1.18
84,Longwood (Big South),33,26-7,477,407,1.17
85,Southern California (Pac-12),34,26-8,486,415,1.17
86,Chattanooga (SoCon),35,27-8,449,384,1.17
87,Kennesaw St. (ASUN),31,13-18,446,382,1.17
88,ETSU (SoCon),32,15-17,420,360,1.17
89,FGCU (ASUN),34,22-12,534,458,1.17
90,Dayton (Atlantic 10),35,24-11,504,433,1.16
91,BYU (WCC),35,24-11,513,441,1.16
92,Wagner (NEC),27,21-6,393,338,1.16
93,Mercer (SoCon),33,16-17,473,408,1.16
94,Providence (Big East),33,27-6,437,378,1.16
95,George Mason (Atlantic 10),30,14-16,424,367,1.16
96,Georgia St. (Sun Belt),29,18-11,391,339,1.15
97,Wright St. (Horizon),36,22-14,506,440,1.15
98,Florida St. (ACC),31,17-14,445,387,1.15
99,Saint Louis (Atlantic 10),35,23-12,517,450,1.15
100,Lipscomb (ASUN),33,14-19,502,437,1.15
101,Texas (Big 12),34,22-12,450,392,1.15
102,Western Ky. (C-USA),32,19-13,445,388,1.15
103,Drexel (CAA),29,15-14,362,316,1.15
104,Missouri St. (MVC),34,23-11,413,362,1.14
105,Wofford (SoCon),32,19-13,425,373,1.14
106,Buffalo (MAC),30,19-11,451,396,1.14
107,East Carolina (AAC),30,15-15,442,389,1.14
108,UAB (C-USA),35,27-8,457,403,1.13
109,Towson (CAA),34,25-9,458,404,1.13
110,Arkansas (SEC),37,28-9,512,453,1.13
111,Valparaiso (MVC),32,14-18,400,354,1.13
112,UMBC (America East),32,18-14,396,351,1.13
113,NC State (ACC),32,11-21,362,322,1.12
114,Sam Houston (WAC),33,19-14,466,415,1.12
115,SMU (AAC),33,24-9,457,407,1.12
116,Arkansas St. (Sun Belt),29,18-11,452,403,1.12
117,Arizona St. (Pac-12),31,14-17,414,370,1.12
118,Niagara (MAAC),30,14-16,367,328,1.12
119,Ohio St. (Big Ten),32,20-12,400,358,1.12
120,UCF (AAC),30,18-12,435,391,1.11
121,Quinnipiac (MAAC),31,14-17,446,402,1.11
122,Stetson (ASUN),30,11-19,431,389,1.11
123,Nevada (Mountain West),31,13-18,453,409,1.11
124,Nicholls (Southland),33,21-12,448,405,1.11
125,Canisius (MAAC),32,11-21,416,378,1.10
126,Utah (Pac-12),31,11-20,418,380,1.10
127,Jacksonville (ASUN),31,21-10,387,352,1.10
128,Drake (MVC),36,25-11,427,389,1.10
129,Oakland (Horizon),32,20-12,430,392,1.10
130,Bucknell (Patriot),32,9-23,471,430,1.10
131,Jacksonville St. (ASUN),32,21-11,458,419,1.09
132,Marshall (C-USA),33,12-21,472,433,1.09
133,Kansas St. (Big 12),31,14-17,386,356,1.08
134,Portland (WCC),34,19-15,487,450,1.08
135,Wake Forest (ACC),35,25-10,527,488,1.08
136,Ole Miss (SEC),32,13-19,422,391,1.08
137,UC Riverside (Big West),28,16-12,373,346,1.08
138,James Madison (CAA),29,15-14,388,360,1.08
139,Fairfield (MAAC),33,15-18,394,366,1.08
140,USC Upstate (Big South),32,15-17,438,408,1.07
141,A&M-Corpus Christi (Southland),35,23-12,528,492,1.07
142,Penn (Ivy League),28,12-16,355,331,1.07
143,Fresno St. (Mountain West),36,23-13,431,402,1.07
144,Southeastern La. (Southland),34,19-15,519,486,1.07
145,Rider (MAAC),33,14-19,420,395,1.06
146,UNCW (CAA),36,27-9,383,361,1.06
147,Lehigh (Patriot),32,13-19,453,427,1.06
148,Iowa St. (Big 12),35,22-13,513,484,1.06
149,UNI (MVC),32,20-12,377,356,1.06
150,Southern Ill. (MVC),31,16-15,372,352,1.06
151,Stony Brook (America East),31,18-13,347,329,1.05
152,Northwestern St. (Southland),32,9-23,481,457,1.05
153,Maine (America East),29,6-23,386,368,1.05
154,Southeast Mo. St. (OVC),32,14-18,441,421,1.05
155,Central Ark. (ASUN),31,11-20,444,424,1.05
156,Sacred Heart (NEC),30,10-20,436,417,1.05
157,Georgia Tech (ACC),32,12-20,438,419,1.05
158,Northern Ky. (Horizon),32,20-12,440,421,1.05
159,Purdue Fort Wayne (Horizon),33,21-12,465,445,1.04
160,La Salle (Atlantic 10),30,11-19,401,384,1.04
161,Detroit Mercy (Horizon),30,14-16,363,348,1.04
162,Fla. Atlantic (C-USA),34,19-15,454,436,1.04
163,Boston College (ACC),33,13-20,409,393,1.04
164,UTEP (C-USA),34,20-14,412,396,1.04
165,UNC Asheville (Big South),32,17-15,407,392,1.04
166,Western Caro. (SoCon),32,11-21,412,397,1.04
167,Old Dominion (C-USA),32,13-19,395,381,1.04
168,Oregon (Pac-12),35,20-15,426,411,1.04
169,Texas A&M (SEC),40,27-13,541,524,1.03
170,Saint Francis (PA) (NEC),30,9-21,389,378,1.03
171,Florida (SEC),34,20-14,435,423,1.03
172,Bowling Green (MAC),31,13-18,390,380,1.03
173,Mount St. Mary's (NEC),30,14-16,398,388,1.03
174,Texas St. (Sun Belt),29,21-8,367,358,1.03
175,Montana St. (Big Sky),35,27-8,462,451,1.02
