Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
1,Houston (AAC),38,32-6,744,"2,003",37.1
2,Gonzaga (WCC),32,28-4,789,"2,076",38
3,Norfolk St. (MEAC),31,24-7,687,"1,807",38
4,San Diego St. (Mountain West),32,23-9,654,"1,702",38.4
5,Grand Canyon (WAC),31,23-8,675,"1,756",38.4
6,LSU (SEC),34,22-12,715,"1,854",38.6
7,Auburn (SEC),34,28-6,777,"2,014",38.6
8,Texas Tech (Big 12),37,27-10,763,"1,977",38.6
9,Saint Peter's (MAAC),34,22-12,699,"1,811",38.6
10,Arizona (Pac-12),37,33-4,928,"2,400",38.7
11,New Mexico St. (WAC),34,27-7,768,"1,976",38.9
12,Coastal Carolina (Sun Belt),33,19-14,772,"1,984",38.9
13,Gardner-Webb (Big South),31,18-13,673,"1,728",38.9
14,Southern California (Pac-12),34,26-8,806,"2,067",39
15,UC Irvine (Big West),25,15-10,543,"1,392",39
16,Oklahoma St. (Big 12),30,15-15,677,"1,730",39.1
17,Rhode Island (Atlantic 10),31,15-16,686,"1,749",39.2
18,Utah Valley (WAC),32,20-12,760,"1,930",39.4
19,VCU (Atlantic 10),32,22-10,679,"1,722",39.4
20,SMU (AAC),33,24-9,819,"2,074",39.5
21,Indiana (Big Ten),35,21-14,793,"2,004",39.6
22,Creighton (Big East),35,23-12,878,"2,215",39.6
23,Jacksonville (ASUN),31,21-10,641,"1,617",39.6
24,Memphis (AAC),33,22-11,771,"1,940",39.7
25,Texas Southern (SWAC),32,19-13,752,"1,884",39.9
26,Arizona St. (Pac-12),31,14-17,718,"1,797",40
27,Alabama A&M (SWAC),30,12-18,718,"1,791",40.1
28,Milwaukee (Horizon),32,10-22,782,"1,950",40.1
29,Temple (AAC),29,17-12,678,"1,690",40.1
30,Seton Hall (Big East),32,21-11,764,"1,899",40.2
31,UConn (Big East),33,23-10,762,"1,893",40.3
32,Seattle U (WAC),32,23-9,727,"1,806",40.3
33,Tennessee (SEC),35,27-8,770,"1,912",40.3
34,Cincinnati (AAC),33,18-15,764,"1,897",40.3
35,Liberty (ASUN),33,22-11,729,"1,809",40.3
36,Toledo (MAC),34,26-8,867,"2,148",40.4
37,South Alabama (Sun Belt),33,21-12,747,"1,847",40.4
38,Bradley (MVC),31,17-14,705,"1,740",40.5
39,Kansas (Big 12),40,34-6,980,"2,411",40.6
40,Navy (Patriot),32,21-11,678,"1,668",40.6
41,Monmouth (MAAC),34,21-13,786,"1,929",40.7
42,Villanova (Big East),38,30-8,861,"2,111",40.8
43,Sam Houston (WAC),33,19-14,710,"1,740",40.8
44,Morehead St. (OVC),34,23-11,813,"1,992",40.8
45,Dayton (Atlantic 10),35,24-11,790,"1,934",40.8
46,Providence (Big East),33,27-6,802,"1,960",40.9
47,UNLV (Mountain West),32,18-14,735,"1,796",40.9
48,Jacksonville St. (ASUN),32,21-11,778,"1,901",40.9
49,Fresno St. (Mountain West),36,23-13,764,"1,866",40.9
50,Loyola Chicago (MVC),33,25-8,725,"1,770",41
51,Louisiana (Sun Belt),31,16-15,747,"1,823",41
52,Ga. Southern (Sun Belt),29,13-16,661,"1,613",41
53,UMass Lowell (America East),31,15-16,723,"1,763",41
54,Vermont (America East),34,28-6,765,"1,865",41
55,Kent St. (MAC),34,23-11,755,"1,833",41.2
56,SIUE (OVC),32,11-21,760,"1,845",41.2
57,Murray St. (OVC),34,31-3,788,"1,912",41.2
58,Arkansas (SEC),37,28-9,880,"2,135",41.2
59,Marquette (Big East),32,19-13,824,"1,999",41.2
60,South Carolina (SEC),31,18-13,735,"1,783",41.2
61,LIU (NEC),30,16-14,777,"1,884",41.2
62,Illinois (Big Ten),33,23-10,816,"1,977",41.3
63,South Fla. (AAC),31,8-23,689,"1,669",41.3
64,Louisiana Tech (C-USA),34,24-10,830,"2,010",41.3
65,Wake Forest (ACC),35,25-10,880,"2,131",41.3
66,UT Arlington (Sun Belt),29,11-18,694,"1,680",41.3
67,North Texas (C-USA),32,25-7,654,"1,583",41.3
68,Middle Tenn. (C-USA),37,26-11,851,"2,059",41.3
69,Troy (Sun Belt),32,20-12,737,"1,782",41.4
70,Kentucky (SEC),34,26-8,835,"2,018",41.4
71,Towson (CAA),34,25-9,762,"1,840",41.4
72,Wyoming (Mountain West),34,25-9,825,"1,992",41.4
73,Texas A&M (SEC),40,27-13,924,"2,230",41.4
74,Cal Poly (Big West),28,7-21,634,"1,530",41.4
75,UC Davis (Big West),24,13-11,552,"1,332",41.4
76,Bryant (NEC),32,22-10,879,"2,121",41.4
77,Wichita St. (AAC),28,15-13,664,"1,602",41.4
78,UAB (C-USA),35,27-8,833,"2,009",41.5
79,VMI (SoCon),32,16-16,843,"2,033",41.5
80,Marist (MAAC),30,14-16,723,"1,742",41.5
81,Ohio St. (Big Ten),32,20-12,772,"1,860",41.5
82,UCLA (Pac-12),35,27-8,809,"1,948",41.5
83,Washington St. (Pac-12),37,22-15,859,"2,068",41.5
84,Niagara (MAAC),30,14-16,704,"1,694",41.6
85,Rider (MAAC),33,14-19,783,"1,884",41.6
86,Nicholls (Southland),33,21-12,816,"1,963",41.6
87,Iona (MAAC),33,25-8,804,"1,934",41.6
88,Hampton (Big South),28,9-19,692,"1,664",41.6
89,Penn St. (Big Ten),31,14-17,725,"1,741",41.6
90,A&M-Corpus Christi (Southland),35,23-12,809,"1,942",41.7
91,UC Riverside (Big West),28,16-12,665,"1,596",41.7
92,Texas (Big 12),34,22-12,712,"1,708",41.7
93,Georgia St. (Sun Belt),29,18-11,671,"1,609",41.7
94,Duke (ACC),39,32-7,"1,027","2,462",41.7
95,Delaware St. (MEAC),28,2-26,700,"1,678",41.7
96,Wagner (NEC),27,21-6,600,"1,438",41.7
97,Western Ky. (C-USA),32,19-13,842,"2,017",41.7
98,Hawaii (Big West),28,17-11,652,"1,559",41.8
99,Rutgers (Big Ten),32,18-14,756,"1,807",41.8
100,Old Dominion (C-USA),32,13-19,758,"1,811",41.9
101,UNC Greensboro (SoCon),32,17-15,712,"1,701",41.9
102,Tulane (AAC),29,14-15,729,"1,741",41.9
103,App State (Sun Belt),34,19-15,806,"1,924",41.9
