Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
1,UC Irvine (Big West),25,15-10,447,117,26.2
2,Grand Canyon (WAC),31,23-8,605,165,27.3
3,VCU (Atlantic 10),32,22-10,618,172,27.8
4,LSU (SEC),34,22-12,863,243,28.2
5,Gardner-Webb (Big South),31,18-13,718,203,28.3
6,North Texas (C-USA),32,25-7,473,134,28.3
7,Utah Valley (WAC),32,20-12,722,205,28.4
8,UNC Asheville (Big South),32,17-15,626,179,28.6
9,Houston (AAC),38,32-6,855,246,28.8
10,Hampton (Big South),28,9-19,563,162,28.8
11,Iowa St. (Big 12),35,22-13,681,197,28.9
12,Saint Peter's (MAAC),34,22-12,659,192,29.1
13,Southern U. (SWAC),31,17-14,580,169,29.1
14,Norfolk St. (MEAC),31,24-7,816,238,29.2
15,San Francisco (WCC),34,24-10,596,175,29.4
16,Temple (AAC),29,17-12,618,182,29.4
17,Jacksonville (ASUN),31,21-10,729,215,29.5
18,High Point (Big South),32,14-18,688,203,29.5
19,Wagner (NEC),27,21-6,568,168,29.6
20,UC Riverside (Big West),28,16-12,476,141,29.6
21,Chattanooga (SoCon),35,27-8,794,236,29.7
22,SMU (AAC),33,24-9,705,210,29.8
23,Kansas (Big 12),40,34-6,838,250,29.8
24,Murray St. (OVC),34,31-3,774,232,30
25,San Diego St. (Mountain West),32,23-9,643,193,30
26,Providence (Big East),33,27-6,706,212,30
27,Vanderbilt (SEC),36,19-17,778,234,30.1
28,New Mexico St. (WAC),34,27-7,843,254,30.1
29,Kansas St. (Big 12),31,14-17,693,209,30.2
30,Coastal Carolina (Sun Belt),33,19-14,905,273,30.2
31,Iona (MAAC),33,25-8,642,194,30.2
32,Baylor (Big 12),34,27-7,685,207,30.2
33,Wyoming (Mountain West),34,25-9,761,230,30.2
34,Texas Southern (SWAC),32,19-13,670,204,30.4
35,Yale (Ivy League),31,19-12,745,227,30.5
36,Oakland (Horizon),32,20-12,810,247,30.5
37,Gonzaga (WCC),32,28-4,691,211,30.5
38,Canisius (MAAC),32,11-21,585,179,30.6
39,Washington St. (Pac-12),37,22-15,722,221,30.6
40,BYU (WCC),35,24-11,771,236,30.6
41,Toledo (MAC),34,26-8,891,273,30.6
42,New Orleans (Southland),32,18-14,788,242,30.7
43,George Washington (Atlantic 10),30,12-18,628,193,30.7
44,Villanova (Big East),38,30-8,891,274,30.8
45,Kentucky (SEC),34,26-8,723,223,30.8
46,Loyola Chicago (MVC),33,25-8,680,210,30.9
47,Middle Tenn. (C-USA),37,26-11,764,236,30.9
48,TCU (Big 12),34,21-13,676,209,30.9
49,App State (Sun Belt),34,19-15,734,227,30.9
50,California (Pac-12),32,12-20,624,193,30.9
51,Seton Hall (Big East),32,21-11,645,200,31
52,Auburn (SEC),34,28-6,725,225,31
53,Butler (Big East),33,14-19,699,217,31
54,Arizona St. (Pac-12),31,14-17,737,229,31.1
55,Hawaii (Big West),28,17-11,476,148,31.1
56,A&M-Corpus Christi (Southland),35,23-12,842,262,31.1
57,Air Force (Mountain West),29,11-18,481,150,31.2
58,UCF (AAC),30,18-12,708,221,31.2
59,Kent St. (MAC),34,23-11,803,251,31.3
60,Cincinnati (AAC),33,18-15,582,182,31.3
61,Fordham (Atlantic 10),32,16-16,633,198,31.3
62,Tennessee (SEC),35,27-8,750,235,31.3
63,Seattle U (WAC),32,23-9,660,207,31.4
64,UNLV (Mountain West),32,18-14,749,235,31.4
65,Ohio (MAC),35,25-10,734,231,31.5
66,Georgia Tech (ACC),32,12-20,718,226,31.5
67,Sam Houston (WAC),33,19-14,743,234,31.5
68,Towson (CAA),34,25-9,762,240,31.5
69,Texas Tech (Big 12),37,27-10,898,283,31.5
70,Wichita St. (AAC),28,15-13,589,186,31.6
71,LIU (NEC),30,16-14,785,248,31.6
72,Michigan St. (Big Ten),36,23-13,803,254,31.6
73,Buffalo (MAC),30,19-11,610,193,31.6
74,Texas A&M (SEC),40,27-13,853,270,31.7
75,Creighton (Big East),35,23-12,736,233,31.7
76,South Alabama (Sun Belt),33,21-12,716,227,31.7
77,Bryant (NEC),32,22-10,712,226,31.7
78,SIUE (OVC),32,11-21,740,235,31.8
79,Oklahoma (Big 12),35,19-16,664,211,31.8
80,Kansas City (Summit League),31,19-12,563,179,31.8
81,Saint Joseph's (Atlantic 10),30,11-19,566,180,31.8
82,North Florida (ASUN),31,11-20,590,188,31.9
83,Cleveland St. (Horizon),31,20-11,759,242,31.9
84,Mississippi St. (SEC),34,18-16,784,250,31.9
85,N.C. Central (MEAC),31,16-15,699,223,31.9
86,UC Santa Barbara (Big West),28,17-11,523,167,31.9
87,Texas (Big 12),34,22-12,573,183,31.9
88,Longwood (Big South),33,26-7,789,252,31.9
89,North Dakota St. (Summit League),33,23-10,657,210,32
90,Illinois (Big Ten),33,23-10,585,187,32
91,South Carolina (SEC),31,18-13,638,204,32
92,Marquette (Big East),32,19-13,719,230,32
93,Alabama A&M (SWAC),30,12-18,697,223,32
94,Memphis (AAC),33,22-11,831,266,32
95,Bradley (MVC),31,17-14,656,210,32
96,UTRGV (WAC),31,8-23,755,242,32.1
97,UCLA (Pac-12),35,27-8,742,238,32.1
98,Duke (ACC),39,32-7,826,265,32.1
99,Cornell (Ivy League),26,15-11,701,225,32.1
100,Northern Ky. (Horizon),32,20-12,700,225,32.1
100,Wake Forest (ACC),35,25-10,784,252,32.1
102,Notre Dame (ACC),35,24-11,734,236,32.2
103,Xavier (Big East),36,23-13,786,253,32.2
104,Florida (SEC),34,20-14,621,200,32.2
105,Southern Ill. (MVC),31,16-15,509,164,32.2
106,Louisiana (Sun Belt),31,16-15,602,194,32.2
107,Oregon (Pac-12),35,20-15,757,244,32.2
108,Ole Miss (SEC),32,13-19,648,209,32.3
109,Saint Louis (Atlantic 10),35,23-12,713,230,32.3
109,Virginia Tech (ACC),36,23-13,713,230,32.3
111,Monmouth (MAAC),34,21-13,787,254,32.3
112,The Citadel (SoCon),31,13-18,799,258,32.3
113,NIU (MAC),30,9-21,600,194,32.3
114,SFA (WAC),32,22-10,671,217,32.3
115,Jackson St. (SWAC),30,11-19,482,156,32.4
116,Michigan (Big Ten),34,19-15,695,225,32.4
117,Fresno St. (Mountain West),36,23-13,787,255,32.4
118,Dayton (Atlantic 10),35,24-11,719,233,32.4
119,Rhode Island (Atlantic 10),31,15-16,725,235,32.4
120,Oklahoma St. (Big 12),30,15-15,694,225,32.4
121,West Virginia (Big 12),33,16-17,669,217,32.4
122,Tennessee Tech (OVC),32,11-21,795,258,32.5
123,UAB (C-USA),35,27-8,745,242,32.5
124,Wisconsin (Big Ten),33,25-8,628,204,32.5
125,Arkansas (SEC),37,28-9,828,269,32.5
126,Fairfield (MAAC),33,15-18,566,184,32.5
127,New Mexico (Mountain West),32,13-19,649,211,32.5
128,San Diego (WCC),31,15-16,507,165,32.5
129,Liberty (ASUN),33,22-11,736,240,32.6
130,St. Francis Brooklyn (NEC),30,10-20,524,171,32.6
