Rank,Team,GM,W-L,FT,FTA,FT%
1,CSUN (Big West),35,17-18,765,967,79.1
2,Providence (Big East),35,23-12,650,831,78.2
3,Georgia St. (Sun Belt),34,25-9,589,757,77.8
4,UConn (AAC),40,32-8,644,829,77.7
5,Columbia (Ivy League),34,21-13,551,711,77.5
6,Oregon (Pac-12),34,24-10,668,865,77.2
7,Pacific (WCC),34,18-16,584,763,76.5
8,Michigan (Big Ten),37,28-9,527,691,76.3
9,LMU (CA) (WCC),32,13-19,528,693,76.2
10,Washington (Pac-12),32,17-15,527,695,75.8
11,South Dakota St. (Summit League),32,19-13,568,751,75.6
12,Utah Valley (WAC),32,20-12,491,650,75.5
13,Miami (OH) (MAC),31,13-18,433,574,75.4
14,Cleveland St. (Horizon),33,21-12,496,659,75.3
15,Eastern Ky. (OVC),34,24-10,600,798,75.2
16,North Dakota St. (Summit League),33,26-7,540,719,75.1
17,South Dakota (Summit League),30,18-Dec,467,622,75.1
18,Albany (NY) (America East),34,19-15,546,728,75
19,Oklahoma (Big 12),33,23-10,601,802,74.9
20,Boise St. (Mountain West),34,21-13,547,730,74.9
21,UCLA (Pac-12),37,28-9,628,839,74.9
22,ETSU (ASUN),35,19-16,656,877,74.8
23,Bucknell (Patriot),30,16-14,385,516,74.6
24,Wisconsin (Big Ten),38,30-8,642,861,74.6
25,UNC Asheville (Big South),32,17-15,591,793,74.5
26,Lafayette (Patriot),31,20-Nov,419,563,74.4
27,Lamar University (Southland),30,26-Apr,482,648,74.4
28,Clemson (ACC),36,23-13,505,679,74.4
29,Creighton (Big East),35,27-8,486,654,74.3
30,Utah (Pac-12),33,21-12,537,723,74.3
31,Minnesota (Big Ten),38,25-13,607,818,74.2
32,High Point (Big South),31,16-15,414,558,74.2
33,IUPUI (Summit League),32,26-Jun,422,569,74.2
34,Missouri (SEC),35,23-12,703,948,74.2
35,Penn St. (Big Ten),34,16-18,559,754,74.1
36,Boston College (ACC),32,24-Aug,518,699,74.1
37,Northwestern St. (Southland),31,17-14,594,802,74.1
38,Weber St. (Big Sky),31,19-12,568,767,74.1
39,Canisius (MAAC),34,21-13,564,762,74
40,Mount St. Mary's (NEC),33,16-17,522,706,73.9
41,Belmont (OVC),36,26-10,587,794,73.9
42,Montana (Big Sky),30,17-13,495,671,73.8
43,Wright St. (Horizon),36,21-15,565,766,73.8
44,Little Rock (Sun Belt),32,15-17,556,754,73.7
45,Mercer (ASUN),36,27-9,582,791,73.6
46,Portland (WCC),31,15-16,516,702,73.5
47,Iowa (Big Ten),33,20-13,660,898,73.5
48,Utah St. (Mountain West),32,18-14,431,587,73.4
49,Valparaiso (Horizon),34,18-16,580,790,73.4
50,Milwaukee (Horizon),35,21-14,604,823,73.4
51,Youngstown St. (Horizon),32,15-17,540,736,73.4
52,Fordham (Atlantic 10),31,21-Oct,476,649,73.3
53,Santa Clara (WCC),33,14-19,516,704,73.3
54,Illinois (Big Ten),35,20-15,444,606,73.3
55,TCU (Big 12),31,22-Sep,519,709,73.2
56,Holy Cross (Patriot),34,20-14,518,708,73.2
57,Portland St. (Big Sky),32,17-15,520,711,73.1
58,Rider (MAAC),31,14-17,569,778,73.1
