Rank,Team,W,L,Pct
1,Wichita St. (MVC),35,1,97.2
2,Florida (SEC),36,3,92.3
3,SFA (Southland),32,3,91.4
4,Arizona (Pac-12),33,5,86.8
5,San Diego St. (Mountain West),31,5,86.1
6,Villanova (Big East),29,5,85.3
7,Harvard (Ivy League),27,5,84.4
8,Louisville (AAC),31,6,83.8
9,Syracuse (ACC),28,6,82.4
9,N.C. Central (MEAC),28,6,82.4
11,Virginia (ACC),30,7,81.1
12,Gonzaga (WCC),29,7,80.6
12,Southern Miss. (C-USA),29,7,80.6
14,UConn (AAC),32,8,80
15,Cincinnati (AAC),27,7,79.4
15,Toledo (MAC),27,7,79.4
15,Saint Louis (Atlantic 10),27,7,79.4
15,New Mexico (Mountain West),27,7,79.4
19,Wisconsin (Big Ten),30,8,78.9
20,North Dakota St. (Summit League),26,7,78.8
21,Louisiana Tech (C-USA),29,8,78.4
22,Iowa St. (Big 12),28,8,77.8
23,Green Bay (Horizon),24,7,77.4
24,Creighton (Big East),27,8,77.1
25,Michigan St. (Big Ten),29,9,76.3
26,Manhattan (MAAC),25,8,75.8
27,Michigan (Big Ten),28,9,75.7
27,UCLA (Pac-12),28,9,75.7
29,Mercer (ASUN),27,9,75
30,VCU (Atlantic 10),26,9,74.3
30,Duke (ACC),26,9,74.3
32,Georgia St. (Sun Belt),25,9,73.5
33,SMU (AAC),27,10,73
34,Massachusetts (Atlantic 10),24,9,72.7
34,George Washington (Atlantic 10),24,9,72.7
34,Middle Tenn. (C-USA),24,9,72.7
37,Kentucky (SEC),29,11,72.5
38,New Mexico St. (WAC),26,10,72.2
38,Pittsburgh (ACC),26,10,72.2
38,Belmont (OVC),26,10,72.2
41,Delaware (CAA),25,10,71.4
41,Ohio St. (Big Ten),25,10,71.4
41,Kansas (Big 12),25,10,71.4
44,Memphis (AAC),24,10,70.6
44,Oregon (Pac-12),24,10,70.6
44,North Carolina (ACC),24,10,70.6
44,Eastern Ky. (OVC),24,10,70.6
44,Saint Joseph's (Atlantic 10),24,10,70.6
49,Dayton (Atlantic 10),26,11,70.3
50,Princeton (Ivy League),21,9,70
50,UC Santa Barbara (Big West),21,9,70
52,Oklahoma (Big 12),23,10,69.7
52,Western Mich. (MAC),23,10,69.7
54,Towson (CAA),25,11,69.4
54,Purdue Fort Wayne (Summit League),25,11,69.4
56,Boston U. (Patriot),24,11,68.6
56,Texas (Big 12),24,11,68.6
56,Sam Houston (Southland),24,11,68.6
59,Baylor (Big 12),26,12,68.4
60,Indiana St. (MVC),23,11,67.6
60,Murray St. (OVC),23,11,67.6
60,UTEP (C-USA),23,11,67.6
60,Stony Brook (America East),23,11,67.6
64,Ohio (MAC),25,12,67.6
