Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
1,Louisville (AAC),37,31-6,"2,998",81,"2,260",61.1,19.9
2,Wichita St. (MVC),36,35-1,"2,706",75.2,"2,141",59.5,15.7
3,Louisiana Tech (C-USA),37,29-8,"2,998",81,"2,460",66.5,14.5
4,N.C. Central (MEAC),34,28-6,"2,513",73.9,"2,023",59.5,14.4
5,Arizona (Pac-12),38,33-5,"2,769",72.9,"2,225",58.6,14.3
6,San Diego St. (Mountain West),36,31-5,"2,530",70.3,"2,052",57,13.3
7,SFA (Southland),35,32-3,"2,661",76,"2,219",63.4,12.6
8,Harvard (Ivy League),32,27-5,"2,343",73.2,"1,952",61,12.2
9,Florida (SEC),39,36-3,"2,727",69.9,"2,253",57.8,12.2
10,Mercer (ASUN),36,27-9,"2,836",78.8,"2,410",66.9,11.8
11,Villanova (Big East),34,29-5,"2,651",78,"2,261",66.5,11.5
12,Iowa (Big Ten),33,20-13,"2,689",81.5,"2,321",70.3,11.2
13,Duke (ACC),35,26-9,"2,745",78.4,"2,359",67.4,11
14,Creighton (Big East),35,27-8,"2,756",78.7,"2,376",67.9,10.9
15,Utah (Pac-12),33,21-12,"2,479",75.1,"2,122",64.3,10.8
16,Gonzaga (WCC),36,29-7,"2,761",76.7,"2,372",65.9,10.8
17,UCLA (Pac-12),37,28-9,"3,003",81.2,"2,604",70.4,10.8
18,Oklahoma St. (Big 12),34,21-13,"2,728",80.2,"2,365",69.6,10.7
19,Tennessee (SEC),37,24-13,"2,672",72.2,"2,283",61.7,10.5
19,Virginia (ACC),37,30-7,"2,449",66.2,"2,060",55.7,10.5
21,Vermont (America East),33,22-11,"2,334",70.7,"2,000",60.6,10.1
22,Michigan St. (Big Ten),38,29-9,"2,870",75.5,"2,491",65.6,10
23,Cincinnati (AAC),34,27-7,"2,325",68.4,"1,986",58.4,10
24,North Dakota St. (Summit League),33,26-7,"2,492",75.5,"2,164",65.6,9.9
25,Pittsburgh (ACC),36,26-10,"2,586",71.8,"2,229",61.9,9.9
26,New Mexico St. (WAC),36,26-10,"2,771",77,"2,415",67.1,9.9
27,Green Bay (Horizon),31,24-7,"2,304",74.3,"1,999",64.5,9.8
28,VCU (Atlantic 10),35,26-9,"2,624",75,"2,282",65.2,9.8
29,Ohio St. (Big Ten),35,25-10,"2,432",69.5,"2,092",59.8,9.7
30,Wisconsin (Big Ten),38,30-8,"2,793",73.5,"2,432",64,9.5
31,Georgia St. (Sun Belt),34,25-9,"2,641",77.7,"2,330",68.5,9.1
32,Charleston So. (Big South),31,13-18,"2,523",81.4,"2,242",72.3,9.1
33,Michigan (Big Ten),37,28-9,"2,736",73.9,"2,408",65.1,8.9
34,Kansas (Big 12),35,25-10,"2,764",79,"2,454",70.1,8.9
35,Syracuse (ACC),34,28-6,"2,311",68,"2,012",59.2,8.8
36,Southern Miss. (C-USA),36,29-7,"2,596",72.1,"2,280",63.3,8.8
37,Arkansas (SEC),34,22-12,"2,723",80.1,"2,425",71.3,8.8
38,SMU (AAC),37,27-10,"2,627",71,"2,303",62.2,8.8
39,Iowa St. (Big 12),36,28-8,"2,989",83,"2,678",74.4,8.6
40,UConn (AAC),40,32-8,"2,873",71.8,"2,529",63.2,8.6
41,Southern U. (SWAC),32,19-13,"2,278",71.2,"2,006",62.7,8.5
42,Middle Tenn. (C-USA),33,24-9,"2,339",70.9,"2,067",62.6,8.2
43,Kentucky (SEC),40,29-11,"2,992",74.8,"2,665",66.6,8.2
44,Saint Louis (Atlantic 10),34,27-7,"2,374",69.8,"2,105",61.9,7.9
45,New Mexico (Mountain West),34,27-7,"2,516",74,"2,248",66.1,7.9
46,Eastern Ky. (OVC),34,24-10,"2,677",78.7,"2,411",70.9,7.8
47,Oregon (Pac-12),34,24-10,"2,783",81.9,"2,521",74.1,7.7
48,Boise St. (Mountain West),34,21-13,"2,591",76.2,"2,347",69,7.2
49,Baylor (Big 12),38,26-12,"2,843",74.8,"2,577",67.8,7
50,Manhattan (MAAC),33,25-8,"2,540",77,"2,311",70,6.9
51,North Carolina (ACC),34,24-10,"2,604",76.6,"2,372",69.8,6.8
52,Cleveland St. (Horizon),33,21-12,"2,410",73,"2,186",66.2,6.8
53,UC Irvine (Big West),35,23-12,"2,468",70.5,"2,231",63.7,6.8
54,Hawaii (Big West),31,20-11,"2,479",80,"2,270",73.2,6.7
55,BYU (WCC),35,23-12,"2,931",83.7,"2,706",77.3,6.4
56,Memphis (AAC),34,24-10,"2,614",76.9,"2,397",70.5,6.4
57,Princeton (Ivy League),30,21-9,"2,118",70.6,"1,931",64.4,6.2
58,Weber St. (Big Sky),31,19-12,"2,254",72.7,"2,061",66.5,6.2
59,Buffalo (MAC),29,19-10,"2,132",73.5,"1,952",67.3,6.2
60,George Washington (Atlantic 10),33,24-9,"2,415",73.2,"2,211",67,6.2
61,Sam Houston (Southland),35,24-11,"2,647",75.6,"2,431",69.5,6.2
62,Purdue Fort Wayne (Summit League),36,25-11,"2,774",77.1,"2,555",71,6.1
63,Iona (MAAC),33,22-11,"2,760",83.6,"2,560",77.6,6.1
64,Toledo (MAC),34,27-7,"2,694",79.2,"2,490",73.2,6
64,Saint Mary's (CA) (WCC),35,23-12,"2,502",71.5,"2,292",65.5,6
66,Belmont (OVC),36,26-10,"2,876",79.9,"2,661",73.9,6
67,Oklahoma (Big 12),33,23-10,"2,704",81.9,"2,508",76,5.9
68,Murray St. (OVC),34,23-11,"2,647",77.9,"2,446",71.9,5.9
69,Arizona St. (Pac-12),33,21-12,"2,486",75.3,"2,291",69.4,5.9
70,UC Santa Barbara (Big West),30,21-9,"2,137",71.2,"1,960",65.3,5.9
71,Louisiana (Sun Belt),35,23-12,"2,835",81,"2,631",75.2,5.8
72,UNLV (Mountain West),33,20-13,"2,355",71.4,"2,164",65.6,5.8
73,UTEP (C-USA),34,23-11,"2,347",69,"2,152",63.3,5.7
74,Davidson (SoCon),33,20-13,"2,591",78.5,"2,404",72.8,5.7
75,VMI (Big South),35,22-13,"3,089",88.3,"2,891",82.6,5.7
76,Dayton (Atlantic 10),37,26-11,"2,671",72.2,"2,478",67,5.2
77,Wright St. (Horizon),36,21-15,"2,419",67.2,"2,234",62.1,5.1
78,St. John's (NY) (Big East),33,20-13,"2,403",72.8,"2,234",67.7,5.1
79,Clemson (ACC),36,23-13,"2,287",63.5,"2,103",58.4,5.1
80,Stony Brook (America East),34,23-11,"2,426",71.4,"2,253",66.3,5.1
81,Tulsa (C-USA),34,21-13,"2,471",72.7,"2,299",67.6,5.1
82,Columbia (Ivy League),34,21-13,"2,313",68,"2,151",63.3,4.8
83,FGCU (ASUN),35,22-13,"2,504",71.5,"2,339",66.8,4.7
84,Indiana (Big Ten),32,17-15,"2,312",72.3,"2,162",67.6,4.7
85,Massachusetts (Atlantic 10),33,24-9,"2,502",75.8,"2,350",71.2,4.6
86,Valparaiso (Horizon),34,18-16,"2,439",71.7,"2,283",67.1,4.6
87,Wofford (SoCon),33,20-13,"2,205",66.8,"2,054",62.2,4.6
88,Ohio (MAC),37,25-12,"2,647",71.5,"2,480",67,4.5
89,Florida St. (ACC),36,22-14,"2,554",70.9,"2,392",66.4,4.5
90,Stanford (Pac-12),36,23-13,"2,616",72.7,"2,457",68.3,4.4
91,Towson (CAA),36,25-11,"2,633",73.1,"2,475",68.8,4.4
92,Southeast Mo. St. (OVC),32,18-14,"2,654",82.9,"2,514",78.6,4.4
93,USC Upstate (ASUN),34,19-15,"2,492",73.3,"2,349",69.1,4.2
94,Western Mich. (MAC),33,23-10,"2,373",71.9,"2,235",67.7,4.2
95,Boston U. (Patriot),35,24-11,"2,492",71.2,"2,346",67,4.2
96,Arkansas St. (Sun Belt),32,19-13,"2,432",76,"2,299",71.8,4.2
97,Eastern Mich. (MAC),37,22-15,"2,421",65.4,"2,270",61.4,4.1
98,Saint Joseph's (Atlantic 10),34,24-10,"2,433",71.6,"2,298",67.6,4
99,American (Patriot),33,20-13,"2,081",63.1,"1,951",59.1,3.9
100,Brown (Ivy League),29,15-14,"2,065",71.2,"1,951",67.3,3.9
101,Coastal Carolina (Big South),34,21-13,"2,458",72.3,"2,326",68.4,3.9
102,Delaware (CAA),35,25-10,"2,782",79.5,"2,648",75.7,3.8
103,West Virginia (Big 12),33,17-16,"2,546",77.2,"2,422",73.4,3.8
104,Minnesota (Big Ten),38,25-13,"2,715",71.4,"2,574",67.7,3.7
105,Xavier (Big East),34,21-13,"2,442",71.8,"2,316",68.1,3.7
106,Radford (Big South),35,22-13,"2,729",78,"2,600",74.3,3.7
107,Kansas St. (Big 12),33,20-13,"2,280",69.1,"2,159",65.4,3.7
108,Colorado St. (Mountain West),32,16-16,"2,347",73.3,"2,230",69.7,3.7
108,South Dakota St. (Summit League),32,19-13,"2,315",72.3,"2,198",68.7,3.7
110,Northern Colo. (Big Sky),32,18-14,"2,364",73.9,"2,248",70.3,3.6
111,Morehead St. (OVC),34,20-14,"2,603",76.6,"2,483",73,3.5
112,Gardner-Webb (Big South),33,18-15,"2,425",73.5,"2,309",70,3.5
113,Texas (Big 12),35,24-11,"2,598",74.2,"2,475",70.7,3.5
113,Providence (Big East),35,23-12,"2,566",73.3,"2,443",69.8,3.5
