Year,Team,Power 5 School,Placement,Seed,Berth type,Overall rank,Win Pct,SCR MAR,REB MAR,FG%,FT%,3FG%,OPP FG%,OPP 3FG%,AST/TO Ratio
2014,Wichita St. (MVC),False,32.0,1.0,Automatic,3.0,97.2,15.7,7.4,46.2,72.5,35.1,39.0,30.8,1.31
2014,Florida (SEC),True,4.0,1.0,Automatic,1.0,92.3,12.2,5.0,46.0,66.8,35.9,40.2,33.0,1.18
2014,SFA (Southland),False,32.0,12.0,Automatic,50.0,91.4,12.6,4.8,46.3,71.1,34.5,45.4,34.3,1.46
2014,Arizona (Pac-12),True,8.0,1.0,At–large,2.0,86.8,14.3,7.1,46.9,65.9,36.4,38.0,32.0,1.48
2014,San Diego St. (Mountain West),False,16.0,4.0,At–large,16.0,86.1,13.3,5.1,43.5,66.3,35.8,38.6,28.8,1.0
2014,Villanova (Big East),False,32.0,2.0,At-Large,5.0,85.3,11.5,3.7,45.6,71.6,35.6,40.5,35.3,1.29
2014,Harvard (Ivy League),False,32.0,12.0,Automatic,49.0,84.4,12.2,2.8,46.5,72.3,38.4,40.8,32.1,1.24
2014,Louisville (AAC),False,16.0,4.0,Automatic,13.0,83.8,19.9,3.0,47.1,66.1,36.8,39.6,28.6,1.45
2014,Syracuse (ACC),True,32.0,3.0,At–large,10.0,82.4,8.8,3.8,43.7,70.8,DNP,41.0,34.5,1.31
2014,N.C. Central (MEAC),False,64.0,14.0,Automatic,58.0,82.4,14.4,3.4,46.2,72.8,33.8,38.1,30.1,1.28
2014,Virginia (ACC),True,16.0,1.0,Automatic,4.0,81.1,10.5,6.1,45.4,67.3,36.9,38.8,32.3,1.31
2014,Gonzaga (WCC),False,32.0,8.0,Automatic,30.0,80.6,10.8,3.1,49.5,70.9,39.7,39.8,31.8,1.25
2014,Southern Miss. (C-USA),False,DNP,DNP,DNP,DNP,80.6,8.8,6.5,46.3,67.9,34.9,42.6,34.0,1.05
2014,UConn (AAC),False,1.0,7.0,At–large,26.0,80.0,8.6,0.5,44.9,77.7,38.7,39.2,33.0,1.07
2014,Cincinnati (AAC),False,64.0,5.0,At–large,17.0,79.4,10.0,4.3,42.5,70.8,33.5,39.5,32.0,1.13
2014,Toledo (MAC),False,DNP,DNP,DNP,DNP,79.4,6.0,2.4,46.6,72.5,34.5,46.1,35.2,1.47
2014,Saint Louis (Atlantic 10),False,32.0,5.0,At–large,18.0,79.4,7.9,1.4,44.4,69.7,31.6,40.3,28.9,1.12
2014,New Mexico (Mountain West),False,64.0,7.0,Automatic,28.0,79.4,7.9,5.3,45.8,72.3,33.2,38.9,34.8,1.45
2014,Wisconsin (Big Ten),True,4.0,2.0,At–large,8.0,78.9,9.5,1.4,45.9,74.6,37.6,42.9,34.1,1.52
2014,North Dakota St. (Summit League),False,32.0,12.0,Automatic,48.0,78.8,9.9,4.1,50.5,75.1,36.4,42.2,37.0,1.18
2014,Louisiana Tech (C-USA),False,DNP,DNP,DNP,DNP,78.4,14.5,2.6,45.3,67.9,32.9,41.5,31.2,1.37
2014,Iowa St. (Big 12),True,16.0,3.0,Automatic,12.0,77.8,8.6,1.6,47.4,69.3,35.8,42.0,34.1,1.74
2014,Green Bay (Horizon),False,DNP,DNP,DNP,DNP,77.4,9.8,3.2,47.4,70.3,DNP,39.4,31.9,1.2
2014,Creighton (Big East),False,32.0,3.0,At–large,11.0,77.1,10.9,2.3,49.7,74.3,41.4,42.6,34.2,1.8
2014,Michigan St. (Big Ten),True,8.0,4.0,Automatic,14.0,76.3,10.0,5.1,47.4,70.7,39.2,39.7,33.2,1.45
2014,Manhattan (MAAC),False,64.0,13.0,Automatic,51.0,75.8,6.9,1.1,45.1,66.3,36.9,40.9,32.7,0.93
2014,Michigan (Big Ten),True,8.0,2.0,At-large,6.0,75.7,8.9,0.2,47.7,76.3,40.2,44.5,31.8,1.52
2014,UCLA (Pac-12),True,16.0,4.0,Automatic,15.0,75.7,10.8,1.7,48.9,74.9,38.0,42.7,34.4,1.68
