Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RPG,REB MAR
242,Air Force (Mountain West),30,18-Dec,971,32.4,"1,016",33.9,-1.5
244,Montana St. (Big Sky),31,14-17,966,31.2,"1,014",32.7,-1.5
245,Cal Poly (Big West),34,14-20,"1,096",32.2,"1,150",33.8,-1.6
246,Vanderbilt (SEC),31,15-16,"1,069",34.5,"1,119",36.1,-1.6
247,Winthrop (Big South),33,20-13,"1,072",32.5,"1,127",34.2,-1.7
248,Milwaukee (Horizon),35,21-14,"1,182",33.8,"1,241",35.5,-1.7
249,Loyola Chicago (MVC),32,22-Oct,973,30.4,"1,027",32.1,-1.7
250,Savannah St. (MEAC),32,13-19,"1,072",33.5,"1,127",35.2,-1.7
251,Oklahoma St. (Big 12),34,21-13,"1,203",35.4,"1,262",37.1,-1.7
252,UNCW (CAA),32,23-Sep,"1,148",35.9,"1,204",37.6,-1.8
253,East Carolina (C-USA),34,17-17,"1,146",33.7,"1,206",35.5,-1.8
254,Austin Peay (OVC),30,18-Dec,999,33.3,"1,052",35.1,-1.8
255,Fordham (Atlantic 10),31,21-Oct,"1,152",37.2,"1,208",39,-1.8
256,Nebraska (Big Ten),32,19-13,"1,059",33.1,"1,121",35,-1.9
257,Sacred Heart (NEC),31,26-May,"1,070",34.5,"1,133",36.5,-2
258,Evansville (MVC),33,14-19,"1,057",32,"1,126",34.1,-2.1
259,Alabama (SEC),32,13-19,"1,050",32.8,"1,117",34.9,-2.1
260,Wright St. (Horizon),36,21-15,"1,061",29.5,"1,137",31.6,-2.1
261,Arkansas St. (Sun Belt),32,19-13,"1,104",34.5,"1,172",36.6,-2.1
262,Bryant (NEC),32,18-14,"1,094",34.2,"1,165",36.4,-2.2
263,Temple (AAC),31,22-Sep,"1,102",35.5,"1,171",37.8,-2.2
264,LIU (NEC),29,20-Sep,"1,001",34.5,"1,068",36.8,-2.3
265,Mississippi St. (SEC),33,14-19,"1,086",32.9,"1,163",35.2,-2.3
266,Campbell (Big South),32,20-Dec,"1,049",32.8,"1,124",35.1,-2.3
267,North Dakota (Big Sky),34,17-17,"1,071",31.5,"1,152",33.9,-2.4
268,Arizona St. (Pac-12),33,21-12,"1,172",35.5,"1,251",37.9,-2.4
269,Ole Miss (SEC),33,19-14,"1,211",36.7,"1,292",39.2,-2.5
270,Northwestern St. (Southland),31,17-14,"1,183",38.2,"1,260",40.6,-2.5
271,LMU (CA) (WCC),32,13-19,"1,081",33.8,"1,162",36.3,-2.5
272,Jacksonville (ASUN),30,18-Dec,"1,027",34.2,"1,106",36.9,-2.6
273,Illinois St. (MVC),34,18-16,"1,181",34.7,"1,271",37.4,-2.6
274,Delaware St. (MEAC),30,21-Sep,942,31.4,"1,023",34.1,-2.7
275,McNeese (Southland),31,20-Nov,"1,142",36.8,"1,226",39.5,-2.7
276,William & Mary (CAA),32,20-12,994,31.1,"1,082",33.8,-2.8
277,Central Mich. (MAC),31,21-Oct,971,31.3,"1,057",34.1,-2.8
278,Texas A&M (SEC),34,18-16,"1,147",33.7,"1,242",36.5,-2.8
279,Nicholls (Southland),29,14-15,920,31.7,"1,002",34.6,-2.8
280,UMBC (America East),30,21-Sep,"1,017",33.9,"1,102",36.7,-2.8
280,UMES (MEAC),30,24-Jun,979,32.6,"1,064",35.5,-2.8
282,Kennesaw St. (ASUN),31,25-Jun,"1,019",32.9,"1,108",35.7,-2.9
282,Miami (OH) (MAC),31,13-18,967,31.2,"1,056",34.1,-2.9
284,Delaware (CAA),35,25-10,"1,264",36.1,"1,365",39,-2.9
285,Marist (MAAC),31,19-Dec,"1,057",34.1,"1,148",37,-2.9
285,SIUE (OVC),31,20-Nov,963,31.1,"1,054",34,-2.9
287,Canisius (MAAC),34,21-13,"1,136",33.4,"1,236",36.4,-2.9
288,Fresno St. (Mountain West),39,21-18,"1,320",33.8,"1,435",36.8,-2.9
289,Penn (Ivy League),28,20-Aug,939,33.5,"1,022",36.5,-3
290,Samford (SoCon),33,13-20,"1,058",32.1,"1,156",35,-3
291,Mississippi Val. (SWAC),32,23-Sep,"1,115",34.8,"1,211",37.8,-3
292,Jacksonville St. (OVC),31,21-Oct,950,30.6,"1,046",33.7,-3.1
293,Portland St. (Big Sky),32,17-15,979,30.6,"1,079",33.7,-3.1
294,ETSU (ASUN),35,19-16,"1,227",35.1,"1,339",38.3,-3.2
295,Furman (SoCon),30,21-Sep,939,31.3,"1,038",34.6,-3.3
296,Howard (MEAC),33,25-Aug,"1,096",33.2,"1,206",36.5,-3.3
297,Lehigh (Patriot),32,14-18,"1,067",33.3,"1,175",36.7,-3.4
298,Eastern Mich. (MAC),37,22-15,"1,302",35.2,"1,428",38.6,-3.4
299,Lafayette (Patriot),31,20-Nov,927,29.9,"1,033",33.3,-3.4
300,Binghamton (America East),30,23-Jul,970,32.3,"1,074",35.8,-3.5
301,Arkansas (SEC),34,22-12,"1,222",35.9,"1,340",39.4,-3.5
302,Alcorn (SWAC),31,19-Dec,958,30.9,"1,066",34.4,-3.5
303,Niagara (MAAC),33,26-Jul,"1,132",34.3,"1,247",37.8,-3.5
304,The Citadel (SoCon),33,26-Jul,"1,092",33.1,"1,208",36.6,-3.5
305,Boston College (ACC),32,24-Aug,952,29.8,"1,067",33.3,-3.6
306,Santa Clara (WCC),33,14-19,"1,057",32,"1,176",35.6,-3.6
307,Bethune-Cookman (MEAC),32,25-Jul,"1,003",31.3,"1,121",35,-3.7
308,Wyoming (Mountain West),33,18-15,953,28.9,"1,092",33.1,-4.2
308,Hartford (America East),33,17-16,909,27.5,"1,048",31.8,-4.2
310,Southeastern La. (Southland),30,18-Dec,958,31.9,"1,088",36.3,-4.3
310,Lamar University (Southland),30,26-Apr,945,31.5,"1,075",35.8,-4.3
312,IUPUI (Summit League),32,26-Jun,995,31.1,"1,134",35.4,-4.3
313,Ark.-Pine Bluff (SWAC),31,13-18,946,30.5,"1,082",34.9,-4.4
314,Alabama A&M (SWAC),30,14-16,"1,016",33.9,"1,148",38.3,-4.4
315,Lipscomb (ASUN),30,15-15,991,33,"1,124",37.5,-4.4
316,Northwestern (Big Ten),33,14-19,"1,074",32.5,"1,224",37.1,-4.5
317,Grambling (SWAC),29,24-May,904,31.2,"1,036",35.7,-4.6
318,UTRGV (WAC),32,23-Sep,"1,058",33.1,"1,205",37.7,-4.6
319,Prairie View (SWAC),34,23-Nov,"1,164",34.2,"1,322",38.9,-4.6
320,Mount St. Mary's (NEC),33,16-17,"1,053",31.9,"1,207",36.6,-4.7
321,Georgia St. (Sun Belt),34,25-9,"1,074",31.6,"1,233",36.3,-4.7
322,Cornell (Ivy League),28,26-Feb,880,31.4,"1,011",36.1,-4.7
323,Kansas City (WAC),30,20-Oct,982,32.7,"1,124",37.5,-4.7
324,UT Martin (OVC),31,23-Aug,982,31.7,"1,129",36.4,-4.7
325,Central Conn. St. (NEC),30,19-Nov,"1,036",34.5,"1,187",39.6,-5
326,Iona (MAAC),33,22-11,"1,094",33.2,"1,261",38.2,-5.1
326,Oakland (Horizon),33,13-20,"1,025",31.1,"1,192",36.1,-5.1
328,Loyola Maryland (Patriot),30,19-Nov,935,31.2,"1,088",36.3,-5.1
329,Montana (Big Sky),30,17-13,813,27.1,971,32.4,-5.3
330,Denver (Summit League),31,16-15,808,26.1,972,31.4,-5.3
331,Rice (C-USA),30,23-Jul,971,32.4,"1,132",37.7,-5.4
332,Coppin St. (MEAC),32,20-Dec,"1,075",33.6,"1,255",39.2,-5.6
333,Saint Francis (PA) (NEC),31,21-Oct,934,30.1,"1,109",35.8,-5.6
334,Richmond (Atlantic 10),33,19-14,"1,074",32.5,"1,272",38.5,-6
335,Longwood (Big South),32,24-Aug,998,31.2,"1,193",37.3,-6.1
336,Fairleigh Dickinson (NEC),31,21-Oct,980,31.6,"1,177",38,-6.4
337,Presbyterian (Big South),32,26-Jun,980,30.6,"1,185",37,-6.4
338,Stetson (ASUN),31,24-Jul,925,29.8,"1,126",36.3,-6.5
339,Eastern Ky. (OVC),34,24-10,884,26,"1,110",32.6,-6.6
340,Central Ark. (Southland),29,21-Aug,982,33.9,"1,182",40.8,-6.9
341,Maine (America East),29,23-Jun,965,33.3,"1,171",40.4,-7.1
342,Southern Utah (Big Sky),29,27-Feb,827,28.5,"1,040",35.9,-7.3
343,UC Davis (Big West),31,22-Sep,878,28.3,"1,132",36.5,-8.2
344,Chicago St. (WAC),32,13-19,"1,003",31.3,"1,285",40.2,-8.8
345,TCU (Big 12),31,22-Sep,928,29.9,"1,218",39.3,-9.4
