Rank,Team,GM,W-L,3FG,3FGA,3FG%
59,Montana (Big Sky),30,17-13,222,593,37.4
60,NJIT (Independent),29,13-16,216,578,37.4
61,Valparaiso (Horizon),34,18-16,233,624,37.3
62,Sacramento St. (Big Sky),30,14-16,183,491,37.3
63,Boise St. (Mountain West),34,21-13,264,710,37.2
64,UNC Asheville (Big South),32,17-15,223,601,37.1
65,New Mexico St. (WAC),36,26-10,194,523,37.1
66,Eastern Wash. (Big Sky),31,15-16,251,677,37.1
67,Oakland (Horizon),33,13-20,279,754,37
68,Manhattan (MAAC),33,25-8,208,564,36.9
69,Virginia (ACC),37,30-7,206,559,36.9
70,Louisville (AAC),37,31-6,288,783,36.8
71,East Carolina (C-USA),34,17-17,289,786,36.8
72,Louisiana (Sun Belt),35,23-12,246,670,36.7
73,Houston (AAC),33,17-16,212,578,36.7
74,Idaho St. (Big Sky),29,18-Nov,166,453,36.6
75,Central Ark. (Southland),29,21-Aug,191,522,36.6
76,Santa Clara (WCC),33,14-19,248,678,36.6
77,North Dakota St. (Summit League),33,26-7,176,483,36.4
78,Oklahoma St. (Big 12),34,21-13,239,656,36.4
79,Southeastern La. (Southland),30,18-Dec,204,560,36.4
80,Stanford (Pac-12),36,23-13,208,571,36.4
81,George Washington (Atlantic 10),33,24-9,187,514,36.4
82,Arizona (Pac-12),38,33-5,204,561,36.4
83,Boston U. (Patriot),35,24-11,282,776,36.3
84,Duquesne (Atlantic 10),30,13-17,218,600,36.3
85,ETSU (ASUN),35,19-16,275,758,36.3
86,Arkansas (SEC),34,22-12,253,698,36.2
87,San Francisco (WCC),33,21-12,224,618,36.2
88,Radford (Big South),35,22-13,221,610,36.2
89,Wright St. (Horizon),36,21-15,220,609,36.1
90,Portland St. (Big Sky),32,17-15,196,543,36.1
91,The Citadel (SoCon),33,26-Jul,210,582,36.1
92,Virginia Tech (ACC),31,22-Sep,215,596,36.1
93,UNI (MVC),31,16-15,264,732,36.1
94,Wofford (SoCon),33,20-13,196,544,36
95,Pacific (WCC),34,18-16,216,600,36
96,Texas Southern (SWAC),34,19-15,217,603,36
97,Princeton (Ivy League),30,21-9,278,774,35.9
98,Southeast Mo. St. (OVC),32,18-14,218,607,35.9
99,Florida (SEC),39,36-3,255,711,35.9
100,North Florida (ASUN),32,16-16,227,633,35.9
101,Liberty (Big South),32,21-Nov,180,502,35.9
102,Lehigh (Patriot),32,14-18,199,555,35.9
103,San Diego St. (Mountain West),36,31-5,186,519,35.8
104,Iowa St. (Big 12),36,28-8,301,840,35.8
105,Seton Hall (Big East),34,17-17,252,704,35.8
106,Notre Dame (ACC),32,15-17,228,637,35.8
107,Pepperdine (WCC),31,15-16,197,551,35.8
108,Towson (CAA),36,25-11,213,596,35.7
109,Fresno St. (Mountain West),39,21-18,291,815,35.7
110,Quinnipiac (MAAC),32,20-12,173,485,35.7
111,UC Davis (Big West),31,22-Sep,245,687,35.7
112,Missouri St. (MVC),33,20-13,230,645,35.7
113,Charlotte (C-USA),31,17-14,186,523,35.6
114,Bethune-Cookman (MEAC),32,25-Jul,218,613,35.6
115,Villanova (Big East),34,29-5,304,855,35.6
116,BYU (WCC),35,23-12,177,498,35.5
117,Fairleigh Dickinson (NEC),31,21-Oct,226,636,35.5
118,Idaho (WAC),34,16-18,216,608,35.5
119,Stony Brook (America East),34,23-11,184,518,35.5
120,Mount St. Mary's (NEC),33,16-17,296,834,35.5
121,Montana St. (Big Sky),31,14-17,185,522,35.4
122,South Dakota (Summit League),30,18-Dec,191,539,35.4
123,Lipscomb (ASUN),30,15-15,275,777,35.4
124,UC Irvine (Big West),35,23-12,197,557,35.4
125,Presbyterian (Big South),32,26-Jun,190,538,35.3
126,Holy Cross (Patriot),34,20-14,217,615,35.3
127,Ohio (MAC),37,25-12,274,777,35.3
128,Minnesota (Big Ten),38,25-13,272,773,35.2
129,Boston College (ACC),32,24-Aug,247,702,35.2
130,Norfolk St. (MEAC),34,19-15,187,532,35.2
131,Wyoming (Mountain West),33,18-15,189,538,35.1
132,Western Caro. (SoCon),34,19-15,248,706,35.1
133,Wichita St. (MVC),36,35-1,250,712,35.1
134,Utah (Pac-12),33,21-12,204,581,35.1
135,Longwood (Big South),32,24-Aug,180,513,35.1
136,Pittsburgh (ACC),36,26-10,183,522,35.1
137,Northern Ariz. (Big Sky),32,15-17,170,485,35.1
138,Tulane (C-USA),34,17-17,205,585,35
139,Iowa (Big Ten),33,20-13,191,546,35
139,Loyola Chicago (MVC),32,22-Oct,191,546,35
141,Youngstown St. (Horizon),32,15-17,249,712,35
142,Campbell (Big South),32,20-Dec,278,795,35
143,VCU (Atlantic 10),35,26-9,260,744,34.9
144,Southern Miss. (C-USA),36,29-7,201,576,34.9
145,Indiana St. (MVC),34,23-11,219,629,34.8
146,Xavier (Big East),34,21-13,174,500,34.8
147,Kent St. (MAC),32,16-16,232,668,34.7
148,Providence (Big East),35,23-12,218,628,34.7
149,Utah Valley (WAC),32,20-12,208,600,34.7
150,Delaware (CAA),35,25-10,252,727,34.7
151,Marist (MAAC),31,19-Dec,201,580,34.7
152,Akron (MAC),34,21-13,239,690,34.6
153,UT Arlington (Sun Belt),32,15-17,259,748,34.6
154,Massachusetts (Atlantic 10),33,24-9,177,512,34.6
155,California (Pac-12),35,21-14,199,576,34.5
156,LIU (NEC),29,20-Sep,218,631,34.5
157,South Dakota St. (Summit League),32,19-13,209,605,34.5
158,SFA (Southland),35,32-3,248,718,34.5
159,Toledo (MAC),34,27-7,193,560,34.5
160,Houston Baptist (Southland),31,25-Jun,157,456,34.4
161,Austin Peay (OVC),30,18-Dec,158,459,34.4
162,Missouri (SEC),35,23-12,202,587,34.4
163,Indiana (Big Ten),32,17-15,176,512,34.4
164,Kennesaw St. (ASUN),31,25-Jun,192,559,34.3
165,Ark.-Pine Bluff (SWAC),31,13-18,193,562,34.3
166,UT Martin (OVC),31,23-Aug,218,636,34.3
167,Prairie View (SWAC),34,23-Nov,223,651,34.3
168,Maryland (ACC),32,17-15,226,660,34.2
169,Middle Tenn. (C-USA),33,24-9,178,520,34.2
170,LSU (SEC),34,20-14,231,675,34.2
171,UNC Greensboro (SoCon),32,14-18,167,488,34.2
172,Col. of Charleston (CAA),32,14-18,209,613,34.1
173,Jacksonville (ASUN),30,18-Dec,188,553,34
174,Kansas (Big 12),35,25-10,189,556,34
175,Troy (Sun Belt),31,20-Nov,219,645,34
176,Southern U. (SWAC),32,19-13,188,554,33.9
177,New Orleans (Southland),26,15-Nov,136,401,33.9
178,Gardner-Webb (Big South),33,18-15,175,516,33.9
179,Ole Miss (SEC),33,19-14,258,761,33.9
180,Washington (Pac-12),32,17-15,187,552,33.9
181,Army West Point (Patriot),31,15-16,236,697,33.9
182,Temple (AAC),31,22-Sep,201,594,33.8
183,Ga. Southern (SoCon),34,15-19,242,716,33.8
184,Seattle U (WAC),30,13-17,222,657,33.8
185,N.C. Central (MEAC),34,28-6,184,545,33.8
186,Coastal Carolina (Big South),34,21-13,212,628,33.8
187,Nevada (Mountain West),32,15-17,214,634,33.8
188,Howard (MEAC),33,25-Aug,175,519,33.7
189,Chicago St. (WAC),32,13-19,220,653,33.7
190,Western Ky. (Sun Belt),32,20-12,235,698,33.7
191,DePaul (Big East),33,21-Dec,195,580,33.6
192,Monmouth (MAAC),32,21-Nov,177,527,33.6
193,Rutgers (AAC),33,21-Dec,199,593,33.6
194,Central Conn. St. (NEC),30,19-Nov,169,504,33.5
195,Hawaii (Big West),31,20-11,177,528,33.5
196,Maine (America East),29,23-Jun,182,543,33.5
197,Buffalo (MAC),29,19-10,187,558,33.5
198,Cincinnati (AAC),34,27-7,196,585,33.5
199,UCF (AAC),31,13-18,215,642,33.5
200,Wagner (NEC),31,19-12,169,505,33.5
201,Florida A&M (MEAC),32,14-18,213,637,33.4
202,Hofstra (CAA),33,23-Oct,229,685,33.4
203,Northwestern St. (Southland),31,17-14,176,527,33.4
204,Alabama (SEC),32,13-19,183,548,33.4
205,Fla. Atlantic (C-USA),32,22-Oct,210,629,33.4
206,Fairfield (MAAC),32,25-Jul,220,660,33.3
206,Cal Poly (Big West),34,14-20,218,654,33.3
206,Bryant (NEC),32,18-14,201,603,33.3
206,Nebraska (Big Ten),32,19-13,188,564,33.3
206,Furman (SoCon),30,21-Sep,164,492,33.3
211,South Alabama (Sun Belt),31,20-Nov,241,724,33.3
212,San Jose St. (Mountain West),31,24-Jul,265,797,33.2
213,Kentucky (SEC),40,29-11,203,611,33.2
214,New Mexico (Mountain West),34,27-7,197,593,33.2
215,Chattanooga (SoCon),33,18-15,216,651,33.2
216,Georgetown (Big East),33,18-15,180,543,33.1
217,Kansas St. (Big 12),33,20-13,198,598,33.1
218,Cal St. Fullerton (Big West),31,20-Nov,191,577,33.1
219,UTSA (C-USA),30,22-Aug,181,547,33.1
220,Air Force (Mountain West),30,18-Dec,216,653,33.1
221,New Hampshire (America East),30,24-Jun,211,639,33
222,Memphis (AAC),34,24-10,182,552,33
223,Louisiana Tech (C-USA),37,29-8,286,868,32.9
224,UNLV (Mountain West),33,20-13,195,592,32.9
225,Wake Forest (ACC),33,17-16,166,504,32.9
226,FGCU (ASUN),35,22-13,200,608,32.9
226,Yale (Ivy League),33,19-14,175,532,32.9
228,Western Mich. (MAC),33,23-10,195,593,32.9
229,Navy (Patriot),30,21-Sep,201,612,32.8
230,Washington St. (Pac-12),31,21-Oct,234,713,32.8
231,UIC (Horizon),31,25-Jun,172,525,32.8
232,Tennessee Tech (OVC),33,17-16,185,565,32.7
233,North Dakota (Big Sky),34,17-17,200,611,32.7
234,Texas (Big 12),35,24-11,178,544,32.7
235,Purdue (Big Ten),32,15-17,176,538,32.7
236,Tulsa (C-USA),34,21-13,197,603,32.7
236,Sacred Heart (NEC),31,26-May,197,603,32.7
238,Old Dominion (C-USA),36,18-18,190,583,32.6
239,Colorado St. (Mountain West),32,16-16,170,522,32.6
240,La Salle (Atlantic 10),31,15-16,177,544,32.5
241,VMI (Big South),35,22-13,313,962,32.5
242,Milwaukee (Horizon),35,21-14,245,754,32.5
243,Tennessee (SEC),37,24-13,205,631,32.5
244,Little Rock (Sun Belt),32,15-17,164,505,32.5
245,Alabama A&M (SWAC),30,14-16,182,561,32.4
246,Ohio St. (Big Ten),35,25-10,200,617,32.4
247,Coppin St. (MEAC),32,20-Dec,235,725,32.4
248,Jacksonville St. (OVC),31,21-Oct,175,541,32.3
249,Rice (C-USA),30,23-Jul,237,733,32.3
250,Grambling (SWAC),29,24-May,179,554,32.3
251,Miami (FL) (ACC),33,17-16,186,576,32.3
252,Butler (Big East),31,14-17,183,567,32.3
253,UMES (MEAC),30,24-Jun,180,558,32.3
254,Richmond (Atlantic 10),33,19-14,209,649,32.2
255,Delaware St. (MEAC),30,21-Sep,156,485,32.2
256,Penn (Ivy League),28,20-Aug,140,436,32.1
257,Detroit Mercy (Horizon),32,13-19,191,595,32.1
258,Central Mich. (MAC),31,21-Oct,249,777,32
259,Hampton (MEAC),31,18-13,171,534,32
260,Binghamton (America East),30,23-Jul,182,569,32
261,Saint Francis (PA) (NEC),31,21-Oct,220,688,32
262,Eastern Ill. (OVC),30,19-Nov,152,476,31.9
263,Vanderbilt (SEC),31,15-16,191,599,31.9
264,Penn St. (Big Ten),34,16-18,210,659,31.9
265,Colorado (Pac-12),35,23-12,181,569,31.8
266,Cornell (Ivy League),28,26-Feb,192,604,31.8
267,ULM (Sun Belt),27,17-Oct,143,450,31.8
268,Texas A&M (SEC),34,18-16,197,621,31.7
269,Illinois (Big Ten),35,20-15,210,662,31.7
270,Saint Louis (Atlantic 10),34,27-7,190,601,31.6
271,Saint Peter's (MAAC),31,14-17,163,516,31.6
272,USC Upstate (ASUN),34,19-15,210,666,31.5
273,Georgia Tech (ACC),33,16-17,173,549,31.5
274,St. Francis Brooklyn (NEC),32,18-14,195,619,31.5
275,Mississippi Val. (SWAC),32,23-Sep,203,646,31.4
276,Drexel (CAA),30,16-14,154,491,31.4
277,Ball St. (MAC),30,25-May,196,625,31.4
278,Illinois St. (MVC),34,18-16,244,781,31.2
279,Long Beach St. (Big West),32,15-17,191,613,31.2
280,Auburn (SEC),30,14-16,172,554,31
281,Clemson (ACC),36,23-13,190,613,31
282,Eastern Mich. (MAC),37,22-15,187,605,30.9
283,Marshall (C-USA),33,22-Nov,202,655,30.8
284,Northwestern (Big Ten),33,14-19,217,708,30.6
285,Fordham (Atlantic 10),31,21-Oct,220,719,30.6
286,Nicholls (Southland),29,14-15,178,582,30.6
287,McNeese (Southland),31,20-Nov,203,666,30.5
288,UMBC (America East),30,21-Sep,173,570,30.4
289,N.C. A&T (MEAC),32,23-Sep,171,564,30.3
290,Kansas City (WAC),30,20-Oct,167,552,30.3
291,App State (SoCon),30,21-Sep,151,500,30.2
292,UAB (C-USA),31,18-13,158,525,30.1
293,Niagara (MAAC),33,26-Jul,166,554,30
294,Morehead St. (OVC),34,20-14,188,629,29.9
295,Stetson (ASUN),31,24-Jul,159,541,29.4
296,Alabama St. (SWAC),32,19-13,175,612,28.6
