Rank,Team,GM,W-L,3FG,3FGA,3FG%
1,Creighton (Big East),35,27-8,356,859,41.4
2,Utah St. (Mountain West),32,18-14,220,542,40.6
3,Cleveland St. (Horizon),33,21-12,240,594,40.4
4,Michigan (Big Ten),37,28-9,319,794,40.2
5,Vermont (America East),33,22-11,195,488,40
6,William & Mary (CAA),32,20-12,281,705,39.9
7,Lafayette (Patriot),31,20-Nov,231,580,39.8
8,Rider (MAAC),31,14-17,237,597,39.7
9,Gonzaga (WCC),36,29-7,255,643,39.7
10,Winthrop (Big South),33,20-13,272,686,39.7
11,Drake (MVC),31,15-16,239,603,39.6
12,Iona (MAAC),33,22-11,338,853,39.6
13,Colgate (Patriot),31,13-18,260,657,39.6
14,Duke (ACC),35,26-9,316,801,39.5
15,Portland (WCC),31,15-16,191,485,39.4
16,Purdue Fort Wayne (Summit League),36,25-11,285,726,39.3
17,Belmont (OVC),36,26-10,323,823,39.2
18,Oregon St. (Pac-12),32,16-16,177,451,39.2
19,Weber St. (Big Sky),31,19-12,222,566,39.2
20,Michigan St. (Big Ten),38,29-9,307,783,39.2
21,Sam Houston (Southland),35,24-11,250,638,39.2
22,Bucknell (Patriot),30,16-14,196,502,39
23,Eastern Ky. (OVC),34,24-10,315,807,39
24,Arizona St. (Pac-12),33,21-12,268,688,39
25,CSU Bakersfield (WAC),32,13-19,221,568,38.9
26,Oregon (Pac-12),34,24-10,259,666,38.9
27,UConn (AAC),40,32-8,287,741,38.7
28,Columbia (Ivy League),34,21-13,278,718,38.7
29,Denver (Summit League),31,16-15,253,654,38.7
30,Baylor (Big 12),38,26-12,280,725,38.6
31,Northern Colo. (Big Sky),32,18-14,190,492,38.6
32,Canisius (MAAC),34,21-13,271,702,38.6
33,High Point (Big South),31,16-15,187,485,38.6
34,Robert Morris (NEC),36,22-14,271,703,38.5
35,UC Santa Barbara (Big West),30,21-9,210,546,38.5
36,Saint Mary's (CA) (WCC),35,23-12,246,640,38.4
37,Harvard (Ivy League),32,27-5,184,479,38.4
38,Mercer (ASUN),36,27-9,290,756,38.4
39,Charleston So. (Big South),31,13-18,302,789,38.3
40,Arkansas St. (Sun Belt),32,19-13,282,737,38.3
41,West Virginia (Big 12),33,17-16,258,678,38.1
42,Florida St. (ACC),36,22-14,191,502,38
43,Dartmouth (Ivy League),28,16-Dec,174,458,38
44,Brown (Ivy League),29,15-14,196,516,38
45,UCLA (Pac-12),37,28-9,229,603,38
46,American (Patriot),33,20-13,207,546,37.9
47,Oklahoma (Big 12),33,23-10,285,752,37.9
48,Saint Joseph's (Atlantic 10),34,24-10,250,660,37.9
49,SIUE (OVC),31,20-Nov,223,590,37.8
50,South Carolina (SEC),34,14-20,195,516,37.8
51,Dayton (Atlantic 10),37,26-11,243,644,37.7
52,Hartford (America East),33,17-16,265,704,37.6
53,Davidson (SoCon),33,20-13,273,726,37.6
54,Wisconsin (Big Ten),38,30-8,297,790,37.6
55,Murray St. (OVC),34,23-11,252,671,37.6
56,Georgia St. (Sun Belt),34,25-9,252,672,37.5
56,San Diego (WCC),35,18-17,225,600,37.5
58,Elon (SoCon),32,18-14,256,683,37.5
