Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
118,St. Francis Brooklyn (NEC),32,18-14,463,154,33.3
119,Saint Peter's (MAAC),31,14-17,562,187,33.3
120,Georgetown (Big East),33,18-15,610,203,33.3
121,Howard (MEAC),33,25-Aug,651,217,33.3
121,Long Beach St. (Big West),32,15-17,648,216,33.3
123,Louisiana (Sun Belt),35,23-12,614,205,33.4
124,Western Caro. (SoCon),34,19-15,566,189,33.4
125,Mount St. Mary's (NEC),33,16-17,464,155,33.4
126,Elon (SoCon),32,18-14,520,174,33.5
127,Akron (MAC),34,21-13,517,173,33.5
128,Kennesaw St. (ASUN),31,25-Jun,502,168,33.5
129,Western Ill. (Summit League),30,20-Oct,487,163,33.5
130,Nevada (Mountain West),32,15-17,666,223,33.5
131,Colgate (Patriot),31,13-18,567,190,33.5
132,George Mason (Atlantic 10),31,20-Nov,561,188,33.5
133,Southern Ill. (MVC),33,14-19,665,223,33.5
134,Robert Morris (NEC),36,22-14,772,259,33.5
135,Idaho (WAC),34,16-18,628,211,33.6
136,Hawaii (Big West),31,20-11,586,197,33.6
137,UNC Greensboro (SoCon),32,14-18,612,206,33.7
138,Canisius (MAAC),34,21-13,710,239,33.7
139,VMI (Big South),35,22-13,653,220,33.7
140,South Carolina St. (MEAC),30,21-Sep,578,195,33.7
141,Saint Mary's (CA) (WCC),35,23-12,477,161,33.8
142,Seattle U (WAC),30,13-17,551,186,33.8
143,Tennessee St. (OVC),30,25-May,545,184,33.8
144,UNCW (CAA),32,23-Sep,619,209,33.8
145,Kent St. (MAC),32,16-16,539,182,33.8
146,Cal Poly (Big West),34,14-20,541,183,33.8
147,NJIT (Independent),29,13-16,635,215,33.9
148,Sam Houston (Southland),35,24-11,552,187,33.9
149,Bucknell (Patriot),30,16-14,537,182,33.9
150,BYU (WCC),35,23-12,764,259,33.9
151,Cal St. Fullerton (Big West),31,20-Nov,480,163,34
152,South Alabama (Sun Belt),31,20-Nov,530,180,34
153,San Diego (WCC),35,18-17,624,212,34
154,Lehigh (Patriot),32,14-18,621,211,34
155,Southern Miss. (C-USA),36,29-7,774,263,34
156,Nicholls (Southland),29,14-15,417,142,34.1
157,Georgia St. (Sun Belt),34,25-9,784,267,34.1
158,Iona (MAAC),33,22-11,640,218,34.1
159,Wisconsin (Big Ten),38,30-8,540,184,34.1
160,Iowa St. (Big 12),36,28-8,760,259,34.1
161,Maryland (ACC),32,17-15,569,194,34.1
162,Chattanooga (SoCon),33,18-15,507,173,34.1
162,Southeastern La. (Southland),30,18-Dec,507,173,34.1
164,Ga. Southern (SoCon),34,15-19,703,240,34.1
165,Creighton (Big East),35,27-8,685,234,34.2
166,Saint Joseph's (Atlantic 10),34,24-10,676,231,34.2
167,Sacred Heart (NEC),31,26-May,632,216,34.2
168,USC Upstate (ASUN),34,19-15,787,269,34.2
169,Oklahoma (Big 12),33,23-10,690,236,34.2
170,Minnesota (Big Ten),38,25-13,721,247,34.3
171,Illinois (Big Ten),35,20-15,645,221,34.3
172,Col. of Charleston (CAA),32,14-18,461,158,34.3
173,Alcorn (SWAC),31,19-Dec,522,179,34.3
174,Rice (C-USA),30,23-Jul,539,185,34.3
175,Campbell (Big South),32,20-Dec,536,184,34.3
176,TCU (Big 12),31,22-Sep,597,205,34.3
177,SFA (Southland),35,32-3,431,148,34.3
178,Hartford (America East),33,17-16,530,182,34.3
179,Drake (MVC),31,15-16,599,206,34.4
180,Sacramento St. (Big Sky),30,14-16,494,170,34.4
181,UCLA (Pac-12),37,28-9,874,301,34.4
182,Syracuse (ACC),34,28-6,676,233,34.5
183,West Virginia (Big 12),33,17-16,638,220,34.5
183,Eastern Wash. (Big Sky),31,15-16,580,200,34.5
185,Liberty (Big South),32,21-Nov,684,236,34.5
186,SIUE (OVC),31,20-Nov,533,184,34.5
187,Tennessee (SEC),37,24-13,556,192,34.5
188,St. John's (NY) (Big East),33,20-13,608,210,34.5
189,FGCU (ASUN),35,22-13,691,239,34.6
190,Fairfield (MAAC),32,25-Jul,445,154,34.6
191,Arkansas (SEC),34,22-12,615,213,34.6
192,Morehead St. (OVC),34,20-14,609,211,34.6
193,Boise St. (Mountain West),34,21-13,629,218,34.7
194,Prairie View (SWAC),34,23-Nov,597,207,34.7
195,Jackson St. (SWAC),31,20-Nov,571,198,34.7
196,Quinnipiac (MAAC),32,20-12,568,197,34.7
197,Ole Miss (SEC),33,19-14,709,246,34.7
198,Northwestern St. (Southland),31,17-14,653,227,34.8
199,New Mexico (Mountain West),34,27-7,699,243,34.8
200,Kansas City (WAC),30,20-Oct,595,207,34.8
201,CSUN (Big West),35,17-18,769,268,34.9
202,Stanford (Pac-12),36,23-13,680,237,34.9
203,UCF (AAC),31,13-18,548,191,34.9
204,Denver (Summit League),31,16-15,416,145,34.9
205,Houston (AAC),33,17-16,599,209,34.9
206,The Citadel (SoCon),33,26-Jul,659,230,34.9
207,Albany (NY) (America East),34,19-15,676,236,34.9
208,Bowling Green (MAC),32,20-Dec,570,199,34.9
209,Seton Hall (Big East),34,17-17,607,212,34.9
210,North Texas (C-USA),32,16-16,564,197,34.9
211,Norfolk St. (MEAC),34,19-15,707,247,34.9
212,San Francisco (WCC),33,21-12,649,227,35
213,Belmont (OVC),36,26-10,709,248,35
214,New Orleans (Southland),26,15-Nov,443,155,35
215,Little Rock (Sun Belt),32,15-17,717,251,35
216,Central Ark. (Southland),29,21-Aug,470,165,35.1
217,Chicago St. (WAC),32,13-19,635,223,35.1
218,Tennessee Tech (OVC),33,17-16,538,189,35.1
219,UNC Asheville (Big South),32,17-15,612,215,35.1
219,UC Santa Barbara (Big West),30,21-9,612,215,35.1
221,James Madison (CAA),31,20-Nov,643,226,35.1
222,Western Ky. (Sun Belt),32,20-12,512,180,35.2
