Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
1,Eastern Mich. (MAC),37,22-15,739,"2,001",36.9
2,Southern U. (SWAC),32,19-13,634,"1,700",37.3
3,UC Irvine (Big West),35,23-12,746,"1,997",37.4
4,Arizona (Pac-12),38,33-5,776,"2,041",38
5,N.C. Central (MEAC),34,28-6,658,"1,726",38.1
6,UTEP (C-USA),34,23-11,738,"1,934",38.2
7,SMU (AAC),37,27-10,762,"1,977",38.5
8,San Diego St. (Mountain West),36,31-5,734,"1,904",38.6
9,Virginia (ACC),37,30-7,727,"1,875",38.8
10,New Mexico (Mountain West),34,27-7,776,"1,995",38.9
11,Wichita St. (MVC),36,35-1,746,"1,911",39
12,Wagner (NEC),31,19-12,698,"1,783",39.1
13,UConn (AAC),40,32-8,878,"2,241",39.2
14,Green Bay (Horizon),31,24-7,701,"1,780",39.4
15,Brown (Ivy League),29,15-14,671,"1,703",39.4
16,Vermont (America East),33,22-11,665,"1,684",39.5
17,Clemson (ACC),36,23-13,778,"1,970",39.5
18,Valparaiso (Horizon),34,18-16,755,"1,911",39.5
19,Cincinnati (AAC),34,27-7,690,"1,745",39.5
20,Louisville (AAC),37,31-6,786,"1,983",39.6
21,Michigan St. (Big Ten),38,29-9,817,"2,058",39.7
22,Hampton (MEAC),31,18-13,687,"1,728",39.8
23,Gonzaga (WCC),36,29-7,806,"2,027",39.8
24,Florida St. (ACC),36,22-14,824,"2,065",39.9
25,UC Santa Barbara (Big West),30,21-9,658,"1,645",40
25,Texas A&M (SEC),34,18-16,724,"1,810",40
27,New Mexico St. (WAC),36,26-10,863,"2,153",40.1
28,Mercer (ASUN),36,27-9,812,"2,023",40.1
29,Texas (Big 12),35,24-11,819,"2,039",40.2
30,Florida (SEC),39,36-3,806,"2,004",40.2
31,Coastal Carolina (Big South),34,21-13,778,"1,934",40.2
32,Saint Louis (Atlantic 10),34,27-7,755,"1,875",40.3
33,UNLV (Mountain West),33,20-13,817,"2,028",40.3
34,Georgia (SEC),34,20-14,748,"1,855",40.3
35,Virginia Tech (ACC),31,22-Sep,721,"1,787",40.3
36,Villanova (Big East),34,29-5,763,"1,886",40.5
37,Tulsa (C-USA),34,21-13,741,"1,830",40.5
38,Towson (CAA),36,25-11,857,"2,114",40.5
39,Miami (FL) (ACC),33,17-16,695,"1,713",40.6
40,USC Upstate (ASUN),34,19-15,782,"1,927",40.6
41,Alabama A&M (SWAC),30,14-16,640,"1,576",40.6
42,Wyoming (Mountain West),33,18-15,718,"1,768",40.6
43,Ohio St. (Big Ten),35,25-10,761,"1,873",40.6
44,Vanderbilt (SEC),31,15-16,722,"1,777",40.6
45,Northern Ill. (MAC),32,15-17,665,"1,634",40.7
46,Kansas St. (Big 12),33,20-13,723,"1,774",40.8
47,Arkansas (SEC),34,22-12,809,"1,983",40.8
48,New Hampshire (America East),30,24-Jun,642,"1,573",40.8
49,Harvard (Ivy League),32,27-5,680,"1,665",40.8
50,Manhattan (MAAC),33,25-8,739,"1,809",40.9
51,St. John's (NY) (Big East),33,20-13,761,"1,861",40.9
52,Col. of Charleston (CAA),32,14-18,689,"1,684",40.9
53,Oklahoma St. (Big 12),34,21-13,801,"1,957",40.9
54,Savannah St. (MEAC),32,13-19,673,"1,641",41
55,St. Francis Brooklyn (NEC),32,18-14,717,"1,748",41
56,Syracuse (ACC),34,28-6,685,"1,669",41
57,Western Mich. (MAC),33,23-10,773,"1,883",41.1
58,Ohio (MAC),37,25-12,840,"2,045",41.1
59,Kentucky (SEC),40,29-11,933,"2,271",41.1
60,Middle Tenn. (C-USA),33,24-9,696,"1,694",41.1
61,Northwestern (Big Ten),33,14-19,735,"1,788",41.1
62,Utah (Pac-12),33,21-12,757,"1,841",41.1
63,Bowling Green (MAC),32,20-Dec,716,"1,740",41.1
64,Pittsburgh (ACC),36,26-10,771,"1,872",41.2
65,Richmond (Atlantic 10),33,19-14,738,"1,791",41.2
66,Indiana (Big Ten),32,17-15,757,"1,837",41.2
67,FGCU (ASUN),35,22-13,821,"1,989",41.3
68,UAB (C-USA),31,18-13,796,"1,927",41.3
69,Tennessee (SEC),37,24-13,823,"1,991",41.3
70,Siena (MAAC),38,20-18,860,"2,078",41.4
71,American (Patriot),33,20-13,671,"1,621",41.4
72,Penn St. (Big Ten),34,16-18,763,"1,843",41.4
73,Missouri (SEC),35,23-12,833,"2,011",41.4
74,Stony Brook (America East),34,23-11,744,"1,796",41.4
75,LSU (SEC),34,20-14,833,"2,010",41.4
76,Iowa (Big Ten),33,20-13,804,"1,938",41.5
77,Louisiana Tech (C-USA),37,29-8,871,"2,099",41.5
78,North Carolina (ACC),34,24-10,810,"1,949",41.6
79,Kansas (Big 12),35,25-10,815,"1,961",41.6
