Rank,Team,GM,W-L,FGM,FGA,FG%
1,North Dakota St. (Summit League),33,26-7,888,"1,759",50.5
2,Southeast Mo. St. (OVC),32,18-14,961,"1,924",49.9
3,Belmont (OVC),36,26-10,983,"1,973",49.8
4,Creighton (Big East),35,27-8,957,"1,927",49.7
5,Gonzaga (WCC),36,29-7,972,"1,963",49.5
6,Northern Colo. (Big Sky),32,18-14,864,"1,752",49.3
7,Kansas (Big 12),35,25-10,955,"1,937",49.3
8,Purdue Fort Wayne (Summit League),36,25-11,975,"1,979",49.3
9,American (Patriot),33,20-13,748,"1,527",49
10,UCLA (Pac-12),37,28-9,"1,073","2,196",48.9
11,Oregon St. (Pac-12),32,16-16,825,"1,689",48.8
12,Austin Peay (OVC),30,18-Dec,797,"1,632",48.8
13,New Mexico St. (WAC),36,26-10,936,"1,918",48.8
14,Utah (Pac-12),33,21-12,869,"1,781",48.8
15,Iona (MAAC),33,22-11,947,"1,944",48.7
16,Eastern Ky. (OVC),34,24-10,881,"1,810",48.7
17,Colgate (Patriot),31,13-18,785,"1,622",48.4
18,SMU (AAC),37,27-10,937,"1,938",48.3
19,Radford (Big South),35,22-13,972,"2,035",47.8
20,Davidson (SoCon),33,20-13,896,"1,877",47.7
21,Memphis (AAC),34,24-10,958,"2,009",47.7
22,Michigan (Big Ten),37,28-9,945,"1,982",47.7
23,Montana (Big Sky),30,17-13,703,"1,475",47.7
24,Mercer (ASUN),36,27-9,982,"2,061",47.6
25,William & Mary (CAA),32,20-12,798,"1,676",47.6
26,Weber St. (Big Sky),31,19-12,732,"1,541",47.5
27,Murray St. (OVC),34,23-11,901,"1,898",47.5
28,A&M-Corpus Christi (Southland),34,18-16,837,"1,764",47.4
29,Iowa St. (Big 12),36,28-8,"1,062","2,239",47.4
30,Michigan St. (Big Ten),38,29-9,"1,024","2,159",47.4
31,Green Bay (Horizon),31,24-7,813,"1,715",47.4
32,Samford (SoCon),33,13-20,849,"1,792",47.4
33,Hawaii (Big West),31,20-11,866,"1,829",47.3
34,San Francisco (WCC),33,21-12,861,"1,819",47.3
35,Wyoming (Mountain West),33,18-15,724,"1,533",47.2
36,High Point (Big South),31,16-15,801,"1,698",47.2
37,Louisville (AAC),37,31-6,"1,051","2,232",47.1
38,UC Irvine (Big West),35,23-12,909,"1,932",47
39,Northwestern St. (Southland),31,17-14,958,"2,037",47
40,Lafayette (Patriot),31,20-Nov,781,"1,661",47
41,SIUE (OVC),31,20-Nov,806,"1,715",47
42,Xavier (Big East),34,21-13,869,"1,850",47
43,Saint Joseph's (Atlantic 10),34,24-10,840,"1,789",47
44,Bryant (NEC),32,18-14,839,"1,787",47
45,Oregon (Pac-12),34,24-10,928,"1,977",46.9
46,Vermont (America East),33,22-11,785,"1,673",46.9
47,Arizona (Pac-12),38,33-5,996,"2,123",46.9
48,Cleveland St. (Horizon),33,21-12,837,"1,786",46.9
49,Georgia St. (Sun Belt),34,25-9,900,"1,923",46.8
50,Elon (SoCon),32,18-14,837,"1,789",46.8
51,Valparaiso (Horizon),34,18-16,813,"1,738",46.8
52,FGCU (ASUN),35,22-13,914,"1,958",46.7
53,Florida St. (ACC),36,22-14,873,"1,873",46.6
54,Toledo (MAC),34,27-7,929,"1,995",46.6
55,UTEP (C-USA),34,23-11,797,"1,714",46.5
56,Harvard (Ivy League),32,27-5,787,"1,693",46.5
57,Norfolk St. (MEAC),34,19-15,866,"1,864",46.5
58,Louisiana (Sun Belt),35,23-12,988,"2,127",46.5
59,UC Santa Barbara (Big West),30,21-9,731,"1,574",46.4
60,Portland St. (Big Sky),32,17-15,802,"1,729",46.4
61,Evansville (MVC),33,14-19,775,"1,672",46.4
62,Southern Miss. (C-USA),36,29-7,873,"1,884",46.3
63,Dayton (Atlantic 10),37,26-11,935,"2,018",46.3
64,North Carolina (ACC),34,24-10,953,"2,057",46.3
65,Iowa (Big Ten),33,20-13,919,"1,984",46.3
66,Denver (Summit League),31,16-15,711,"1,535",46.3
67,George Washington (Atlantic 10),33,24-9,839,"1,812",46.3
68,BYU (WCC),35,23-12,"1,012","2,186",46.3
69,SFA (Southland),35,32-3,922,"1,992",46.3
70,Oklahoma St. (Big 12),34,21-13,898,"1,941",46.3
71,Western Mich. (MAC),33,23-10,779,"1,684",46.3
72,Loyola Chicago (MVC),32,22-Oct,744,"1,609",46.2
73,N.C. Central (MEAC),34,28-6,847,"1,832",46.2
74,Texas Southern (SWAC),34,19-15,857,"1,854",46.2
75,Sam Houston (Southland),35,24-11,875,"1,893",46.2
76,Wichita St. (MVC),36,35-1,896,"1,941",46.2
77,NC State (ACC),36,22-14,950,"2,060",46.1
78,Pittsburgh (ACC),36,26-10,895,"1,944",46
79,Oral Roberts (Southland),33,17-16,831,"1,806",46
80,Sacramento St. (Big Sky),30,14-16,735,"1,598",46
81,Duke (ACC),35,26-9,929,"2,020",46
82,Florida (SEC),39,36-3,945,"2,056",46
83,Georgetown (Big East),33,18-15,801,"1,743",46
84,Stanford (Pac-12),36,23-13,896,"1,950",45.9
85,Wisconsin (Big Ten),38,30-8,927,"2,018",45.9
86,Canisius (MAAC),34,21-13,913,"1,989",45.9
87,Massachusetts (Atlantic 10),33,24-9,900,"1,961",45.9
88,Hartford (America East),33,17-16,731,"1,593",45.9
89,Ohio (MAC),37,25-12,937,"2,042",45.9
90,Youngstown St. (Horizon),32,15-17,836,"1,822",45.9
91,Liberty (Big South),32,21-Nov,816,"1,781",45.8
92,Charleston So. (Big South),31,13-18,859,"1,876",45.8
93,New Mexico (Mountain West),34,27-7,847,"1,851",45.8
94,California (Pac-12),35,21-14,921,"2,014",45.7
95,UNC Asheville (Big South),32,17-15,836,"1,832",45.6
96,Missouri (SEC),35,23-12,824,"1,806",45.6
97,Villanova (Big East),34,29-5,870,"1,907",45.6
98,Boise St. (Mountain West),34,21-13,890,"1,952",45.6
99,Texas Tech (Big 12),32,14-18,783,"1,718",45.6
100,North Dakota (Big Sky),34,17-17,889,"1,951",45.6
101,Portland (WCC),31,15-16,810,"1,778",45.6
102,Notre Dame (ACC),32,15-17,839,"1,842",45.5
103,Wright St. (Horizon),36,21-15,817,"1,794",45.5
104,St. Bonaventure (Atlantic 10),33,18-15,856,"1,881",45.5
105,Southern Ill. (MVC),33,14-19,781,"1,717",45.5
106,Baylor (Big 12),38,26-12,959,"2,109",45.5
107,Western Ill. (Summit League),30,20-Oct,667,"1,467",45.5
108,Middle Tenn. (C-USA),33,24-9,816,"1,795",45.5
109,Houston (AAC),33,17-16,833,"1,833",45.4
110,Pepperdine (WCC),31,15-16,773,"1,701",45.4
111,CSUN (Big West),35,17-18,888,"1,955",45.4
112,Seton Hall (Big East),34,17-17,816,"1,797",45.4
113,Eastern Wash. (Big Sky),31,15-16,813,"1,791",45.4
114,Towson (CAA),36,25-11,867,"1,910",45.4
115,Tennessee Tech (OVC),33,17-16,822,"1,811",45.4
116,Virginia (ACC),37,30-7,855,"1,884",45.4
117,Northern Ariz. (Big Sky),32,15-17,778,"1,715",45.4
118,Kentucky (SEC),40,29-11,"1,004","2,214",45.3
119,Louisiana Tech (C-USA),37,29-8,"1,034","2,284",45.3
120,USC Upstate (ASUN),34,19-15,890,"1,966",45.3
121,Tennessee (SEC),37,24-13,927,"2,048",45.3
122,Stony Brook (America East),34,23-11,860,"1,900",45.3
123,Drake (MVC),31,15-16,720,"1,592",45.2
124,Boston U. (Patriot),35,24-11,894,"1,978",45.2
125,Southern U. (SWAC),32,19-13,823,"1,822",45.2
126,Utah St. (Mountain West),32,18-14,782,"1,732",45.2
127,Arizona St. (Pac-12),33,21-12,836,"1,852",45.1
128,Manhattan (MAAC),33,25-8,828,"1,837",45.1
129,Penn (Ivy League),28,20-Aug,684,"1,518",45.1
130,Wake Forest (ACC),33,17-16,784,"1,740",45.1
131,Saint Mary's (CA) (WCC),35,23-12,819,"1,818",45
132,UNI (MVC),31,16-15,762,"1,693",45
133,Indiana St. (MVC),34,23-11,814,"1,809",45
134,Ohio St. (Big Ten),35,25-10,843,"1,875",45
135,San Diego (WCC),35,18-17,816,"1,815",45
136,UConn (AAC),40,32-8,971,"2,162",44.9
137,Idaho St. (Big Sky),29,18-Nov,694,"1,547",44.9
138,FIU (C-USA),31,15-16,754,"1,681",44.9
139,Indiana (Big Ten),32,17-15,780,"1,741",44.8
140,Wofford (SoCon),33,20-13,808,"1,804",44.8
141,Presbyterian (Big South),32,26-Jun,772,"1,724",44.8
142,Gardner-Webb (Big South),33,18-15,848,"1,895",44.7
143,South Dakota St. (Summit League),32,19-13,769,"1,719",44.7
144,Minnesota (Big Ten),38,25-13,918,"2,053",44.7
145,Buffalo (MAC),29,19-10,729,"1,631",44.7
146,Central Ark. (Southland),29,21-Aug,787,"1,761",44.7
147,Oklahoma (Big 12),33,23-10,909,"2,034",44.7
148,Morehead St. (OVC),34,20-14,861,"1,927",44.7
149,Idaho (WAC),34,16-18,833,"1,865",44.7
150,Columbia (Ivy League),34,21-13,742,"1,662",44.6
151,Washington (Pac-12),32,17-15,835,"1,871",44.6
152,Boston College (ACC),32,24-Aug,716,"1,605",44.6
153,Pacific (WCC),34,18-16,842,"1,889",44.6
154,VMI (Big South),35,22-13,"1,088","2,441",44.6
155,Winthrop (Big South),33,20-13,821,"1,843",44.5
156,St. John's (NY) (Big East),33,20-13,867,"1,948",44.5
157,Charlotte (C-USA),31,17-14,788,"1,771",44.5
158,Marquette (Big East),32,17-15,800,"1,800",44.4
158,NJIT (Independent),29,13-16,728,"1,638",44.4
160,Dartmouth (Ivy League),28,16-Dec,673,"1,515",44.4
