Rank,Team,GM,W-L,FGM,FGA,FG%
161,LSU (SEC),34,20-14,918,"2,067",44.4
162,Delaware (CAA),35,25-10,936,"2,108",44.4
163,Army West Point (Patriot),31,15-16,801,"1,804",44.4
164,Arkansas St. (Sun Belt),32,19-13,797,"1,795",44.4
165,Alabama (SEC),32,13-19,741,"1,669",44.4
166,Nicholls (Southland),29,14-15,708,"1,595",44.4
167,Saint Louis (Atlantic 10),34,27-7,829,"1,869",44.4
168,Maine (America East),29,23-Jun,759,"1,712",44.3
169,Montana St. (Big Sky),31,14-17,736,"1,661",44.3
170,Southeastern La. (Southland),30,18-Dec,714,"1,612",44.3
171,Rhode Island (Atlantic 10),32,14-18,754,"1,703",44.3
172,North Florida (ASUN),32,16-16,789,"1,784",44.2
173,Princeton (Ivy League),30,21-9,704,"1,592",44.2
174,South Dakota (Summit League),30,18-Dec,713,"1,613",44.2
175,Duquesne (Atlantic 10),30,13-17,751,"1,699",44.2
176,Mississippi St. (SEC),33,14-19,785,"1,776",44.2
177,Furman (SoCon),30,21-Sep,680,"1,539",44.2
178,Albany (NY) (America East),34,19-15,765,"1,733",44.1
179,East Carolina (C-USA),34,17-17,809,"1,833",44.1
180,Campbell (Big South),32,20-Dec,771,"1,747",44.1
181,Arkansas (SEC),34,22-12,928,"2,105",44.1
182,Georgia (SEC),34,20-14,767,"1,740",44.1
183,UNC Greensboro (SoCon),32,14-18,808,"1,835",44
184,Longwood (Big South),32,24-Aug,812,"1,845",44
185,Eastern Ill. (OVC),30,19-Nov,703,"1,598",44
186,George Mason (Atlantic 10),31,20-Nov,756,"1,719",44
187,Tulsa (C-USA),34,21-13,835,"1,899",44
188,Southern California (Pac-12),32,21-Nov,801,"1,824",43.9
189,West Virginia (Big 12),33,17-16,866,"1,973",43.9
190,UCF (AAC),31,13-18,803,"1,831",43.9
191,Mount St. Mary's (NEC),33,16-17,843,"1,923",43.8
192,IUPUI (Summit League),32,26-Jun,782,"1,784",43.8
193,Akron (MAC),34,21-13,813,"1,855",43.8
194,UC Davis (Big West),31,22-Sep,745,"1,701",43.8
195,UNLV (Mountain West),33,20-13,834,"1,905",43.8
196,Fresno St. (Mountain West),39,21-18,950,"2,170",43.8
197,CSU Bakersfield (WAC),32,13-19,767,"1,752",43.8
198,Robert Morris (NEC),36,22-14,890,"2,033",43.8
199,LMU (CA) (WCC),32,13-19,838,"1,916",43.7
200,Coastal Carolina (Big South),34,21-13,861,"1,969",43.7
201,Syracuse (ACC),34,28-6,819,"1,873",43.7
202,Jacksonville (ASUN),30,18-Dec,756,"1,729",43.7
203,UT Arlington (Sun Belt),32,15-17,815,"1,865",43.7
204,Lamar University (Southland),30,26-Apr,711,"1,628",43.7
205,Auburn (SEC),30,14-16,723,"1,656",43.7
206,Utah Valley (WAC),32,20-12,731,"1,676",43.6
207,Rider (MAAC),31,14-17,743,"1,704",43.6
208,Ga. Southern (SoCon),34,15-19,840,"1,927",43.6
209,Central Conn. St. (NEC),30,19-Nov,781,"1,794",43.5
210,Colorado (Pac-12),35,23-12,814,"1,871",43.5
211,Air Force (Mountain West),30,18-Dec,679,"1,561",43.5
212,San Diego St. (Mountain West),36,31-5,873,"2,009",43.5
213,Texas St. (Sun Belt),31,23-Aug,697,"1,604",43.5
214,Oakland (Horizon),33,13-20,821,"1,890",43.4
215,South Fla. (AAC),32,20-Dec,751,"1,729",43.4
216,Miami (OH) (MAC),31,13-18,722,"1,664",43.4
217,Northeastern (CAA),32,21-Nov,734,"1,692",43.4
218,Nevada (Mountain West),32,15-17,796,"1,835",43.4
219,Kansas St. (Big 12),33,20-13,798,"1,840",43.4
220,Central Mich. (MAC),31,21-Oct,766,"1,767",43.4
221,Chattanooga (SoCon),33,18-15,832,"1,922",43.3
222,UC Riverside (Big West),31,21-Oct,740,"1,711",43.2
223,Lipscomb (ASUN),30,15-15,727,"1,682",43.2
224,Texas (Big 12),35,24-11,905,"2,095",43.2
225,Marshall (C-USA),33,22-Nov,837,"1,938",43.2
226,Long Beach St. (Big West),32,15-17,822,"1,904",43.2
227,Lehigh (Patriot),32,14-18,758,"1,756",43.2
228,Vanderbilt (SEC),31,15-16,689,"1,598",43.1
229,Missouri St. (MVC),33,20-13,761,"1,765",43.1
230,Georgia Tech (ACC),33,16-17,796,"1,847",43.1
231,Brown (Ivy League),29,15-14,735,"1,706",43.1
232,St. Francis Brooklyn (NEC),32,18-14,781,"1,813",43.1
233,ETSU (ASUN),35,19-16,879,"2,045",43
234,The Citadel (SoCon),33,26-Jul,764,"1,778",43
235,Kansas City (WAC),30,20-Oct,729,"1,697",43
236,Holy Cross (Patriot),34,20-14,771,"1,795",43
237,Maryland (ACC),32,17-15,792,"1,844",43
238,Butler (Big East),31,14-17,755,"1,758",42.9
239,Tennessee St. (OVC),30,25-May,707,"1,647",42.9
240,New Orleans (Southland),26,15-Nov,615,"1,433",42.9
241,Bucknell (Patriot),30,16-14,698,"1,627",42.9
242,Niagara (MAAC),33,26-Jul,836,"1,949",42.9
243,Kent St. (MAC),32,16-16,766,"1,786",42.9
244,Colorado St. (Mountain West),32,16-16,770,"1,798",42.8
245,Penn St. (Big Ten),34,16-18,820,"1,915",42.8
246,Temple (AAC),31,22-Sep,828,"1,934",42.8
247,Morgan St. (MEAC),31,15-16,800,"1,869",42.8
248,Milwaukee (Horizon),35,21-14,808,"1,888",42.8
249,Providence (Big East),35,23-12,849,"1,984",42.8
250,Old Dominion (C-USA),36,18-18,825,"1,928",42.8
251,LIU (NEC),29,20-Sep,707,"1,653",42.8
252,ULM (Sun Belt),27,17-Oct,628,"1,470",42.7
253,Nebraska (Big Ten),32,19-13,719,"1,684",42.7
254,Purdue (Big Ten),32,15-17,822,"1,926",42.7
255,Rutgers (AAC),33,21-Dec,823,"1,931",42.6
256,Bowling Green (MAC),32,20-Dec,743,"1,746",42.6
257,Houston Baptist (Southland),31,25-Jun,737,"1,733",42.5
258,Cal St. Fullerton (Big West),31,20-Nov,734,"1,726",42.5
259,Santa Clara (WCC),33,14-19,788,"1,853",42.5
260,Cincinnati (AAC),34,27-7,805,"1,893",42.5
261,Little Rock (Sun Belt),32,15-17,784,"1,844",42.5
262,Western Caro. (SoCon),34,19-15,868,"2,042",42.5
263,Texas A&M (SEC),34,18-16,774,"1,821",42.5
264,Quinnipiac (MAAC),32,20-12,835,"1,968",42.4
265,Fla. Atlantic (C-USA),32,22-Oct,747,"1,761",42.4
266,Clemson (ACC),36,23-13,796,"1,879",42.4
267,UT Martin (OVC),31,23-Aug,792,"1,870",42.4
268,UTSA (C-USA),30,22-Aug,654,"1,545",42.3
269,DePaul (Big East),33,21-Dec,782,"1,848",42.3
270,Seattle U (WAC),30,13-17,760,"1,798",42.3
271,Delaware St. (MEAC),30,21-Sep,646,"1,529",42.2
272,Kennesaw St. (ASUN),31,25-Jun,708,"1,676",42.2
273,Richmond (Atlantic 10),33,19-14,750,"1,777",42.2
274,Miami (FL) (ACC),33,17-16,712,"1,690",42.1
275,UIC (Horizon),31,25-Jun,714,"1,696",42.1
276,Drexel (CAA),30,16-14,718,"1,707",42.1
277,Monmouth (MAAC),32,21-Nov,776,"1,846",42
278,Fairleigh Dickinson (NEC),31,21-Oct,742,"1,766",42
279,VCU (Atlantic 10),35,26-9,922,"2,196",42
280,Wagner (NEC),31,19-12,776,"1,849",42
281,Stetson (ASUN),31,24-Jul,683,"1,628",42
282,North Texas (C-USA),32,16-16,774,"1,845",42
283,Jacksonville St. (OVC),31,21-Oct,685,"1,633",41.9
284,Hofstra (CAA),33,23-Oct,750,"1,788",41.9
285,Hampton (MEAC),31,18-13,747,"1,781",41.9
286,Siena (MAAC),38,20-18,908,"2,165",41.9
287,Savannah St. (MEAC),32,13-19,693,"1,653",41.9
288,Bradley (MVC),32,20-Dec,721,"1,720",41.9
289,Alabama St. (SWAC),32,19-13,792,"1,892",41.9
290,Yale (Ivy League),33,19-14,721,"1,724",41.8
291,Alcorn (SWAC),31,19-Dec,693,"1,658",41.8
292,Mississippi Val. (SWAC),32,23-Sep,808,"1,934",41.8
293,Chicago St. (WAC),32,13-19,787,"1,884",41.8
294,Detroit Mercy (Horizon),32,13-19,778,"1,863",41.8
295,Jackson St. (SWAC),31,20-Nov,709,"1,698",41.8
296,Ole Miss (SEC),33,19-14,836,"2,003",41.7
297,Prairie View (SWAC),34,23-Nov,813,"1,949",41.7
298,UAB (C-USA),31,18-13,800,"1,919",41.7
299,Troy (Sun Belt),31,20-Nov,703,"1,688",41.6
300,App State (SoCon),30,21-Sep,719,"1,730",41.6
301,Western Ky. (Sun Belt),32,20-12,732,"1,766",41.4
302,Loyola Maryland (Patriot),30,19-Nov,680,"1,642",41.4
303,La Salle (Atlantic 10),31,15-16,720,"1,743",41.3
304,UTRGV (WAC),32,23-Sep,755,"1,828",41.3
305,Sacred Heart (NEC),31,26-May,758,"1,836",41.3
306,South Carolina (SEC),34,14-20,765,"1,853",41.3
307,Tulane (C-USA),34,17-17,694,"1,682",41.3
308,Col. of Charleston (CAA),32,14-18,709,"1,719",41.2
309,Illinois (Big Ten),35,20-15,797,"1,941",41.1
310,Ark.-Pine Bluff (SWAC),31,13-18,659,"1,605",41.1
311,Grambling (SWAC),29,24-May,647,"1,576",41.1
312,Cornell (Ivy League),28,26-Feb,652,"1,589",41
313,Alabama A&M (SWAC),30,14-16,656,"1,602",40.9
314,Saint Francis (PA) (NEC),31,21-Oct,675,"1,649",40.9
315,Eastern Mich. (MAC),37,22-15,820,"2,004",40.9
316,James Madison (CAA),31,20-Nov,647,"1,582",40.9
317,Marist (MAAC),31,19-Dec,709,"1,736",40.8
318,Cal Poly (Big West),34,14-20,754,"1,850",40.8
319,Saint Peter's (MAAC),31,14-17,659,"1,619",40.7
320,Illinois St. (MVC),34,18-16,767,"1,886",40.7
321,Ball St. (MAC),30,25-May,651,"1,601",40.7
322,Virginia Tech (ACC),31,22-Sep,665,"1,639",40.6
323,Southern Utah (Big Sky),29,27-Feb,591,"1,462",40.4
324,TCU (Big 12),31,22-Sep,654,"1,623",40.3
325,South Alabama (Sun Belt),31,20-Nov,715,"1,775",40.3
326,Rice (C-USA),30,23-Jul,637,"1,582",40.3
327,UNCW (CAA),32,23-Sep,741,"1,841",40.2
328,Florida A&M (MEAC),32,14-18,809,"2,010",40.2
329,UMBC (America East),30,21-Sep,669,"1,667",40.1
330,Navy (Patriot),30,21-Sep,660,"1,645",40.1
331,UMES (MEAC),30,24-Jun,656,"1,637",40.1
332,Washington St. (Pac-12),31,21-Oct,654,"1,633",40
333,Bethune-Cookman (MEAC),32,25-Jul,686,"1,714",40
334,Fairfield (MAAC),32,25-Jul,697,"1,753",39.8
335,Northwestern (Big Ten),33,14-19,665,"1,679",39.6
336,South Carolina St. (MEAC),30,21-Sep,676,"1,708",39.6
337,Fordham (Atlantic 10),31,21-Oct,764,"1,942",39.3
338,Coppin St. (MEAC),32,20-Dec,722,"1,840",39.2
339,McNeese (Southland),31,20-Nov,729,"1,858",39.2
340,Northern Ill. (MAC),32,15-17,645,"1,651",39.1
341,N.C. A&T (MEAC),32,23-Sep,622,"1,626",38.3
342,Binghamton (America East),30,23-Jul,591,"1,554",38
343,Howard (MEAC),33,25-Aug,639,"1,690",37.8
344,New Hampshire (America East),30,24-Jun,584,"1,553",37.6
345,San Jose St. (Mountain West),31,24-Jul,631,"1,686",37.4
